"";"x"
"1";0,52
"2";0,5
"3";0,54
"4";0,52
"5";0,48
"6";0,62
"7";0,56
"8";0,58
"9";0,48
"10";0,52
"11";0,64
"12";0,56
"13";0,48
"14";0,58
"15";0,6
"16";0,56
"17";0,6
"18";0,64
"19";0,66
"20";0,6
"21";0,46
"22";0,38
"23";0,56
"24";0,54
"25";0,46
"26";0,54
"27";0,46
"28";0,4
"29";0,68
"30";0,5
"31";0,56
"32";0,54
"33";0,58
"34";0,64
"35";0,6
"36";0,62
"37";0,58
"38";0,54
"39";0,56
"40";0,58
"41";0,6
"42";0,5
"43";0,48
"44";0,66
"45";0,64
"46";0,5
"47";0,56
"48";0,62
"49";0,66
"50";0,38
"51";0,66
"52";0,56
"53";0,56
"54";0,62
"55";0,64
"56";0,54
"57";0,52
"58";0,54
"59";0,56
"60";0,54
"61";0,56
"62";0,56
"63";0,58
"64";0,62
"65";0,38
"66";0,62
"67";0,56
"68";0,66
"69";0,56
"70";0,6
"71";0,58
"72";0,54
"73";0,6
"74";0,7
"75";0,66
"76";0,46
"77";0,48
"78";0,54
"79";0,38
"80";0,68
"81";0,68
"82";0,6
"83";0,5
"84";0,52
"85";0,5
"86";0,56
"87";0,46
"88";0,52
"89";0,54
"90";0,58
"91";0,62
"92";0,54
"93";0,58
"94";0,46
"95";0,7
"96";0,56
"97";0,6
"98";0,66
"99";0,56
"100";0,56
"101";0,64
"102";0,48
"103";0,54
"104";0,6
"105";0,54
"106";0,52
"107";0,5
"108";0,42
"109";0,58
"110";0,42
"111";0,56
"112";0,42
"113";0,62
"114";0,64
"115";0,56
"116";0,42
"117";0,62
"118";0,62
"119";0,64
"120";0,62
"121";0,48
"122";0,38
"123";0,56
"124";0,56
"125";0,6
"126";0,46
"127";0,56
"128";0,48
"129";0,42
"130";0,44
"131";0,54
"132";0,56
"133";0,64
"134";0,38
"135";0,52
"136";0,64
"137";0,62
"138";0,58
"139";0,56
"140";0,54
"141";0,48
"142";0,56
"143";0,64
"144";0,6
"145";0,44
"146";0,58
"147";0,48
"148";0,72
"149";0,68
"150";0,66
"151";0,46
"152";0,54
"153";0,62
"154";0,46
"155";0,52
"156";0,56
"157";0,62
"158";0,54
"159";0,56
"160";0,5
"161";0,4
"162";0,5
"163";0,58
"164";0,48
"165";0,44
"166";0,54
"167";0,52
"168";0,62
"169";0,44
"170";0,68
"171";0,58
"172";0,72
"173";0,6
"174";0,54
"175";0,48
"176";0,62
"177";0,56
"178";0,5
"179";0,52
"180";0,62
"181";0,66
"182";0,62
"183";0,42
"184";0,56
"185";0,6
"186";0,56
"187";0,56
"188";0,6
"189";0,5
"190";0,64
"191";0,56
"192";0,58
"193";0,5
"194";0,58
"195";0,5
"196";0,56
"197";0,58
"198";0,52
"199";0,54
"200";0,66
"201";0,4
"202";0,54
"203";0,54
"204";0,56
"205";0,62
"206";0,72
"207";0,44
"208";0,62
"209";0,42
"210";0,32
"211";0,62
"212";0,54
"213";0,52
"214";0,6
"215";0,52
"216";0,64
"217";0,52
"218";0,7
"219";0,5
"220";0,48
"221";0,56
"222";0,58
"223";0,48
"224";0,6
"225";0,44
"226";0,44
"227";0,52
"228";0,62
"229";0,58
"230";0,58
"231";0,62
"232";0,44
"233";0,44
"234";0,5
"235";0,6
"236";0,6
"237";0,68
"238";0,6
"239";0,6
"240";0,56
"241";0,58
"242";0,54
"243";0,6
"244";0,58
"245";0,36
"246";0,52
"247";0,48
"248";0,58
"249";0,58
"250";0,48
"251";0,54
"252";0,62
"253";0,6
"254";0,62
"255";0,46
"256";0,62
"257";0,52
"258";0,52
"259";0,54
"260";0,5
"261";0,52
"262";0,54
"263";0,58
"264";0,62
"265";0,42
"266";0,54
"267";0,4
"268";0,58
"269";0,64
"270";0,52
"271";0,36
"272";0,6
"273";0,56
"274";0,48
"275";0,6
"276";0,78
"277";0,46
"278";0,66
"279";0,62
"280";0,44
"281";0,56
"282";0,74
"283";0,62
"284";0,7
"285";0,62
"286";0,58
"287";0,54
"288";0,54
"289";0,6
"290";0,52
"291";0,42
"292";0,48
"293";0,62
"294";0,56
"295";0,56
"296";0,66
"297";0,54
"298";0,6
"299";0,58
"300";0,52
"301";0,64
"302";0,54
"303";0,4
"304";0,48
"305";0,6
"306";0,56
"307";0,52
"308";0,52
"309";0,64
