;mean;se;bias;cp;;mean;sd;bias;cp
1;3,913717354;7,868357581;0,304572451;1;;15,08259153;22,65347866;4,027530511;0,874623872
2;0,255116132;0,653838324;-0,914961289;0;;;;;
3;3,430282947;6,07664169;0,143427649;1;;;;;
4;61,87860022;80,34830867;19,62620007;1;;mean;sd;bias;cp
5;2,95142309;3,915231495;-0,016192303;1;;-1,480634067;1,666026804;0,480634067;0,952905812
6;11,23136831;15,30771654;2,743789438;1;;-1,235616111;1,620767995;0,37290679;0,954954955
7;4,386010005;6,644809016;0,462003335;1;;-0,082614588;2,506468882;-0,586927062;0,921921922
8;0,261844789;1,536342115;-0,912718404;1;;0,502038829;1,918958714;0,004077658;0,830491474
9;1,291261196;3,610704225;-0,569579601;1;;0,3059132;0,566659435;0,019710667;0,943943944
10;2,494811085;4,399014899;-0,168396305;1;;0,453107256;1,002114894;-0,093785488;0,935
11;23,555041;31,80083469;6,851680335;1;;15,08259153;22,65347866;4,027530511;0,874623872
12;4,077538302;5,92138203;0,359179434;1;;;;;
13;1,252244191;2,002887528;-0,58258527;1;;;;;
14;3,173163577;5,409603371;0,057721192;1;;;;;
15;6,629598362;10,2639913;1,209866121;1;;;;;
16;11,35512879;13,42603307;2,785042929;1;;;;;
17;8,399795073;14,17776268;1,799931691;1;;;;;
18;62,94146191;98,29778232;19,9804873;1;;;;;
19;5,983331381;11,11486066;0,994443794;1;;;;;
20;47,74053544;64,5920318;14,91351181;1;;;;;
21;76,2029414;94,39101738;24,40098047;1;;;;;
22;2,030962599;2,40547649;-0,323012467;1;;;;;
23;2,427494375;6,808464022;-0,190835208;1;;;;;
24;7,928959395;10,790151;1,642986465;1;;;;;
25;8,092301975;9,378493094;1,697433992;1;;;;;
26;9,623570449;11,9087088;2,207856816;1;;;;;
27;25,71740367;31,06651638;7,572467889;1;;;;;
28;5,311155421;6,400737594;0,77038514;1;;;;;
29;3,218695747;6,708337256;0,072898582;1;;;;;
30;0,027298929;0,114484089;-0,990900357;0;;;;;
31;12,90703048;18,62100845;3,302343492;1;;;;;
32;11,71258761;13,94646048;2,90419587;1;;;;;
33;9,36328968;15,32605999;2,12109656;1;;;;;
34;63,09307855;76,47703668;20,03102618;1;;;;;
35;1,235065297;2,575999957;-0,588311568;1;;;;;
36;1,287115796;3,501728754;-0,570961401;1;;;;;
37;0,421544405;2,012354414;-0,859485198;1;;;;;
38;9,19138112;11,84517291;2,063793707;1;;;;;
39;23,78297916;37,00503415;6,927659721;1;;;;;
40;64,81626723;67,55592244;20,60542241;1;;;;;
41;9,858286973;14,55781132;2,286095658;1;;;;;
42;16,74600815;19,66527682;4,582002717;1;;;;;
43;0,162558342;0,760507051;-0,945813886;0;;;;;
44;0,02990713;0,140585928;-0,990030957;0;;;;;
45;14,28331227;20,14269112;3,761104092;1;;;;;
46;3,931174041;4,890255734;0,310391347;1;;;;;
47;7,787099537;9,6054126;1,595699846;1;;;;;
48;0,033194267;0,168180673;-0,988935244;0;;;;;
49;42,00341873;67,41691914;13,00113958;1;;;;;
50;1,136964928;2,004931182;-0,621011691;1;;;;;
51;11,533196;20,39333886;2,844398667;1;;;;;
52;0,018090542;0,048635047;-0,993969819;0;;;;;
53;2,490475674;6,038079031;-0,169841442;1;;;;;
54;4,782268147;8,736813417;0,594089382;1;;;;;
55;10,46892054;17,99833114;2,489640179;1;;;;;
56;1,331921555;3,392848503;-0,556026148;1;;;;;
57;20,4973255;31,11424083;5,832441833;1;;;;;
58;11,27698781;15,27049655;2,758995937;1;;;;;
59;9,770624961;14,53639398;2,256874987;1;;;;;
60;10,40748662;12,70317967;2,469162207;1;;;;;
61;21,33933814;24,90157757;6,113112715;1;;;;;
62;9,303082482;12,79864756;2,101027494;1;;;;;
63;8,697198079;13,04099149;1,899066026;1;;;;;
64;10,07022151;17,19176464;2,356740503;1;;;;;
65;1,376860414;2,471527765;-0,541046529;1;;;;;
66;0,390809169;1,284181878;-0,869730277;0;;;;;
67;8,492139258;12,36072711;1,830713086;1;;;;;
68;2,218667591;5,980052386;-0,260444136;1;;;;;
69;15,09427421;20,47239987;4,031424737;1;;;;;
70;4,465881928;8,037586609;0,488627309;1;;;;;
71;1,948119424;4,071523883;-0,350626859;1;;;;;
72;19,70763048;28,06887508;5,56921016;1;;;;;
73;5,187633493;8,028371844;0,729211164;1;;;;;
74;8,843737448;16,85793958;1,947912483;1;;;;;
75;33,15102852;46,35720367;10,05034284;1;;;;;
76;1,204226486;2,616193885;-0,598591171;1;;;;;
77;6,167779932;7,899671283;1,055926644;1;;;;;
78;31,60771237;40,11963497;9,535904122;1;;;;;
79;9,617933746;11,24556599;2,205977915;1;;;;;
80;0,06165038;0,405311778;-0,979449873;0;;;;;
81;0,035174083;0,204620633;-0,988275306;0;;;;;
82;67,07161413;80,84328551;21,35720471;1;;;;;
83;5,771004502;8,177014261;0,923668167;1;;;;;
84;10,37857635;13,16795889;2,45952545;1;;;;;
85;0,038199308;0,215004111;-0,987266897;0;;;;;
86;0,235302961;1,131903208;-0,92156568;0;;;;;
87;10,76744596;12,69436738;2,589148654;1;;;;;
88;7,683452375;9,412181246;1,561150792;1;;;;;
89;10,4407983;14,93646079;2,480266099;1;;;;;
90;7,678568971;11,52293063;1,55952299;1;;;;;
91;1,699174993;4,217270145;-0,433608336;1;;;;;
92;0,027889594;0,111633515;-0,990703469;0;;;;;
93;15,98604173;21,09427468;4,328680578;1;;;;;
94;2,609544193;3,937426336;-0,130151936;1;;;;;
95;0,034926153;0,198780206;-0,988357949;0;;;;;
96;4,383926236;6,815963459;0,461308745;1;;;;;
97;4,899616256;7,981573915;0,633205419;1;;;;;
98;0,029324595;NA;-0,990225135;NA;;;;;
99;16,52196458;23,52277514;4,507321527;1;;;;;
100;1,428293915;3,54596584;-0,523902028;1;;;;;
101;4,549307589;7,205632263;0,516435863;1;;;;;
102;1,664113434;3,682949484;-0,445295522;1;;;;;
103;0,152162752;0,653100221;-0,949279083;0;;;;;
104;4,135012517;6,618705143;0,378337506;1;;;;;
105;3,020083783;4,816021448;0,006694594;1;;;;;
106;1,291715171;3,078761169;-0,569428276;1;;;;;
107;0,01914259;0,052828386;-0,993619137;0;;;;;
108;2,113672545;2,969849074;-0,295442485;1;;;;;
109;1,418123017;2,874967598;-0,527292328;1;;;;;
110;12,53445696;14,31893292;3,178152319;1;;;;;
111;2,197662349;3,644204468;-0,267445884;1;;;;;
112;11,94332491;13,02067756;2,981108303;1;;;;;
113;0,034343117;0,189415937;-0,988552294;0;;;;;
114;32,66027242;46,30477973;9,886757475;1;;;;;
115;51,28653908;63,44997117;16,09551303;1;;;;;
116;1,215813496;1,795529046;-0,594728835;1;;;;;
117;1,349392703;5,43918474;-0,550202432;1;;;;;
118;3,376149474;12,65375794;0,125383158;1;;;;;
119;0,762632477;2,799684532;-0,745789174;1;;;;;
120;31,78281571;41,66092569;9,594271903;1;;;;;
121;0,087085464;2,129004969;-0,970971512;1;;;;;
122;8,591388267;10,89073045;1,863796089;1;;;;;
123;13,80340645;18,11620138;3,601135484;1;;;;;
124;3,084300425;6,935013554;0,028100142;1;;;;;
125;3,34802403;5,384126745;0,11600801;1;;;;;
126;3,396613591;4,343055014;0,13220453;1;;;;;
127;5,359960369;7,40343381;0,786653456;1;;;;;
128;0,030836585;0,134133469;-0,989721138;0;;;;;
129;8,777439538;11,52111416;1,925813179;1;;;;;
130;9,43852117;10,20363969;2,146173723;1;;;;;
131;1,025209146;4,44949653;-0,658263618;1;;;;;
132;59,18438881;80,43393369;18,7281296;1;;;;;
133;1,157611955;2,568413918;-0,614129348;1;;;;;
134;6,25573351;6,31223118;1,085244503;1;;;;;
135;12,61709884;15,68573432;3,205699612;1;;;;;
136;22,45082391;37,89816148;6,483607969;1;;;;;
137;8,837695076;12,17692854;1,945898359;1;;;;;
138;5,117144882;7,531996997;0,705714961;1;;;;;
139;0,017469199;0,04689792;-0,994176934;0;;;;;
140;7,684966034;10,40504311;1,561655345;1;;;;;
141;3,024953175;4,682911623;0,008317725;1;;;;;
142;5,875386673;8,981962905;0,958462224;1;;;;;
143;15,3885565;22,02230885;4,129518834;1;;;;;
144;7,034069235;10,90352475;1,344689745;1;;;;;
145;5,708636645;7,231457001;0,902878882;1;;;;;
146;1,19197194;3,716361052;-0,60267602;1;;;;;
147;17,46949289;21,18300597;4,823164297;1;;;;;
148;0,258767497;2,560280734;-0,913744168;1;;;;;
149;0,115407034;1,707482867;-0,961530989;1;;;;;
150;0,600711883;3,195265424;-0,799762706;1;;;;;
151;16,63757378;17,62047095;4,545857925;1;;;;;
152;13,53742212;17,73397381;3,512474041;1;;;;;
153;18,25543345;23,65313787;5,085144482;1;;;;;
154;0,39978841;0,711605624;-0,866737197;0;;;;;
155;0,039380476;0,27766676;-0,986873175;0;;;;;
156;6,55960729;9,241952198;1,186535763;1;;;;;
157;63,42407169;69,41861531;20,14135723;1;;;;;
158;1,481193543;2,766564742;-0,506268819;1;;;;;
159;3,551332293;4,666924918;0,183777431;1;;;;;
160;42,00499863;51,67680335;13,00166621;1;;;;;
161;16,72497166;19,15226498;4,574990553;1;;;;;
162;3,915172968;5,642605035;0,305057656;1;;;;;
163;7,338213049;14,54407506;1,446071016;1;;;;;
164;3,434344583;5,603966021;0,144781528;1;;;;;
165;0,581639782;1,621645957;-0,806120073;1;;;;;
166;19,75367087;29,99998143;5,584556958;1;;;;;
167;26,51195006;30,741826;7,837316687;1;;;;;
168;15,12351955;22,29945141;4,041173182;1;;;;;
169;0,287752174;0,770594635;-0,904082609;0;;;;;
170;0,067835028;0,553359867;-0,977388324;0;;;;;
171;7,961822051;11,97585228;1,653940684;1;;;;;
172;46,19595654;65,73209049;14,39865218;1;;;;;
173;31,55653066;34,81147463;9,518843553;1;;;;;
174;2,568661887;4,822934176;-0,143779371;1;;;;;
175;9,603246983;12,11438676;2,201082328;1;;;;;
176;0,036952498;0,192431264;-0,987682501;0;;;;;
177;124,8434108;135,9037552;40,61447025;1;;;;;
178;4,147249156;5,712888442;0,382416385;1;;;;;
179;199,982129;213,2018434;65,66070966;1;;;;;
180;9,823386552;13,97268706;2,274462184;1;;;;;
181;8,653504779;17,06075846;1,884501593;1;;;;;
182;22,45679643;33,75084723;6,485598809;1;;;;;
183;5,421829199;6,159719095;0,8072764;1;;;;;
184;10,94989015;17,67356502;2,649963383;1;;;;;
185;28,23571507;39,95557618;8,411905023;1;;;;;
186;10,30388876;13,10848435;2,434629588;1;;;;;
187;18,90981263;24,35935425;5,303270878;1;;;;;
188;29,04151503;40,77127612;8,680505011;1;;;;;
189;0,021289871;0,069056993;-0,992903376;0;;;;;
190;17,75196084;25,85342379;4,91732028;1;;;;;
191;0,19705831;0,672743447;-0,934313897;0;;;;;
192;83,0060816;107,1850806;26,66869387;1;;;;;
193;37,36534128;41,83447491;11,45511376;1;;;;;
194;0,038886962;0,236046077;-0,987037679;0;;;;;
195;2,303344816;4,412488367;-0,232218395;1;;;;;
196;0,810852344;4,817516286;-0,729715885;1;;;;;
197;4,042885764;6,933718967;0,347628588;1;;;;;
198;6,589914926;8,610392796;1,196638309;1;;;;;
199;13,85425077;18,35646835;3,61808359;1;;;;;
200;7,442255576;22,36728332;1,480751859;1;;;;;
