;mean;se;bias;cp;;mean;sd;bias;cp
111;2,9141355;1,348842128;-0,0286215;1;;;;;
112;7,269365622;2,794995255;1,423121874;1;;;;;
113;6,040773049;2,440170889;1,013591016;1;;;;;
114;4,167249533;1,748317738;0,389083178;1;;;;;
115;1,830767743;1,08268084;-0,389744086;1;;;;;
116;4,758437737;1,932976339;0,586145912;1;;;;;
117;3,749485348;1,790616571;0,249828449;1;;;;;
118;2,421952126;1,252971022;-0,192682625;1;;;;;
119;3,390820717;1,566466172;0,130273572;1;;;;;
120;4,445295343;1,9212342;0,481765114;1;;;;;
121;2,564838996;1,405702826;-0,145053668;1;;;;;
122;2,258851618;1,095730135;-0,247049461;1;;;;;
123;2,811610928;1,298938498;-0,062796357;1;;;;;
124;3,03829809;1,430034691;0,01276603;1;;;;;
125;1,258094512;0,832982182;-0,580635163;0;;;;;
126;7,519735788;3,068347318;1,506578596;1;;;;;
127;2,042014908;1,111667305;-0,319328364;1;;;;;
128;5,912946437;2,317449563;0,970982146;1;;;;;
129;1,136174093;0,893021225;-0,621275302;0;;;;;
130;3,289952139;1,652091449;0,096650713;1;;;;;
131;2,383664936;1,300293122;-0,205445021;1;;;;;
132;3,234448995;1,476868045;0,078149665;1;;;;;
133;4,85040865;1,838248526;0,616802883;1;;;;;
134;2,023097411;0,976698813;-0,325634196;1;;;;;
135;3,739892338;1,692364541;0,246630779;1;;;;;
136;3,569498196;1,670655952;0,189832732;1;;;;;
137;2,882377178;1,211460608;-0,039207607;1;;;;;
138;0,531625153;0,619380632;-0,822791616;0;;;;;
139;5,288412602;1,944548496;0,762804201;1;;;;;
140;5,454544559;2,317781815;0,81818152;1;;;;;
141;2,488241036;1,261519155;-0,170586321;1;;;;;
142;4,639595528;2,019619595;0,546531843;1;;;;;
143;4,273698361;1,830817419;0,42456612;1;;;;;
144;2,324459169;1,354786081;-0,225180277;1;;;;;
145;2,686848629;1,371408015;-0,10438379;1;;;;;
146;4,092224389;2,093125913;0,364074796;1;;;;;
147;4,394063916;1,870764511;0,464687972;1;;;;;
148;3,876706407;1,722758498;0,292235469;1;;;;;
149;2,801771272;1,2170503;-0,066076243;1;;;;;
150;2,708789122;1,34874689;-0,097070293;1;;;;;
151;5,56881556;2,36493868;0,856271853;1;;;;;
152;3,217908826;1,400502534;0,072636275;1;;;;;
153;6,343884694;2,724710457;1,114628231;1;;;;;
154;3,033009671;1,385497975;0,011003224;1;;;;;
155;3,31396342;1,488215727;0,104654473;1;;;;;
156;4,779337085;1,951717499;0,593112362;1;;;;;
157;3,792372797;1,639738443;0,264124266;1;;;;;
158;3,41046926;1,711692077;0,136823087;1;;;;;
159;4,012466435;1,95987875;0,337488812;1;;;;;
160;0,235044458;0,649648741;-0,921651847;0;;;;;
161;1,943898801;1,201095992;-0,352033733;1;;;;;
162;3,774734661;1,683636742;0,258244887;1;;;;;
163;2,434421891;1,345009162;-0,188526036;1;;;;;
164;1,731070977;1,067448246;-0,422976341;1;;;;;
165;2,088417757;0,969322146;-0,303860748;1;;;;;
166;2,930080266;1,267935654;-0,023306578;1;;;;;
167;2,801844221;1,27483221;-0,066051926;1;;;;;
168;3,710637232;1,691932241;0,236879077;1;;;;;
169;4,991568777;2,183695972;0,663856259;1;;;;;
170;1,987170836;1,041194683;-0,337609721;1;;;;;
171;5,938005925;2,432550704;0,979335308;1;;;;;
172;2,467601197;1,24913181;-0,177466268;1;;;;;
173;4,501770268;1,841367719;0,500590089;1;;;;;
174;2,647631089;1,416695711;-0,117456304;1;;;;;
175;2,335299482;1,282000391;-0,221566839;1;;;;;
176;2,864436817;1,458752454;-0,045187728;1;;;;;
177;3,678684026;1,58742603;0,226228009;1;;;;;
178;4,182741619;1,917133579;0,394247206;1;;;;;
179;3,901833835;1,716797406;0,300611278;1;;;;;
180;3,334834339;1,334514306;0,111611446;1;;;;;
181;6,035275315;2,340343734;1,011758438;1;;;;;
182;2,302185943;1,205818064;-0,232604686;1;;;;;
183;3,061838384;1,352507765;0,020612795;1;;;;;
184;3,713684066;1,672503694;0,237894689;1;;;;;
185;1,690307334;1,124870362;-0,436564222;1;;;;;
186;2,015606328;1,355560612;-0,328131224;1;;;;;
187;1,458409816;0,993315808;-0,513863395;1;;;;;
188;2,237958395;1,390622837;-0,254013868;1;;;;;
189;4,946787803;2,06899128;0,648929268;1;;;;;
190;2,215745872;0,989619686;-0,261418043;1;;;;;
191;6,409859206;2,507847058;1,136619735;1;;;;;
192;6,837235234;2,598463979;1,279078411;1;;;;;
193;5,071438186;2,132847659;0,690479395;1;;;;;
194;1,289190039;0,814350939;-0,570269987;0;;;;;
195;5,940257358;2,34394466;0,980085786;1;;;;;
196;4,436414129;1,913051765;0,47880471;1;;;;;
197;2,735039037;1,246314462;-0,088320321;1;;;;;
198;5,829444251;2,466461996;0,943148084;1;;;;;
199;8,412165264;3,438791207;1,804055088;1;;;;;
200;3,149114838;1,330279379;0,049704946;1;;;;;
201;6,44965635;2,793381144;1,14988545;1;;;;;
202;3,470609912;1,431963445;0,156869971;1;;;;;
203;0,738029077;1,001615409;-0,753990308;0;;;;;
204;1,321889325;1,116438311;-0,559370225;1;;;;;
205;3,15483622;1,34279805;0,051612073;1;;;;;
206;5,545404372;2,25711936;0,848468124;1;;;;;
207;3,628393918;1,660273176;0,209464639;1;;;;;
208;4,275918883;1,863190228;0,425306294;1;;;;;
209;3,985020736;1,685671023;0,328340245;1;;;;;
210;4,106520228;1,841139261;0,368840076;1;;;;;
211;3,093062256;1,414254489;0,031020752;1;;;;;
212;2,002294562;0,978941509;-0,332568479;1;;;;;
213;6,226022341;2,844483855;1,07534078;1;;;;;
214;4,671653771;2,033185154;0,557217924;1;;;;;
215;4,145324529;1,860181251;0,381774843;1;;;;;
216;3,397696827;1,587295584;0,132565609;1;;;;;
217;7,079768888;2,519729578;1,359922963;1;;;;;
218;1,033015354;0,844947817;-0,655661549;0;;;;;
219;5,959954097;2,402230995;0,986651366;1;;;;;
220;2,599337568;1,208483475;-0,133554144;1;;;;;
221;6,716992244;2,68225843;1,238997415;1;;;;;
222;2,114810789;1,204044924;-0,29506307;1;;;;;
223;2,795856132;1,322633572;-0,068047956;1;;;;;
224;4,072705828;1,911105089;0,357568609;1;;;;;
225;3,415540341;1,752379113;0,138513447;1;;;;;
226;2,27059392;1,308441803;-0,24313536;1;;;;;
227;2,022098561;1,062171403;-0,325967146;1;;;;;
228;2,436444303;1,339445985;-0,187851899;1;;;;;
229;2,304165804;1,064392877;-0,231944732;1;;;;;
230;1,682666806;1,08605441;-0,439111065;1;;;;;
231;1,469126157;0,922518021;-0,510291281;1;;;;;
232;1,55359982;0,845750063;-0,482133393;1;;;;;
233;4,619330445;2,231215707;0,539776815;1;;;;;
234;3,319638077;1,385946038;0,106546026;1;;;;;
235;2,596553908;1,41815865;-0,134482031;1;;;;;
236;3,852699497;1,600267261;0,284233166;1;;;;;
237;3,633822032;1,708987288;0,211274011;1;;;;;
238;2,378162053;1,073136245;-0,207279316;1;;;;;
239;2,770906402;1,329815675;-0,076364533;1;;;;;
240;4,039496345;1,721972649;0,346498782;1;;;;;
241;2,097244917;1,073030295;-0,300918361;1;;;;;
242;2,667931009;1,233158636;-0,110689664;1;;;;;
243;1,37857834;0,836836945;-0,540473887;1;;;;;
244;4,950203921;2,007327122;0,650067974;1;;;;;
245;3,413864909;1,557105727;0,13795497;1;;;;;
246;2,808114286;1,383173191;-0,063961905;1;;;;;
247;5,276558567;1,993287202;0,758852856;1;;;;;
248;3,98581474;1,982590034;0,328604913;1;;;;;
249;5,435667876;2,110177579;0,811889292;1;;;;;
250;1,875621871;1,319147896;-0,37479271;1;;;;;
251;1,798524981;0,964985145;-0,400491673;1;;;;;
252;4,027323373;1,67982525;0,342441124;1;;;;;
253;2,636372121;1,233267137;-0,121209293;1;;;;;
254;1,267185891;0,958683088;-0,577604703;1;;;;;
255;1,964472802;1,20840976;-0,345175733;1;;;;;
256;4,3567386;1,840047787;0,4522462;1;;;;;
257;3,965220259;1,929131278;0,321740086;1;;;;;
258;4,606044971;1,982995369;0,535348324;1;;;;;
259;2,943274692;1,469651796;-0,018908436;1;;;;;
260;1,107046609;0,856292875;-0,630984464;0;;;;;
261;4,498922366;1,888833121;0,499640789;1;;;;;
262;2,541555279;1,527823263;-0,152814907;1;;;;;
263;2,968686182;1,306531072;-0,010437939;1;;;;;
264;2,783795947;1,279967262;-0,072068018;1;;;;;
265;2,366739627;1,463078811;-0,211086791;1;;;;;
266;2,624013086;1,25658132;-0,125328971;1;;;;;
267;2,576433234;1,571622284;-0,141188922;1;;;;;
268;3,219696577;1,35115196;0,073232192;1;;;;;
269;2,326582228;1,156180127;-0,224472591;1;;;;;
270;2,121389761;1,119355578;-0,29287008;1;;;;;
271;1,66897499;1,079454718;-0,443675003;1;;;;;
272;1,187086526;0,818907867;-0,604304491;0;;;;;
273;4,450917845;1,970872537;0,483639282;1;;;;;
274;3,365403412;1,67514283;0,121801137;1;;;;;
275;1,27324541;0,974600595;-0,575584863;1;;;;;
276;2,975731669;1,326091187;-0,008089444;1;;;;;
277;2,794152199;1,373838305;-0,068615934;1;;;;;
278;1,792861732;1,12240646;-0,402379423;1;;;;;
279;8,009509382;3,413929595;1,669836461;1;;;;;
280;4,67509517;1,920774407;0,558365057;1;;;;;
281;2,719731601;1,297108683;-0,0934228;1;;;;;
282;3,619049349;1,679496074;0,206349783;1;;;;;
283;3,345087188;1,654110121;0,115029063;1;;;;;
284;6,567921263;2,500020855;1,189307088;1;;;;;
285;1,530531466;0,906025402;-0,489822845;1;;;;;
