;mean;se;bias;cp;;mean;sd;bias;cp
1;0,623697868;0,891581107;-0,792100711;0;;6,68694208;8,777598273;1,228980693;0,900801603
2;4,251716078;4,047677448;0,417238693;1;;;;;
3;5,545685952;6,352847892;0,848561984;1;;;;;
4;5,33438116;6,958020135;0,778127053;1;;mean;sd;bias;cp
5;7,92743772;6,653092291;1,64247924;1;;-1,191962907;0,910816326;0,191962907;0,940940941
6;9,783119213;9,508672453;2,261039738;1;;-0,983796153;0,836881176;0,093106836;0,948
7;17,18918063;19,52273193;4,729726878;1;;-0,109222795;1,289296287;-0,453886027;0,936
8;8,253774805;7,829999988;1,751258268;1;;0,33222954;1,500765168;-0,335540921;0,884769539
9;0,03632519;0,12932169;-0,987891603;0;;0,298828943;0,390069665;-0,003903523;0,94
10;0,710708214;1,823620706;-0,763097262;1;;0,469063591;0,640625545;-0,061872818;0,946
11;15,82377735;13,24350632;4,274592449;1;;6,68694208;8,777598273;1,228980693;0,900801603
12;5,706487985;6,055059425;0,902162662;1;;;;;
13;2,235577721;2,552395616;-0,254807426;1;;;;;
14;41,62087395;39,92260551;12,87362465;1;;;;;
15;6,496317923;8,106525971;1,165439308;1;;;;;
16;6,207670475;6,21745662;1,069223492;1;;;;;
17;1,960423814;3,017239973;-0,346525395;1;;;;;
18;1,113356055;1,844453585;-0,628881315;1;;;;;
19;0,813955602;1,153230085;-0,728681466;1;;;;;
20;0,639497572;2,828780934;-0,786834143;1;;;;;
21;5,99446902;7,32760289;0,99815634;1;;;;;
22;7,500254546;6,413390912;1,500084849;1;;;;;
23;42,02323512;42,83613939;13,00774504;1;;;;;
24;7,721928004;7,351969196;1,573976001;1;;;;;
25;6,919429894;6,124110158;1,306476631;1;;;;;
26;3,392998772;3,793564713;0,130999591;1;;;;;
27;0,09883873;0,667297008;-0,967053757;0;;;;;
28;2,177877044;2,709800367;-0,274040985;1;;;;;
29;5,075958519;5,164652862;0,691986173;1;;;;;
30;18,2811975;16,17169945;5,093732501;1;;;;;
31;27,78596257;25,7453019;8,261987524;1;;;;;
32;0,020907523;0,045780641;-0,993030826;0;;;;;
33;5,265716235;5,380998808;0,755238745;1;;;;;
34;10,29928708;9,147785128;2,433095692;1;;;;;
35;10,65171915;10,67625144;2,550573049;1;;;;;
36;37,91294913;35,09879628;11,63764971;1;;;;;
37;1,947824727;2,503993304;-0,350725091;1;;;;;
38;13,96005844;12,60540539;3,653352814;1;;;;;
39;3,189801311;3,647799952;0,063267104;1;;;;;
40;1,413815801;3,86582123;-0,528728066;1;;;;;
41;11,34512163;9,199995046;2,781707211;1;;;;;
42;17,24808297;16,6030748;4,749360991;1;;;;;
43;0,049521702;0,250141947;-0,983492766;0;;;;;
44;1,504364264;2,233324196;-0,498545245;1;;;;;
