;mean;se;bias;cp;;mean;sd;bias;cp
1;3,240350218;0,448013627;0,080116739;1;;3,068057568;0,435917323;0,022685856;0,951
2;2,718998265;0,390544943;-0,093667245;1;;;;;
3;2,970038678;0,411494796;-0,009987107;1;;mean;sd;bias;cp
4;2,371269174;0,34239254;-0,209576942;1;;;;;
5;3,379168954;0,454580293;0,126389651;1;;;;;
6;2,780775373;0,40385639;-0,073074876;1;;;;;
7;3,224431663;0,455379525;0,074810554;1;;;;;
8;3,013230736;0,434236213;0,004410245;1;;;;;
9;2,902090573;0,432900367;-0,032636476;1;;;;;
10;2,309692565;0,381444801;-0,230102478;1;;;;;
11;3,071117823;0,403077663;0,023705941;1;;;;;
12;3,076282919;0,433147572;0,02542764;1;;;;;
13;2,373135627;0,348308068;-0,208954791;1;;;;;
14;3,630420342;0,485776598;0,210140114;1;;;;;
15;3,660388458;0,478797496;0,220129486;1;;;;;
16;3,564843766;0,471283801;0,188281255;1;;;;;
17;3,301077754;0,428113112;0,100359251;1;;;;;
18;3,490751245;0,46092666;0,163583748;1;;;;;
19;3,062400442;0,44005436;0,020800147;1;;;;;
20;3,147608182;0,442063608;0,049202727;1;;;;;
21;2,778736995;0,400841979;-0,073754335;1;;;;;
22;3,277102607;0,44232024;0,092367536;1;;;;;
23;3,062937628;0,443209268;0,020979209;1;;;;;
24;2,428359983;0,359038586;-0,190546672;1;;;;;
25;2,64455082;0,389441279;-0,11848306;1;;;;;
26;2,139109951;0,362314656;-0,28696335;0;;;;;
27;2,552907651;0,394080709;-0,149030783;1;;;;;
28;3,176137403;0,450749608;0,058712468;1;;;;;
29;4,024431012;0,501103544;0,341477004;0;;;;;
30;3,222557644;0,452501504;0,074185881;1;;;;;
31;3,231512309;0,439177265;0,07717077;1;;;;;
32;3,072348449;0,435966322;0,02411615;1;;;;;
33;3,227998431;0,43716889;0,075999477;1;;;;;
34;2,900071728;0,398795397;-0,033309424;1;;;;;
35;2,777912468;0,411177452;-0,074029177;1;;;;;
36;2,446924457;0,364994162;-0,184358514;1;;;;;
37;3,440629602;0,455342539;0,146876534;1;;;;;
38;2,852530266;0,396090519;-0,049156578;1;;;;;
39;2,711572845;0,411184814;-0,096142385;1;;;;;
40;3,038118908;0,42874348;0,012706303;1;;;;;
41;3,341146506;0,468522862;0,113715502;1;;;;;
42;2,506192355;0,359109481;-0,164602548;1;;;;;
43;2,676261146;0,38064224;-0,107912951;1;;;;;
44;3,313660917;0,443239693;0,104553639;1;;;;;
45;2,961453818;0,41616596;-0,012848727;1;;;;;
46;2,162995249;0,343759605;-0,279001584;0;;;;;
47;3,225621771;0,462041445;0,075207257;1;;;;;
48;3,801162982;0,499202984;0,267054327;1;;;;;
49;3,810320928;0,51686919;0,270106976;1;;;;;
50;2,823663382;0,430035442;-0,058778873;1;;;;;
51;2,989214011;0,408615969;-0,00359533;1;;;;;
52;3,122694714;0,453152795;0,040898238;1;;;;;
53;3,088550447;0,451676688;0,029516816;1;;;;;
54;3,269407265;0,452267634;0,089802422;1;;;;;
55;2,911916866;0,408120993;-0,029361045;1;;;;;
56;3,171684442;0,432566066;0,057228147;1;;;;;
57;3,137885904;0,428181348;0,045961968;1;;;;;
58;4,024340286;0,516358769;0,341446762;0;;;;;
59;2,876327321;0,403058457;-0,041224226;1;;;;;
60;3,578708857;0,471022772;0,192902952;1;;;;;
61;2,767598918;0,379224946;-0,077467027;1;;;;;
62;3,097889434;0,443890655;0,032629811;1;;;;;
63;2,853772924;0,413858212;-0,048742359;1;;;;;
64;2,662940983;0,372586327;-0,112353006;1;;;;;
65;2,702907468;0,396689274;-0,099030844;1;;;;;
66;4,416043988;0,568546415;0,472014663;0;;;;;
67;2,774358968;0,407240748;-0,075213677;1;;;;;
68;3,271925983;0,466795612;0,090641994;1;;;;;
69;3,04468908;0,428596798;0,01489636;1;;;;;
70;3,601612323;0,463179935;0,200537441;1;;;;;
71;2,357768401;0,339690269;-0,2140772;1;;;;;
72;3,071643669;0,404195513;0,023881223;1;;;;;
73;2,548424842;0,386483714;-0,150525053;1;;;;;
74;2,97433887;0,414802108;-0,00855371;1;;;;;
75;3,393137276;0,468833939;0,131045759;1;;;;;
76;3,225003755;0,437321151;0,075001252;1;;;;;
77;3,748324431;0,49921747;0,249441477;1;;;;;
78;3,658967081;0,506661505;0,219655694;1;;;;;
79;2,606200116;0,396968354;-0,131266628;1;;;;;
80;3,604396154;0,471187242;0,201465385;1;;;;;
81;2,96052043;0,416851252;-0,013159857;1;;;;;
82;3,339827464;0,466244752;0,113275821;1;;;;;
83;2,18734696;0,340105103;-0,270884347;0;;;;;
84;3,43279781;0,46573924;0,144265937;1;;;;;
85;3,611407718;0,472198252;0,203802573;1;;;;;
86;3,252542277;0,431990352;0,084180759;1;;;;;
87;3,443625716;0,466751047;0,147875239;1;;;;;
88;3,333561837;0,440734088;0,111187279;1;;;;;
89;2,88045189;0,426085059;-0,03984937;1;;;;;
90;3,023987791;0,425706773;0,00799593;1;;;;;
91;3,20993545;0,446553351;0,069978483;1;;;;;
92;3,583250212;0,458849426;0,194416737;1;;;;;
93;3,124356108;0,443618599;0,041452036;1;;;;;
94;2,761669715;0,4209395;-0,079443428;1;;;;;
95;3,029085872;0,428762053;0,009695291;1;;;;;
96;3,12300007;0,44103694;0,041000023;1;;;;;
97;3,556384739;0,493043132;0,18546158;1;;;;;
98;2,950946233;0,420759803;-0,016351256;1;;;;;
99;3,529413469;0,480096395;0,176471156;1;;;;;
100;2,768329929;0,397221106;-0,077223357;1;;;;;
101;2,469005681;0,372808022;-0,176998106;1;;;;;
102;2,238115914;0,357110884;-0,253961362;0;;;;;
103;2,799253193;0,401145872;-0,066915602;1;;;;;
104;3,339625567;0,484099254;0,113208522;1;;;;;
105;3,341787423;0,456191448;0,113929141;1;;;;;
106;2,785715114;0,397554574;-0,071428295;1;;;;;
107;3,623889986;0,489923096;0,207963329;1;;;;;
108;3,142087514;0,420024816;0,047362505;1;;;;;
109;2,899318154;0,410325747;-0,033560615;1;;;;;
110;2,998200181;0,419048372;-0,00059994;1;;;;;
111;3,647177449;0,500796063;0,215725816;1;;;;;
112;3,746603905;0,507681846;0,248867968;1;;;;;
113;3,098646544;0,444118171;0,032882181;1;;;;;
114;2,595323601;0,399079832;-0,134892133;1;;;;;
115;3,83243491;0,499429641;0,277478303;1;;;;;
116;3,274506027;0,430080189;0,091502009;1;;;;;
117;2,614685818;0,399740613;-0,128438061;1;;;;;
118;2,870686941;0,39636668;-0,043104353;1;;;;;
119;2,884337922;0,435559211;-0,038554026;1;;;;;
120;3,214011613;0,432287913;0,071337204;1;;;;;
121;3,485792276;0,478629164;0,161930759;1;;;;;
122;3,173585632;0,439346989;0,057861877;1;;;;;
123;3,651799217;0,497350832;0,217266406;1;;;;;
124;3,231829924;0,435678521;0,077276641;1;;;;;
125;3,574918987;0,497331681;0,191639662;1;;;;;
126;2,993894466;0,435515566;-0,002035178;1;;;;;
127;2,632244939;0,409352791;-0,12258502;1;;;;;
128;4,071960829;0,526317468;0,357320276;0;;;;;
129;3,155381204;0,429111907;0,051793735;1;;;;;
130;2,909669967;0,416788214;-0,030110011;1;;;;;
131;2,873322415;0,41934995;-0,042225862;1;;;;;
132;3,439076268;0,454065658;0,146358756;1;;;;;
133;2,661805319;0,391634502;-0,11273156;1;;;;;
134;3,356782104;0,464734356;0,118927368;1;;;;;
135;3,547565157;0,485386449;0,182521719;1;;;;;
136;3,263502502;0,465663075;0,087834167;1;;;;;
137;4,02849635;0,520726472;0,342832117;0;;;;;
138;3,184834147;0,437840761;0,061611382;1;;;;;
139;3,160100053;0,415980956;0,053366684;1;;;;;
