;mean;se;bias;cp;mean;se;bias;cp;mean;se;bias;cp;;mean;sd;bias;cp;mean;sd;bias;cp;mean;sd;bias;cp
1;0,446198786;0,112664674;-0,107602427;1;0,363044164;0,045854357;0,210147213;1;0,571788457;0,078875745;0,143576914;1;;0,504306638;0,114380293;0,008613277;0,951;0,302312019;0,045589998;0,007706731;0,954;0,499687652;0,077097725;-0,000624697;0,952
2;0,40496747;0,118171602;-0,190065061;1;0,234962603;0,047717616;-0,216791324;1;0,561768735;0,080170872;0,123537471;1;;;;;;;;;;;;;
3;0,513181693;0,110929101;0,026363386;1;0,285554556;0,046443953;-0,048151479;1;0,544290629;0,077578634;0,088581258;1;;;;;;;;;;;;;
4;0,278782716;0,120205267;-0,442434568;1;0,295527835;0,04688254;-0,014907215;1;0,594776443;0,07905049;0,189552886;1;;;;;;;;;;;;;
5;0,580309679;0,107600315;0,160619357;1;0,308262176;0,045140255;0,027540588;1;0,494052849;0,075889444;-0,011894302;1;;;;;;;;;;;;;
6;0,477604722;0,117915406;-0,044790556;1;0,317057239;0,047088807;0,056857465;1;0,394723444;0,079390479;-0,210553113;1;;;;;;;;;;;;;
7;0,558517717;0,114408728;0,117035435;1;0,376440132;0,046074892;0,254800441;1;0,432328212;0,078537536;-0,135343575;1;;;;;;;;;;;;;
8;0,426447879;0,118635418;-0,147104242;1;0,394490027;0,046536144;0,314966758;0;0,527769958;0,07935875;0,055539917;1;;;;;;;;;;;;;
9;0,459974112;0,122706518;-0,080051776;1;0,3639833;0,047344849;0,213277666;1;0,432773039;0,079919632;-0,134453923;1;;;;;;;;;;;;;
10;0,358800646;0,141379231;-0,282398709;1;0,238791826;0,049690388;-0,204027247;1;0,466614208;0,084603581;-0,066771585;1;;;;;;;;;;;;;
11;0,518659308;0,103451936;0,037318617;1;0,227979976;0,045244425;-0,240066748;1;0,552627888;0,073998594;0,105255776;1;;;;;;;;;;;;;
12;0,431486447;0,116508434;-0,137027107;1;0,310142148;0,046288618;0,033807159;1;0,661374186;0,078118358;0,322748373;0;;;;;;;;;;;;;
13;0,317381854;0,122360209;-0,365236291;1;0,293905823;0,047275051;-0,020313922;1;0,586576655;0,079529568;0,173153311;1;;;;;;;;;;;;;
14;0,543654889;0,106620675;0,087309778;1;0,363680424;0,044451506;0,212268079;1;0,602585131;0,075419684;0,205170263;1;;;;;;;;;;;;;
15;0,674708168;0,102823832;0,349416335;1;0,390080048;0,044462994;0,300266828;0;0,371604401;0,073802674;-0,256791199;1;;;;;;;;;;;;;
16;0,676746032;0,103364747;0,353492065;1;0,272116777;0,045167638;-0,092944077;1;0,420056506;0,075316802;-0,159886987;1;;;;;;;;;;;;;
17;0,65208545;0,101104004;0,3041709;1;0,320167972;0,044522906;0,067226574;1;0,35728935;0,073590266;-0,285421299;1;;;;;;;;;;;;;
18;0,655005575;0,104312759;0,310011151;1;0,260218594;0,044921539;-0,132604686;1;0,470711827;0,074882278;-0,058576346;1;;;;;;;;;;;;;
19;0,448373267;0,118487828;-0,103253466;1;0,32842158;0,047125813;0,0947386;1;0,584115562;0,080483173;0,168231124;1;;;;;;;;;;;;;
20;0,573467692;0,112400184;0,146935383;1;0,318336335;0,046069496;0,061121118;1;0,424961993;0,076098239;-0,150076015;1;;;;;;;;;;;;;
21;0,38492398;0,12227557;-0,230152041;1;0,35767158;0,046998861;0,192238601;1;0,538321531;0,080790883;0,076643063;1;;;;;;;;;;;;;
22;0,57208761;0,106832049;0,144175221;1;0,3163092;0,045681013;0,054364;1;0,49106617;0,07515052;-0,017867661;1;;;;;;;;;;;;;
23;0,587165413;0,117347785;0,174330826;1;0,277504578;0,046973525;-0,074984739;1;0,415075659;0,079118541;-0,169848682;1;;;;;;;;;;;;;
24;0,384855398;0,122946665;-0,230289203;1;0,259728693;0,047537676;-0,134237689;1;0,488474338;0,079450723;-0,023051325;1;;;;;;;;;;;;;
25;0,506645483;0,121760155;0,013290966;1;0,262844209;0,048075119;-0,123852636;1;0,339701155;0,079978965;-0,32059769;0;;;;;;;;;;;;;
26;0,275444645;0,144721585;-0,44911071;1;0,202810148;0,050640533;-0,323966173;1;0,55106719;0,085889912;0,10213438;1;;;;;;;;;;;;;
27;0,340630352;0,130256588;-0,318739295;1;0,342805047;0,048285618;0,142683489;1;0,538618858;0,081558717;0,077237716;1;;;;;;;;;;;;;
28;0,569484985;0,116030395;0,13896997;1;0,306243799;0,046449261;0,020812662;1;0,469025785;0,077954833;-0,06194843;1;;;;;;;;;;;;;
29;0,601057766;0,095671082;0,202115532;1;0,350044709;0,042918594;0,166815697;1;0,645042742;0,070755631;0,290085484;0;;;;;;;;;;;;;
30;0,512116562;0,113598924;0,024233124;1;0,34180427;0,045953731;0,139347566;1;0,49356151;0,076697681;-0,012876979;1;;;;;;;;;;;;;
31;0,536807569;0,108749479;0,073615137;1;0,254213443;0,045358825;-0,152621856;1;0,496809792;0,075751716;-0,006380416;1;;;;;;;;;;;;;
32;0,540735178;0,11348789;0,081470355;1;0,342438605;0,046748182;0,141462018;1;0,433966685;0,076890705;-0,132066629;1;;;;;;;;;;;;;
33;0,571183756;0,110320486;0,142367512;1;0,306139494;0,045297032;0,020464981;1;0,55247254;0,076299877;0,104945081;1;;;;;;;;;;;;;
34;0,425793959;0,111451589;-0,148412083;1;0,346669712;0,045937881;0,155565706;1;0,537232038;0,076462496;0,074464076;1;;;;;;;;;;;;;
35;0,401485262;0,123311331;-0,197029476;1;0,267123194;0,047542736;-0,109589353;1;0,58358427;0,080487657;0,167168539;1;;;;;;;;;;;;;
36;0,38656925;0,1258628;-0,2268615;1;0,274656717;0,048019311;-0,084477609;1;0,521642939;0,081869425;0,043285878;1;;;;;;;;;;;;;
37;0,614480623;0,105981311;0,228961247;1;0,424328503;0,044480511;0,414428345;0;0,38012323;0,074893909;-0,239753541;1;;;;;;;;;;;;;
38;0,401531247;0,113070507;-0,196937506;1;0,322271404;0,046190698;0,074238014;1;0,597797829;0,078825178;0,195595659;1;;;;;;;;;;;;;
39;0,394075702;0,126045668;-0,211848595;1;0,276464312;0,048469075;-0,078452292;1;0,592802136;0,081485308;0,185604271;1;;;;;;;;;;;;;
40;0,598909197;0,114063489;0,197818394;1;0,323890549;0,046633192;0,079635164;1;0,368758465;0,07916698;-0,262483069;1;;;;;;;;;;;;;
41;0,563333823;0,112868118;0,126667646;1;0,328819368;0,046252781;0,096064561;1;0,495802108;0,078079721;-0,008395784;1;;;;;;;;;;;;;
