;mean;se;bias;cp;;;;;;;;;;mean;sd;bias;cp
86;3,273040147;1,918106947;0,091013382;1;;;;;;;;;;;;;
87;2,51116382;1,49775125;-0,162945393;1;;;;;;;;;;;;;
88;5,282602582;3,039873211;0,760867527;1;;;;;;;;;;;;;
89;3,097513163;1,824448396;0,032504388;1;;;;;;;;;;;;;
90;4,734994595;3,044078955;0,578331532;1;;;;;;;;;;;;;
91;3,200569741;2,109435925;0,06685658;1;;;;;;;;;;;;;
92;12,76630096;6,627579689;3,255433655;1;;;;;;;;;;;;;
93;2,909622282;2,114827837;-0,030125906;1;;;;;;;;;;;;;
94;4,549414428;2,642343972;0,516471476;1;;;;;;;;;;;;;
95;1,104487572;1,323933542;-0,631837476;1;;;;;;;;;;;;;
96;2,015528967;1,271920041;-0,328157011;1;;;;;;;;;;;;;
97;3,277174395;2,058640315;0,092391465;1;;;;;;;;;;;;;
98;3,682840978;2,384768796;0,227613659;1;;;;;;;;;;;;;
99;8,964759885;4,242611256;1,988253295;1;;;;;;;;;;;;;
100;1,842563889;1,509909999;-0,385812037;1;;;;;;;;;;;;;
101;6,665792953;3,552832844;1,221930984;1;;;;;;;;;;;;;
102;2,723077173;1,766167194;-0,092307609;1;;;;;;;;;;;;;
103;2,089883878;1,357845733;-0,303372041;1;;;;;;;;;;;;;
104;2,028534943;1,587515742;-0,323821686;1;;;;;;;;;;;;;
105;3,409693259;1,661614045;0,13656442;1;;;;;;;;;;;;;
106;5,395028225;2,903568197;0,798342742;1;;;;;;;;;;;;;
107;1,090560326;1,280676443;-0,636479891;1;;;;;;;;;;;;;
108;4,805676889;2,936717734;0,601892296;1;;;;;;;;;;;;;
109;1,222661792;1,309818085;-0,592446069;1;;;;;;;;;;;;;
110;2,478939417;1,751213787;-0,173686861;1;;;;;;;;;;;;;
111;5,843000634;3,023614182;0,947666878;1;;;;;;;;;;;;;
112;4,960284475;2,923081498;0,653428158;1;;;;;;;;;;;;;
113;3,495418695;2,067751017;0,165139565;1;;;;;;;;;;;;;
114;2,935874512;2,113510995;-0,021375163;1;;;;;;;;;;;;;
115;2,40398941;1,45207319;-0,198670197;1;;;;;;;;;;;;;
116;16,20399077;7,576058971;4,401330255;1;;;;;;;;;;;;;
117;3,684825668;1,953318678;0,228275223;1;;;;;;;;;;;;;
118;0,777056302;0,779550801;-0,740981233;0;;;;;;;;;;;;;
119;1,648741266;1,173793957;-0,450419578;1;;;;;;;;;;;;;
120;2,56808729;1,457362125;-0,143970903;1;;;;;;;;;;;;;
121;1,221023825;1,256181854;-0,592992058;1;;;;;;;;;;;;;
122;4,525013678;2,683888116;0,508337893;1;;;;;;;;;;;;;
123;4,36711997;2,299000169;0,455706657;1;;;;;;;;;;;;;
124;1,964128385;1,490246258;-0,345290538;1;;;;;;;;;;;;;
125;6,515266787;3,260072346;1,171755596;1;;;;;;;;;;;;;
126;6,453251045;3,903072155;1,151083682;1;;;;;;;;;;;;;
127;4,077851663;2,36022236;0,359283888;1;;;;;;;;;;;;;
128;7,650308221;4,151706408;1,55010274;1;;;;;;;;;;;;;
129;5,100406604;2,716510918;0,700135535;1;;;;;;;;;;;;;
130;3,939515015;2,142518237;0,313171672;1;;;;;;;;;;;;;
131;3,623820322;2,239014441;0,207940107;1;;;;;;;;;;;;;
132;9,183864754;4,402275416;2,061288251;1;;;;;;;;;;;;;
133;1,571167831;1,442886047;-0,47627739;1;;;;;;;;;;;;;
134;2,504390623;1,543742205;-0,165203126;1;;;;;;;;;;;;;
135;3,932599813;2,400360736;0,310866604;1;;;;;;;;;;;;;
136;4,754939612;2,605782368;0,584979871;1;;;;;;;;;;;;;
137;1,746635874;1,740370748;-0,417788042;1;;;;;;;;;;;;;
138;2,784163369;1,740042;-0,071945544;1;;;;;;;;;;;;;
139;6,801970611;3,807490513;1,267323537;1;;;;;;;;;;;;;
140;8,103882309;4,097897407;1,701294103;1;;;;;;;;;;;;;
141;8,467576544;3,802695548;1,822525515;1;;;;;;;;;;;;;
142;3,647466553;1,97412322;0,215822184;1;;;;;;;;;;;;;
143;5,564910909;2,959857831;0,854970303;1;;;;;;;;;;;;;
144;3,449464085;1,988654122;0,149821362;1;;;;;;;;;;;;;
145;0,178247637;1,646679835;-0,940584121;1;;;;;;;;;;;;;
146;2,015480062;1,614644316;-0,328173313;1;;;;;;;;;;;;;
147;3,039614039;1,839543433;0,01320468;1;;;;;;;;;;;;;
148;10,02927001;5,148926115;2,343090003;1;;;;;;;;;;;;;
149;1,816869668;1,448810594;-0,394376777;1;;;;;;;;;;;;;
150;5,423804377;3,139075489;0,807934792;1;;;;;;;;;;;;;
151;1,689570233;1,612391191;-0,436809922;1;;;;;;;;;;;;;
152;3,184457107;1,701294522;0,061485702;1;;;;;;;;;;;;;
153;5,110101753;2,908468284;0,703367251;1;;;;;;;;;;;;;
154;2,318893422;1,629394876;-0,227035526;1;;;;;;;;;;;;;
155;4,192052401;2,277247703;0,3973508;1;;;;;;;;;;;;;
156;1,546044983;1,11758996;-0,484651672;1;;;;;;;;;;;;;
157;3,744036338;2,224407784;0,248012113;1;;;;;;;;;;;;;
158;2,104119046;1,614613176;-0,298626985;1;;;;;;;;;;;;;
159;1,473619459;1,275891579;-0,508793514;1;;;;;;;;;;;;;
160;4,826956615;2,741280827;0,608985538;1;;;;;;;;;;;;;
161;2,820602353;2,378653269;-0,059799216;1;;;;;;;;;;;;;
162;1,520419367;1,113122272;-0,493193544;1;;;;;;;;;;;;;
163;0,219666479;0,948363971;-0,92677784;0;;;;;;;;;;;;;
164;1,142861978;1,242159291;-0,619046007;1;;;;;;;;;;;;;
165;5,372775005;3,339608635;0,790925002;1;;;;;;;;;;;;;
166;2,372271093;1,500372865;-0,209242969;1;;;;;;;;;;;;;
167;6,85029984;3,67451175;1,28343328;1;;;;;;;;;;;;;
168;3,249310297;2,621227458;0,083103432;1;;;;;;;;;;;;;
169;1,491093639;1,516278182;-0,502968787;1;;;;;;;;;;;;;
170;5,006340099;2,710609475;0,668780033;1;;;;;;;;;;;;;
