;mean;se;bias;cp;mean;se;bias;cp;mean;se;bias;cp;;mean;sd;bias;cp;mean;sd;bias;cp;mean;sd;bias;cp
1;-0,164204762;0,765411278;-0,835795238;1;-1,370980935;0,650549993;0,52331215;1;0,856777517;1,137029501;-5,283887585;1;;-1,191962907;0,910816326;0,191962907;0,940940941;-0,983796153;0,836881176;0,093106836;0,948;-0,109222795;1,289296287;-0,453886027;0,936
2;-2,242754321;0,685082146;1,242754321;1;-1,137569477;0,593638106;0,263966085;1;2,316828631;0,983370503;-12,58414315;0;;;;;;;;;;;;;
3;-1,079788511;0,700665247;0,079788511;1;-2,725729965;1,046212349;2,02858885;1;-0,058276711;0,953920871;-0,708616447;1;;;;;;;;;;;;;
4;-1,665281655;0,858003723;0,665281655;1;-0,166214274;0,617104912;-0,815317473;1;0,668921143;1,013092212;-4,344605715;1;;-1,191962907;0,910816326;0,191962907;0,940940941;;;;;;;;
5;-0,967356021;0,56830335;-0,032643979;1;-0,314634157;0,483320416;-0,650406493;1;-0,811713738;0,790037416;3,05856869;1;;-0,983796153;0,836881176;0,093106836;0,948;;;;;;;;
6;-1,160381599;0,751114645;0,160381599;1;0,181857456;0,606661773;-1,20206384;1;-2,030378057;1,179334282;9,151890285;1;;-0,109222795;1,289296287;-0,453886027;0,936;;;;;;;;
7;-2,006154799;1,063032702;1,006154799;1;-1,878562337;1,156554409;1,087291486;1;0,197923564;1,426744026;-1,989617821;1;;;;;;;;;;;;;
8;-2,513953708;0,950631256;1,513953708;1;-1,063450359;0,653976019;0,18161151;1;1,739249413;1,109225138;-9,696247063;1;;;;;;;;;;;;;
9;0,775986064;0,59591273;-1,775986064;0;-1,166007526;0,626330629;0,295563918;1;-0,503567358;1,060817319;1,51783679;1;;;;;;;;;;;;;
10;0,686008028;1,177311586;-1,686008028;1;-0,850828413;0,74327432;-0,054635097;1;-0,945242499;1,300156641;3,726212493;1;;;;;;;;;;;;;
11;-1,884028064;0,761632548;0,884028064;1;-2,357265926;0,89086773;1,619184362;1;-0,24492292;1,139128551;0,224614598;1;;;;;;;;;;;;;
