;mean;se;bias;cp;mean;se;bias;cp;mean;se;bias;cp;;mean;sd;bias;cp;mean;sd;bias;cp;mean;sd;bias;cp
1;0,769510858;0,338263841;0,539021716;1;0,304005526;0,145990158;0,013351752;1;0,433048649;0,23978031;-0,133902703;1;;0,516316298;0,426478495;0,032632596;0,942;0,300266965;0,150300317;0,000889882;0,95;0,472304784;0,26697921;-0,055390433;0,948
2;1,238581055;0,378390804;1,477162111;1;0,237243021;0,160238453;-0,209189932;1;0,114356315;0,269079105;-0,771287371;1;;;;;;;;;;;;;
3;-0,090091843;0,587420947;-1,180183685;1;0,458097527;0,1712751;0,526991756;1;0,379715808;0,304562199;-0,240568384;1;;;;;;;;;;;;;
4;0,752711318;0,380129997;0,505422637;1;0,407827085;0,148860461;0,359423617;1;0,357626901;0,255646268;-0,284746197;1;;;;;;;;;;;;;
5;-0,059944546;0,588831698;-1,119889092;1;0,165684454;0,170839032;-0,447718487;1;0,926843295;0,314224786;0,853686591;1;;;;;;;;;;;;;
6;0,962530704;0,309851346;0,925061407;1;0,430411433;0,132983566;0,434704776;1;0,628371492;0,217223324;0,256742985;1;;;;;;;;;;;;;
7;-0,344112592;0,594600875;-1,688225184;1;0,345834063;0,171135928;0,152780211;1;1,030299427;0,310673973;1,060598854;1;;;;;;;;;;;;;
8;1,051288945;0,303019833;1,102577889;1;0,424600448;0,136768453;0,415334825;1;0,404424587;0,227770979;-0,191150827;1;;;;;;;;;;;;;
9;0,553905917;0,427869886;0,107811834;1;0,540409374;0,155864629;0,801364579;1;0,174785783;0,258799171;-0,650428433;1;;;;;;;;;;;;;
10;0,365012004;0,446812696;-0,269975991;1;0,411875957;0,160937002;0,372919855;1;0,490591926;0,273993321;-0,018816149;1;;;;;;;;;;;;;
11;0,463857739;0,381677484;-0,072284522;1;0,321301126;0,143720591;0,071003752;1;0,139787312;0,238562844;-0,720425375;1;;;;;;;;;;;;;
12;0,789177947;0,321075667;0,578355894;1;0,429328004;0,138101777;0,431093348;1;-0,055771331;0,235765864;-1,111542661;0;;;;;;;;;;;;;
13;0,694291981;0,2914078;0,388583961;1;0,356998952;0,13167213;0,189996508;1;0,360370002;0,219024792;-0,279259997;1;;;;;;;;;;;;;
14;0,321522292;0,481304346;-0,356955416;1;0,220289758;0,157875326;-0,265700806;1;0,675729821;0,276844216;0,351459642;1;;;;;;;;;;;;;
15;1,046370952;0,287306245;1,092741905;1;0,539420653;0,134677248;0,798068844;1;0,405837945;0,219915268;-0,18832411;1;;;;;;;;;;;;;
16;0,617817887;0,467451221;0,235635775;1;0,38332889;0,159116701;0,277762965;1;0,031113787;0,286100442;-0,937772427;1;;;;;;;;;;;;;
17;0,924095096;0,321545905;0,848190192;1;0,281959724;0,141330229;-0,060134253;1;0,355788611;0,235181897;-0,288422778;1;;;;;;;;;;;;;
18;-0,806785066;1,108942391;-2,613570131;1;0,364731113;0,189441543;0,215770376;1;0,96301718;0,334233237;0,92603436;1;;;;;;;;;;;;;
19;0,456495075;0,481956101;-0,087009851;1;0,249538329;0,163750858;-0,168205571;1;0,250880996;0,284867697;-0,498238008;1;;;;;;;;;;;;;
20;0,2419699;0,581282723;-0,516060199;1;0,176268706;0,169221096;-0,412437645;1;-0,030368486;0,294033041;-1,060736972;1;;;;;;;;;;;;;
21;1,075101645;0,328183132;1,150203291;1;0,170879362;0,143514067;-0,430402126;1;0,137213486;0,248588286;-0,725573028;1;;;;;;;;;;;;;
22;0,693086749;0,317243112;0,386173499;1;0,418411034;0,132567943;0,394703448;1;0,940719841;0,235669813;0,881439682;1;;;;;;;;;;;;;
23;0,518221006;0,46959285;0,036442013;1;0,354744484;0,16186548;0,182481612;1;0,518781975;0,287588564;0,03756395;1;;;;;;;;;;;;;
24;0,831653721;0,356321831;0,663307443;1;0,155726832;0,146353331;-0,480910559;1;0,42978055;0,246891762;-0,140438901;1;;;;;;;;;;;;;
25;0,923715522;0,328038987;0,847431045;1;0,512118921;0,142478539;0,707063069;1;0,143313992;0,238679019;-0,713372016;1;;;;;;;;;;;;;
26;0,348585291;0,36856499;-0,302829417;1;0,491268587;0,149852403;0,637561955;1;0,932825535;0,2518887;0,865651071;1;;;;;;;;;;;;;
27;1,107854895;0,308600428;1,21570979;0;0,286021433;0,137782524;-0,046595222;1;0,397756218;0,235933203;-0,204487564;1;;;;;;;;;;;;;
28;0,713004747;0,447455049;0,426009494;1;0,305552114;0,155242597;0,018507048;1;0,228844055;0,275115562;-0,54231189;1;;;;;;;;;;;;;
29;0,829592716;0,395575152;0,659185433;1;0,186010964;0,157736994;-0,379963453;1;0,245396011;0,270226301;-0,509207979;1;;;;;;;;;;;;;
30;0,557488846;0,356035578;0,114977693;1;0,291109772;0,149232502;-0,029634093;1;0,878453581;0,264715491;0,756907162;1;;;;;;;;;;;;;
31;0,284739821;0,40653331;-0,430520359;1;0,335511559;0,150070985;0,118371865;1;0,579716115;0,254767762;0,159432229;1;;;;;;;;;;;;;
32;0,923295231;0,270482253;0,846590461;1;0,349317333;0,133072623;0,164391108;1;0,523301644;0,224336972;0,046603288;1;;;;;;;;;;;;;
33;0,796180471;0,342618577;0,592360941;1;0,201554925;0,145018997;-0,32815025;1;0,382809133;0,251738357;-0,234381733;1;;;;;;;;;;;;;
34;0,327439716;0,460230576;-0,345120567;1;0,314441437;0,159178549;0,048138124;1;0,260565892;0,276803729;-0,478868217;1;;;;;;;;;;;;;
35;0,820104871;0,296065363;0,640209742;1;0,247413604;0,13571589;-0,175287985;1;0,694356389;0,225302479;0,388712777;1;;;;;;;;;;;;;
36;0,692861544;0,31289462;0,385723088;1;0,100904633;0,13708591;-0,663651224;1;0,717792286;0,231861859;0,435584572;1;;;;;;;;;;;;;
37;0,962992769;0,299560735;0,925985539;1;0,465250551;0,134689171;0,55083517;1;-0,017842462;0,230022014;-1,035684924;0;;;;;;;;;;;;;
38;0,163024481;0,472266027;-0,673951037;1;0,081963017;0,160706971;-0,726789944;1;1,342443644;0,291940193;1,684887289;0;;;;;;;;;;;;;
39;0,586949213;0,427272997;0,173898426;1;0,096089409;0,157667232;-0,679701972;1;0,531199863;0,27073614;0,062399726;1;;;;;;;;;;;;;
40;0,371042499;0,447564894;-0,257915002;1;0,32667783;0,166206728;0,088926098;1;0,425619158;0,282345434;-0,148761684;1;;;;;;;;;;;;;
41;0,656401441;0,39938251;0,312802881;1;0,214223819;0,155533653;-0,285920605;1;0,774988968;0,27157802;0,549977935;1;;;;;;;;;;;;;
42;-0,651127445;0,895601085;-2,30225489;1;0,437920207;0,197757804;0,459734022;1;1,00644597;0,338011438;1,01289194;1;;;;;;;;;;;;;
43;0,63156261;0,390107893;0,26312522;1;0,457427404;0,155192654;0,524758014;1;0,458290611;0,245828798;-0,083418778;1;;;;;;;;;;;;;
44;-0,016139386;0,518444429;-1,032278772;1;0,302786968;0,163175446;0,009289895;1;0,941868057;0,292095963;0,883736114;1;;;;;;;;;;;;;
45;0,640808003;0,37758835;0,281616006;1;0,159724635;0,15239777;-0,467584548;1;0,133287574;0,257475109;-0,733424852;1;;;;;;;;;;;;;
46;0,43280494;0,487797211;-0,13439012;1;0,286965993;0,168073172;-0,043446689;1;0,537841372;0,284214754;0,075682744;1;;;;;;;;;;;;;
47;0,487063635;0,412280903;-0,02587273;1;0,31516135;0,154840691;0,050537834;1;0,448282519;0,267943291;-0,103434963;1;;;;;;;;;;;;;
48;0,947210289;0,308919923;0,894420578;1;0,196802446;0,143196632;-0,343991846;1;0,277189931;0,225906603;-0,445620139;1;;;;;;;;;;;;;
49;0,884251459;0,353471137;0,768502917;1;0,407837419;0,147380884;0,359458063;1;0,13575621;0,233783549;-0,72848758;1;;;;;;;;;;;;;
50;0,828876277;0,302372878;0,657752553;1;0,386718858;0,134155468;0,28906286;1;0,416133822;0,226010032;-0,167732357;1;;;;;;;;;;;;;
51;-0,009499183;0,572136079;-1,018998366;1;0,243514502;0,165499156;-0,188284993;1;0,363026191;0,274302619;-0,273947619;1;;;;;;;;;;;;;
52;0,723551824;0,359972408;0,447103647;1;0,121270046;0,152402503;-0,595766513;1;-0,072286421;0,248469279;-1,144572843;0;;;;;;;;;;;;;
53;0,921915136;0,357720545;0,843830272;1;0,228810572;0,153016704;-0,237298092;1;0,004772439;0,250949591;-0,990455121;0;;;;;;;;;;;;;
54;0,721084914;0,334056944;0,442169828;1;0,155566999;0,140397385;-0,481443337;1;0,716378463;0,240577738;0,432756926;1;;;;;;;;;;;;;
55;0,661760061;0,345436024;0,323520122;1;0,164221815;0,143436639;-0,452593951;1;0,628009533;0,252472809;0,256019067;1;;;;;;;;;;;;;
56;0,723536982;0,410436787;0,447073964;1;0,30519002;0,151045489;0,017300068;1;0,209940772;0,258467369;-0,580118456;1;;;;;;;;;;;;;
57;0,494658662;0,3955779;-0,010682677;1;0,437329138;0,14895461;0,457763792;1;0,340166379;0,243802186;-0,319667243;1;;;;;;;;;;;;;
58;0,318270005;0,454090009;-0,36345999;1;0,427102146;0,156688601;0,423673819;1;0,560759173;0,268262322;0,121518346;1;;;;;;;;;;;;;
59;0,874420475;0,33132138;0,748840951;1;0,547528196;0,139895814;0,825093986;1;0,397687633;0,227798228;-0,204624733;1;;;;;;;;;;;;;
60;1,392939944;0,274505196;1,785879887;0;0,300723564;0,129524958;0,002411879;1;0,225903916;0,221077269;-0,548192168;1;;;;;;;;;;;;;
61;0,398090238;0,432535936;-0,203819524;1;0,275457261;0,156621897;-0,081809129;1;0,488442741;0,274707991;-0,023114517;1;;;;;;;;;;;;;
62;0,400776152;0,441121851;-0,198447695;1;0,487565665;0,150517099;0,625218882;1;0,595704052;0,256042983;0,191408104;1;;;;;;;;;;;;;
63;0,71475245;0,358168011;0,4295049;1;0,398684712;0,145033425;0,32894904;1;0,211792127;0,248409534;-0,576415747;1;;;;;;;;;;;;;
64;1,176536985;0,314042128;1,35307397;0;0,217686471;0,14197162;-0,274378429;1;0,652027831;0,249761659;0,304055662;1;;;;;;;;;;;;;
65;0,466836711;0,391951258;-0,066326579;1;0,194232687;0,152847425;-0,352557711;1;0,343397911;0,261055863;-0,313204178;1;;;;;;;;;;;;;
66;0,504760054;0,424839368;0,009520109;1;0,204443644;0,161545872;-0,318521187;1;0,605613143;0,268347521;0,211226286;1;;;;;;;;;;;;;
67;0,395537567;0,426758701;-0,208924865;1;0,63269708;0,151405881;1,108990267;0;0,995851638;0,252117636;0,991703275;0;;;;;;;;;;;;;
68;0,921105603;0,295785426;0,842211207;1;0,395148878;0,127031979;0,317162926;1;0,662844916;0,231469648;0,325689833;1;;;;;;;;;;;;;
69;0,200746784;0,483085083;-0,598506431;1;0,342813403;0,162502206;0,142711343;1;0,658246071;0,277685938;0,316492142;1;;;;;;;;;;;;;
70;0,606495895;0,405885132;0,21299179;1;0,474262771;0,148726998;0,580875903;1;0,481105681;0,246786918;-0,037788639;1;;;;;;;;;;;;;
71;-0,05602666;0,710763307;-1,112053319;1;0,248803656;0,176305338;-0,170654479;1;0,282408381;0,288141825;-0,435183239;1;;;;;;;;;;;;;
72;1,275626201;0,289488266;1,551252403;0;0,189188716;0,137615702;-0,369370946;1;0,265311828;0,239376181;-0,469376345;1;;;;;;;;;;;;;
73;0,882147433;0,324942508;0,764294866;1;0,106797652;0,138643782;-0,644007826;1;0,563716792;0,240022449;0,127433583;1;;;;;;;;;;;;;
74;0,175000459;0,486043087;-0,649999082;1;0,448925048;0,164409891;0,496416828;1;0,592687679;0,275649168;0,185375357;1;;;;;;;;;;;;;
75;0,762993729;0,326646082;0,525987459;1;0,157442528;0,146548487;-0,475191575;1;0,337647683;0,252111723;-0,324704635;1;;;;;;;;;;;;;
76;0,300233793;0,460989364;-0,399532414;1;0,193573338;0,162242227;-0,35475554;1;0,734304131;0,277703803;0,468608262;1;;;;;;;;;;;;;
77;0,771942484;0,343468102;0,543884967;1;0,480936971;0,141066059;0,603123236;1;0,578613176;0,249478082;0,157226352;1;;;;;;;;;;;;;
78;1,260575091;0,258279534;1,521150181;0;0,398485404;0,132020736;0,328284681;1;0,130111432;0,209096018;-0,739777135;1;;;;;;;;;;;;;
79;0,93336577;0,309779379;0,86673154;1;0,329178496;0,140293838;0,097261654;1;0,147149195;0,240403263;-0,70570161;1;;;;;;;;;;;;;
80;0,492286684;0,403822634;-0,015426632;1;0,435007226;0,15143659;0,450024088;1;0,543971798;0,26094012;0,087943596;1;;;;;;;;;;;;;
81;0,492445929;0,360162476;-0,015108142;1;0,269699176;0,143412294;-0,101002747;1;0,845469289;0,251804408;0,690938577;1;;;;;;;;;;;;;
82;0,025819479;0,526941702;-0,948361041;1;0,441161958;0,162822003;0,470539859;1;0,746540133;0,277992871;0,493080267;1;;;;;;;;;;;;;
83;0,877807126;0,360620104;0,755614253;1;0,520589575;0,146713274;0,735298583;1;-0,312959965;0,244308967;-1,62591993;0;;;;;;;;;;;;;
84;0,332474558;0,418739422;-0,335050884;1;0,420855909;0,156039404;0,402853031;1;0,636246088;0,27777242;0,272492175;1;;;;;;;;;;;;;
85;1,331818979;0,292818494;1,663637959;0;0,31420198;0,133994877;0,047339933;1;0,075579135;0,224757175;-0,848841729;1;;;;;;;;;;;;;
86;1,218900919;0,24929124;1,437801837;0;0,277583178;0,128252429;-0,074722739;1;0,475706121;0,211693973;-0,048587759;1;;;;;;;;;;;;;
87;0,270135238;0,400013249;-0,459729524;1;0,262362223;0,151698109;-0,125459255;1;0,85271088;0,263080199;0,705421759;1;;;;;;;;;;;;;
88;0,607693424;0,357974684;0,215386848;1;0,17399702;0,148968226;-0,420009935;1;0,558656665;0,252662938;0,11731333;1;;;;;;;;;;;;;
89;0,074050776;0,488525612;-0,851898449;1;0,437488806;0,160792773;0,458296019;1;0,576367686;0,278826472;0,152735372;1;;;;;;;;;;;;;
90;0,288427852;0,405939703;-0,423144296;1;0,247283042;0,148861586;-0,175723195;1;0,578191414;0,248829595;0,156382828;1;;;;;;;;;;;;;
91;0,432339428;0,372364692;-0,135321144;1;0,175953342;0,149896588;-0,413488859;1;0,699255926;0,25076287;0,398511852;1;;;;;;;;;;;;;
92;0,452015136;0,471588069;-0,095969729;1;0,424622392;0,159970983;0,415407974;1;0,491459474;0,287393417;-0,017081053;1;;;;;;;;;;;;;
93;0,567774244;0,334127425;0,135548488;1;0,038959426;0,139787572;-0,870135246;1;0,885648623;0,240877384;0,771297245;1;;;;;;;;;;;;;
94;0,697556324;0,398528342;0,395112649;1;0,222821279;0,154711985;-0,257262405;1;0,589062961;0,271513214;0,178125922;1;;;;;;;;;;;;;
95;0,491707393;0,383883749;-0,016585214;1;0,38856855;0,150550873;0,295228501;1;0,443051687;0,252767646;-0,113896626;1;;;;;;;;;;;;;
96;0,753479076;0,428233916;0,506958153;1;0,246838952;0,160540586;-0,177203494;1;-0,144544052;0,271744093;-1,289088103;0;;;;;;;;;;;;;
97;1,111592223;0,332586742;1,223184446;1;0,213496195;0,141752725;-0,288346018;1;0,295579526;0,235717168;-0,408840949;1;;;;;;;;;;;;;
98;-0,027404071;0,585556834;-1,054808142;1;0,168884318;0,171763948;-0,437052272;1;0,52733303;0,293275553;0,05466606;1;;;;;;;;;;;;;
99;0,250588217;0,479311892;-0,498823566;1;0,412618766;0,160685502;0,375395886;1;0,693654751;0,274860925;0,387309501;1;;;;;;;;;;;;;
100;0,423463767;0,381592685;-0,153072466;1;0,207050856;0,145291618;-0,309830478;1;0,844333728;0,263156187;0,688667456;1;;;;;;;;;;;;;
101;0,581986104;0,442316549;0,163972207;1;0,101390337;0,156453654;-0,66203221;1;0,268484242;0,269406334;-0,463031516;1;;;;;;;;;;;;;
102;0,275076509;0,505241857;-0,449846981;1;0,542514688;0,160692439;0,808382295;1;0,314836902;0,273523178;-0,370326196;1;;;;;;;;;;;;;
103;-0,435514379;1,009507644;-1,871028758;1;0,222047156;0,182492925;-0,259842812;1;0,480990666;0,314259723;-0,038018667;1;;;;;;;;;;;;;
104;0,081690048;0,462450986;-0,836619903;1;0,27209555;0,158937914;-0,093014833;1;0,761880954;0,269431537;0,523761908;1;;;;;;;;;;;;;
