;mean;se;bias;cp;mean;se;bias;cp;mean;se;bias;cp;;mean;sd;bias;cp;mean;sd;bias;cp;mean;sd;bias;cp
1;-1,131373669;0,275736775;0,131373669;1;-0,417400017;0,246841468;-0,536222203;1;-0,110100229;0,389787649;-0,449498854;1;;-1,046365677;0,392249794;0,046365677;0,955;-0,935317173;0,373744951;0,039241303;0,95;-0,17705229;0,56231264;-0,114738548;0,949
2;-0,857233488;0,361076001;-0,142766512;1;-0,65040234;0,305657113;-0,277330734;1;-0,401332451;0,506418447;1,006662257;1;;;;;;;;;;;;;
3;-0,614276621;0,30919744;-0,385723379;1;-0,648350296;0,328129371;-0,279610782;1;-1,850835013;0,55020691;8,254175063;0;;;;;;;;;;;;;
4;-0,784630147;0,327735758;-0,215369853;1;-0,458865763;0,316269727;-0,490149153;1;-1,402621276;0,561002039;6,013106378;0;;;;;;;;;;;;;
5;-1,016519892;0,338295533;0,016519892;1;-0,677064808;0,286861653;-0,247705769;1;0,392335036;0,473355651;-2,961675179;1;;;;;;;;;;;;;
6;-0,736875595;0,302206093;-0,263124405;1;-0,827872733;0,310753835;-0,080141407;1;-0,908027285;0,472369755;3,540136423;1;;;;;;;;;;;;;
7;-1,069052822;0,47809842;0,069052822;1;-0,48732971;0,368765277;-0,458522544;1;-0,628247518;0,611928618;2,141237591;1;;;;;;;;;;;;;
8;-0,819450632;0,295877378;-0,180549368;1;-0,752340582;0,295089448;-0,16406602;1;0,096966796;0,524979982;-1,484833978;1;;;;;;;;;;;;;
9;-1,447657116;0,390897187;0,447657116;1;-0,686681511;0,305488241;-0,237020544;1;0,672640404;0,485663492;-4,36320202;1;;;;;;;;;;;;;
10;-1,117337476;0,373421369;0,117337476;1;-1,753610734;0,394642723;0,948456371;0;0,744425049;0,551226059;-4,722125247;1;;;;;;;;;;;;;
11;-1,573714767;0,479885657;0,573714767;1;-1,8156243;0,49764132;1,017360333;1;0,774368647;0,607107843;-4,871843234;1;;;;;;;;;;;;;
12;-1,346858247;0,434633741;0,346858247;1;-1,027638514;0,373325268;0,141820571;1;0,725901127;0,573959945;-4,629505637;1;;;;;;;;;;;;;
13;-0,519966411;0,384628389;-0,480033589;1;-0,745014027;0,32102201;-0,172206637;1;-0,477535219;0,535984188;1,387676097;1;;;;;;;;;;;;;
14;-1,15879801;0,316335408;0,15879801;1;-0,763852419;0,277882918;-0,15127509;1;0,401919658;0,455160809;-3,009598291;1;;;;;;;;;;;;;
15;-1,948389599;0,467972903;0,948389599;0;-1,214290741;0,364372203;0,349211934;1;0,996508749;0,576580166;-5,982543743;0;;;;;;;;;;;;;
16;-0,992039341;0,398672899;-0,007960659;1;-1,098735748;0,366528141;0,220817498;1;0,268398354;0,589816498;-2,341991768;1;;;;;;;;;;;;;
17;-1,298321292;0,322361015;0,298321292;1;-1,402180233;0,353855595;0,557978037;1;0,26152419;0,419581123;-2,307620949;1;;;;;;;;;;;;;
18;-1,856937082;0,478742969;0,856937082;1;-0,593428591;0,383551774;-0,340634899;1;0,366944353;0,693713299;-2,834721763;1;;;;;;;;;;;;;
19;-0,724078459;0,398663229;-0,275921541;1;-0,298090407;0,339522501;-0,668788437;1;-0,948912359;0,531427086;3,744561794;1;;;;;;;;;;;;;
20;-0,990377374;0,303830385;-0,009622626;1;-1,285375316;0,358134119;0,428194796;1;-0,481616855;0,433154815;1,408084277;1;;;;;;;;;;;;;
21;-1,10368038;0,332485683;0,10368038;1;-1,213497237;0,3611724;0,348330263;1;-0,06734546;0,474987908;-0,663272698;1;;;;;;;;;;;;;
22;-1,217754184;0,559680583;0,217754184;1;-0,685078065;0,350668564;-0,23880215;1;0,983635359;0,551978904;-5,918176797;0;;;;;;;;;;;;;
23;-1,261059244;0,378058247;0,261059244;1;-1,055691672;0,347174905;0,172990747;1;0,345484263;0,508092959;-2,727421313;1;;;;;;;;;;;;;
24;-0,87415231;0,482942073;-0,12584769;1;-0,475296207;0,325558593;-0,471893103;1;-0,115094282;0,585269426;-0,424528591;1;;;;;;;;;;;;;
25;-1,731579967;0,457289169;0,731579967;1;-0,549194382;0,354705852;-0,38978402;1;0,562037389;0,623653929;-3,810186944;1;;;;;;;;;;;;;
26;-0,64392784;0,302748815;-0,35607216;1;-0,840574556;0,309899593;-0,066028272;1;-0,663616791;0,432765349;2,318083957;1;;;;;;;;;;;;;
27;-1,050450701;0,261074795;0,050450701;1;-1,058908138;0,28276281;0,176564598;1;-0,105907305;0,368787239;-0,470463477;1;;;;;;;;;;;;;
28;-1,426665179;0,532718151;0,426665179;1;-0,253445321;0,408522952;-0,718394087;1;-0,562849135;0,686583249;1,814245673;1;;;;;;;;;;;;;
29;-1,377429025;0,383122028;0,377429025;1;-0,972867285;0,381963165;0,08096365;1;-0,369689777;0,554087771;0,848448884;1;;;;;;;;;;;;;
30;-1,074886404;0,582053876;0,074886404;1;-0,941640511;0,465235302;0,046267234;1;-0,518994808;0,754179808;1,594974038;1;;;;;;;;;;;;;
31;-0,908018328;0,463178136;-0,091981672;1;-1,228562188;0,412499157;0,365069097;1;-0,015794005;0,600529069;-0,921029974;1;;;;;;;;;;;;;
32;-0,518498388;0,400040205;-0,481501612;1;-1,726852161;0,426077038;0,918724624;1;-1,302620438;0,637461904;5,513102191;1;;;;;;;;;;;;;
33;-1,826301457;0,47527594;0,826301457;1;-1,234673192;0,415642644;0,371859102;1;0,757052329;0,623623159;-4,785261646;1;;;;;;;;;;;;;
34;-0,565044095;0,35905747;-0,434955905;1;-1,181052906;0,319937403;0,312281006;1;-0,551915824;0,522184869;1,759579118;1;;;;;;;;;;;;;
35;-0,736193401;0,319883329;-0,263806599;1;-0,659493767;0,293214268;-0,267229148;1;-0,718164296;0,483555583;2,590821482;1;;;;;;;;;;;;;
36;-0,603103385;0,210457127;-0,396896615;1;-1,117778861;0,292476515;0,241976512;1;-0,865204902;0,379098938;3,326024511;1;;;;;;;;;;;;;
37;-0,531897425;0,415076315;-0,468102575;1;-0,919903896;0,375635832;0,02211544;1;-0,278756022;0,701200326;0,393780111;1;;;;;;;;;;;;;
38;-1,150906965;0,403853687;0,150906965;1;-0,446566721;0,320767401;-0,503814754;1;-0,193395022;0,553269416;-0,033024888;1;;;;;;;;;;;;;
39;-1,049110628;0,366439578;0,049110628;1;-0,969097258;0,350840383;0,076774731;1;-0,19804727;0,5316772;-0,009763649;1;;;;;;;;;;;;;
40;-0,906898152;0,396220561;-0,093101848;1;-0,619596192;0,368234484;-0,311559787;1;-0,181308038;0,585230826;-0,09345981;1;;;;;;;;;;;;;
41;-1,312673263;0,368894951;0,312673263;1;-1,258354182;0,377915454;0,398171314;1;0,220035877;0,490494502;-2,100179383;1;;;;;;;;;;;;;
42;-1,101748933;0,323627894;0,101748933;1;-1,020479522;0,344832216;0,133866135;1;-0,763495896;0,519089959;2,817479482;1;;;;;;;;;;;;;
43;-1,553039737;0,424635583;0,553039737;1;-0,955355802;0,403053107;0,061506447;1;-0,716545889;0,636309933;2,582729445;1;;;;;;;;;;;;;
44;-0,776023871;0,252079613;-0,223976129;1;-1,415787915;0,348749068;0,573097683;1;-1,102982982;0,463955371;4,514914911;1;;;;;;;;;;;;;
45;-1,340906887;0,362312552;0,340906887;1;-0,364923582;0,317289111;-0,594529354;1;-0,16347495;0,525857888;-0,18262525;1;;;;;;;;;;;;;
46;-0,764371153;0,294725234;-0,235628847;1;-0,851673371;0,29094435;-0,053696254;1;-0,414609779;0,434410783;1,073048897;1;;;;;;;;;;;;;
47;-0,12432371;0,513322493;-0,87567629;1;-1,420197413;0,412450554;0,577997126;1;-0,062736535;0,62554629;-0,686317325;1;;;;;;;;;;;;;
48;-0,580197806;0,295178312;-0,419802194;1;-1,089029385;0,295051296;0,21003265;1;-0,765984737;0,446278794;2,829923686;1;;;;;;;;;;;;;
49;-0,88624741;0,444683145;-0,11375259;1;-0,572473879;0,327920767;-0,363917913;1;0,158922318;0,559347667;-1,794611592;1;;;;;;;;;;;;;
50;-0,54034821;0,392983227;-0,45965179;1;-0,589037567;0,346701832;-0,345513814;1;-0,773716783;0,571262839;2,868583916;1;;;;;;;;;;;;;
