;mean;se;bias;cp;mean;se;bias;cp;mean;se;bias;cp;;mean;sd;bias;cp;mean;sd;bias;cp;mean;sd;bias;cp
1;-1,269544118;0,277157929;0,269544118;1;-0,803296543;0,256534079;-0,107448285;1;-0,257439832;0,400796739;0,28719916;1;;-1,040161227;0,281253316;0,040161227;0,942;-0,914709082;0,273591557;0,016343425;0,944;-0,173878432;0,407998506;-0,130607839;0,942
2;-1,574026666;0,42446517;0,574026666;1;-1,224728697;0,38007971;0,360809663;1;-0,160252697;0,575053231;-0,198736517;1;;;;;;;;;;;;;
3;-0,609829271;0,279958628;-0,390170729;1;-0,911205723;0,253079947;0,012450804;1;-0,380804459;0,404855718;0,904022295;1;;;;;;;;;;;;;
4;-1,352643652;0,313821914;0,352643652;1;-1,09200631;0,291165573;0,213340344;1;0,134554388;0,434747489;-1,672771942;1;;;;;;;;;;;;;
5;-0,548584313;0,325367606;-0,451415687;1;-0,719918037;0,267426293;-0,20009107;1;-0,707713354;0,460872068;2,538566769;1;;;;;;;;;;;;;
6;-1,116850768;0,263402569;0,116850768;1;-1,199602043;0,286601357;0,332891159;1;-0,620163858;0,382804657;2,10081929;1;;;;;;;;;;;;;
7;-0,550777584;0,259719341;-0,449222416;1;-0,955679649;0,246419661;0,061866276;1;-0,608864562;0,39679414;2,04432281;1;;;;;;;;;;;;;
8;-1,237777151;0,295650577;0,237777151;1;-1,342884016;0,311044221;0,492093351;1;-0,326174946;0,424779036;0,63087473;1;;;;;;;;;;;;;
9;-1,298753916;0,293588994;0,298753916;1;-1,255491192;0,294596072;0,394990213;1;0,362493575;0,395681632;-2,812467874;1;;;;;;;;;;;;;
10;-0,739110221;0,260137308;-0,260889779;1;-1,231767575;0,274476344;0,368630639;1;-0,251218165;0,374298988;0,256090826;1;;;;;;;;;;;;;
11;-1,234045642;0,226368871;0,234045642;1;-0,695085468;0,197859723;-0,227682813;1;0,363878519;0,283645876;-2,819392597;0;;;;;;;;;;;;;
12;-1,213046675;0,244401709;0,213046675;1;-0,844197368;0,218746255;-0,062002925;1;0,310764126;0,317425203;-2,553820632;1;;;;;;;;;;;;;
13;-1,173196667;0,200557218;0,173196667;1;-0,895402224;0,206257556;-0,00510864;1;0,208532543;0,284344127;-2,042662714;1;;;;;;;;;;;;;
14;-0,843771826;0,293853301;-0,156228174;1;-0,829168788;0,255991235;-0,078701347;1;-0,457151158;0,399826417;1,285755792;1;;;;;;;;;;;;;
15;-1,361661114;0,276992679;0,361661114;1;-1,565911378;0,323768043;0,739901531;0;-0,023111251;0,402328882;-0,884443747;1;;;;;;;;;;;;;
16;-1,626701429;0,371252388;0,626701429;1;-0,590037704;0,256611453;-0,344402551;1;0,725168084;0,465095203;-4,625840419;0;;;;;;;;;;;;;
17;-1,232075764;0,28106866;0,232075764;1;-0,798972021;0,268215322;-0,11225331;1;-0,161668023;0,393092009;-0,191659885;1;;;;;;;;;;;;;
18;-0,294915418;0,346430936;-0,705084582;0;-0,678319148;0,264120056;-0,246312058;1;-0,658223406;0,438753894;2,291117028;1;;;;;;;;;;;;;
19;-0,697620063;0,293623391;-0,302379937;1;-0,681745346;0,253758878;-0,242505171;1;-0,584479008;0,410034272;1,922395042;1;;;;;;;;;;;;;
20;-1,33773135;0,290730003;0,33773135;1;-0,642547579;0,229219368;-0,286058246;1;0,602387288;0,365729499;-4,011936438;0;;;;;;;;;;;;;
21;-1,422212976;0,316697366;0,422212976;1;-0,579866732;0,261428282;-0,355703631;1;0,055387623;0,425547061;-1,276938114;1;;;;;;;;;;;;;
22;-1,089929715;0,254146222;0,089929715;1;-1,063876485;0,276776251;0,182084983;1;-0,553381487;0,416112969;1,766907435;1;;;;;;;;;;;;;
23;-0,922182723;0,34714482;-0,077817277;1;-1,366848295;0,324774423;0,518720328;1;-0,221824331;0,484067951;0,109121657;1;;;;;;;;;;;;;
24;-1,16673092;0,277179438;0,16673092;1;-0,763297499;0,249211482;-0,151891668;1;-0,139015621;0,386695292;-0,304921893;1;;;;;;;;;;;;;
25;-1,377761521;0,269945275;0,377761521;1;-1,380922875;0,285644902;0,534358749;1;0,384569099;0,374757417;-2,922845497;1;;;;;;;;;;;;;
26;-0,749986596;0,221273063;-0,250013404;1;-1,506678434;0,300759355;0,674087149;0;-0,562798991;0,368862447;1,813994954;1;;;;;;;;;;;;;
27;-1,801343458;0,327616464;0,801343458;0;-1,19085447;0,302433835;0,323171634;1;0,461194384;0,453332538;-3,30597192;1;;;;;;;;;;;;;
28;-1,331357566;0,363265161;0,331357566;1;-0,963898544;0,286655595;0,070998382;1;0,279167626;0,45493712;-2,395838132;1;;;;;;;;;;;;;
29;-1,244746739;0,308144886;0,244746739;1;-1,03627055;0,27589396;0,151411722;1;0,213194419;0,391195531;-2,065972097;1;;;;;;;;;;;;;
30;-1,136523203;0,282060242;0,136523203;1;-0,793205832;0,272208119;-0,118660187;1;-0,391948089;0,427328659;0,959740445;1;;;;;;;;;;;;;
31;-0,877737748;0,240939008;-0,122262252;1;-0,805803437;0,233137554;-0,104662848;1;-0,22042325;0,352556786;0,102116251;1;;;;;;;;;;;;;
32;-0,908775938;0,211828405;-0,091224062;1;-1,266857225;0,260056742;0,407619139;1;-0,646694595;0,355923352;2,233472975;1;;;;;;;;;;;;;
33;-1,332820433;0,272998122;0,332820433;1;-0,904605016;0,252967316;0,005116684;1;0,132159527;0,375435441;-1,660797635;1;;;;;;;;;;;;;
34;-1,209801493;0,286084234;0,209801493;1;-0,608097327;0,229476439;-0,324336304;1;0,328296362;0,3766229;-2,641481812;1;;;;;;;;;;;;;
