"";"x"
"1";0,5
"2";0,45
"3";0,55
"4";0,6
"5";0,47
"6";0,56
"7";0,63
"8";0,58
"9";0,4
"10";0,57
"11";0,5
"12";0,57
"13";0,47
"14";0,57
"15";0,61
"16";0,56
"17";0,55
"18";0,42
"19";0,47
"20";0,52
"21";0,63
"22";0,52
"23";0,61
"24";0,49
"25";0,49
"26";0,55
"27";0,61
"28";0,5
"29";0,58
"30";0,5
"31";0,53
"32";0,56
"33";0,52
"34";0,53
"35";0,57
"36";0,52
"37";0,49
"38";0,51
"39";0,48
"40";0,51
"41";0,48
"42";0,61
"43";0,55
"44";0,53
"45";0,63
"46";0,54
"47";0,62
"48";0,59
"49";0,55
"50";0,51
"51";0,58
"52";0,5
"53";0,55
"54";0,57
"55";0,49
"56";0,47
"57";0,51
"58";0,49
"59";0,45
"60";0,58
"61";0,55
"62";0,55
"63";0,63
"64";0,46
"65";0,6
"66";0,46
"67";0,5
"68";0,5
"69";0,5
"70";0,43
"71";0,43
"72";0,53
"73";0,54
"74";0,49
"75";0,48
"76";0,58
"77";0,51
"78";0,55
"79";0,52
"80";0,55
"81";0,6
"82";0,48
"83";0,51
"84";0,56
"85";0,46
"86";0,57
"87";0,58
"88";0,49
"89";0,55
"90";0,6
"91";0,56
"92";0,59
"93";0,55
"94";0,58
"95";0,53
"96";0,4
"97";0,47
"98";0,5
"99";0,57
"100";0,57
"101";0,52
"102";0,5
"103";0,55
"104";0,53
"105";0,61
"106";0,58
"107";0,4
"108";0,59
"109";0,59
"110";0,53
"111";0,64
"112";0,59
"113";0,59
"114";0,51
"115";0,54
"116";0,44
"117";0,57
"118";0,61
"119";0,6
"120";0,52
"121";0,44
"122";0,55
"123";0,69
"124";0,64
"125";0,49
"126";0,44
"127";0,5
"128";0,59
"129";0,57
"130";0,6
"131";0,45
"132";0,61
"133";0,51
"134";0,57
"135";0,63
"136";0,52
"137";0,52
"138";0,52
"139";0,51
"140";0,48
"141";0,58
"142";0,47
"143";0,52
"144";0,46
"145";0,51
"146";0,53
"147";0,66
"148";0,63
"149";0,53
"150";0,53
"151";0,51
"152";0,45
"153";0,56
"154";0,52
"155";0,5
"156";0,51
"157";0,55
"158";0,6
"159";0,59
"160";0,51
"161";0,46
"162";0,6
"163";0,51
"164";0,57
"165";0,61
"166";0,53
"167";0,55
"168";0,54
"169";0,44
"170";0,57
"171";0,47
"172";0,56
"173";0,58
"174";0,6
"175";0,45
"176";0,5
"177";0,6
"178";0,46
"179";0,55
"180";0,53
"181";0,53
"182";0,54
"183";0,52
"184";0,59
"185";0,59
"186";0,61
"187";0,51
"188";0,57
"189";0,49
"190";0,63
"191";0,44
"192";0,57
"193";0,53
"194";0,62
"195";0,49
"196";0,57
"197";0,53
"198";0,53
"199";0,59
"200";0,55
"201";0,5
"202";0,53
"203";0,47
"204";0,55
"205";0,5
"206";0,43
"207";0,5
"208";0,52
"209";0,53
"210";0,48
"211";0,51
"212";0,46
"213";0,53
"214";0,53
"215";0,5
"216";0,47
"217";0,55
"218";0,65
"219";0,65
"220";0,5
"221";0,53
"222";0,49
"223";0,51
"224";0,55
"225";0,61
"226";0,67
"227";0,45
"228";0,48
"229";0,54
"230";0,57
"231";0,51
"232";0,54
"233";0,56
"234";0,67
"235";0,55
"236";0,59
"237";0,54
"238";0,61
"239";0,56
"240";0,4
"241";0,55
"242";0,42
"243";0,44
"244";0,45
"245";0,5
"246";0,55
"247";0,56
"248";0,53
"249";0,5
"250";0,41
"251";0,6
"252";0,54
"253";0,5
"254";0,62
"255";0,44
"256";0,5
"257";0,51
"258";0,52
