"";"x"
"1";0,5
"2";0,584
"3";0,506
"4";0,51
"5";0,516
"6";0,508
"7";0,52
"8";0,508
"9";0,504
"10";0,524
"11";0,422
"12";0,434
"13";0,414
"14";0,502
"15";0,492
"16";0,514
"17";0,494
"18";0,518
"19";0,534
"20";0,504
"21";0,49
"22";0,476
"23";0,518
"24";0,51
"25";0,51
"26";0,506
"27";0,486
"28";0,496
"29";0,534
"30";0,556
"31";0,456
"32";0,476
"33";0,464
"34";0,49
"35";0,486
"36";0,476
"37";0,434
"38";0,52
"39";0,522
"40";0,516
"41";0,524
"42";0,574
"43";0,496
"44";0,512
"45";0,464
"46";0,532
"47";0,492
"48";0,462
"49";0,486
"50";0,456
"51";0,466
"52";0,446
"53";0,52
"54";0,49
"55";0,508
"56";0,494
"57";0,466
"58";0,512
"59";0,496
"60";0,526
"61";0,502
"62";0,484
"63";0,486
"64";0,598
"65";0,47
"66";0,518
"67";0,522
"68";0,474
"69";0,488
"70";0,482
"71";0,494
"72";0,532
"73";0,476
"74";0,516
"75";0,506
"76";0,52
"77";0,498
"78";0,468
"79";0,478
"80";0,496
"81";0,496
"82";0,5
"83";0,478
"84";0,51
"85";0,474
"86";0,488
"87";0,484
"88";0,488
"89";0,5
"90";0,444
"91";0,46
"92";0,524
"93";0,498
"94";0,522
"95";0,478
"96";0,526
"97";0,494
"98";0,516
"99";0,508
"100";0,494
"101";0,488
"102";0,496
"103";0,52
"104";0,494
"105";0,462
"106";0,48
"107";0,484
"108";0,452
"109";0,484
"110";0,508
"111";0,478
"112";0,47
"113";0,518
"114";0,498
"115";0,496
"116";0,482
"117";0,51
"118";0,466
"119";0,492
"120";0,506
"121";0,536
"122";0,454
"123";0,488
"124";0,494
"125";0,5
"126";0,494
"127";0,498
"128";0,482
"129";0,518
"130";0,512
"131";0,514
"132";0,484
"133";0,442
"134";0,46
"135";0,504
"136";0,522
"137";0,456
"138";0,48
"139";0,426
"140";0,518
"141";0,504
"142";0,492
"143";0,49
"144";0,506
"145";0,506
"146";0,548
"147";0,474
"148";0,498
"149";0,442
"150";0,5
"151";0,514
"152";0,46
"153";0,536
"154";0,48
"155";0,472
"156";0,486
"157";0,482
"158";0,516
"159";0,518
"160";0,508
"161";0,528
"162";0,484
"163";0,504
"164";0,51
"165";0,442
"166";0,466
"167";0,462
"168";0,496
"169";0,51
"170";0,482
"171";0,506
"172";0,498
"173";0,474
"174";0,506
"175";0,502
"176";0,498
"177";0,49
"178";0,5
"179";0,502
"180";0,438
"181";0,476
"182";0,484
"183";0,474
"184";0,496
"185";0,534
"186";0,556
"187";0,498
"188";0,536
"189";0,492
"190";0,434
"191";0,48
"192";0,476
"193";0,504
"194";0,482
