;mean;se;bias;cp;;mean;sd;bias;cp
1;4,146605865;1,292500646;0,382201955;1;;3,266407464;1,114188389;0,088802488;0,944
2;4,122838152;1,239269233;0,374279384;1;;;;;
3;5,88571754;1,713754828;0,961905847;1;;mean;sd;bias;cp
4;3,421345495;1,134578241;0,140448498;1;;-1,021914215;0,186525673;0,021914215;0,948
5;3,469788783;1,107067931;0,156596261;1;;-0,916283924;0,175034118;0,018093249;0,951
6;1,564616151;0,600679451;-0,478461283;0;;-0,189387001;0,258479026;-0,053064993;0,952
7;2,950739154;1,031430983;-0,016420282;1;;0,515816081;0,288772101;0,031632162;0,932
8;2,5195694;0,802456691;-0,160143533;1;;0,299588604;0,106014592;-0,001371322;0,952
9;4,967380821;1,419138364;0,655793607;1;;0,492448825;0,182321842;-0,01510235;0,95
10;2,821223939;0,94053586;-0,05959202;1;;3,266407464;1,114188389;0,088802488;0,944
11;5,229796447;1,553874641;0,743265482;1;;;;;
12;2,438331777;0,832220271;-0,187222741;1;;;;;
13;3,333745059;1,15074264;0,111248353;1;;;;;
14;5,371742964;1,514006336;0,790580988;1;;;;;
15;3,307736661;1,104007302;0,102578887;1;;;;;
16;2,807551504;0,986279517;-0,064149499;1;;;;;
17;3,814026545;1,151247532;0,271342182;1;;;;;
18;3,676938508;1,107922904;0,225646169;1;;;;;
19;9,224993757;2,60603958;2,074997919;0;;;;;
20;4,566082227;1,340028344;0,522027409;1;;;;;
21;6,780849442;1,891827986;1,260283147;0;;;;;
22;1,248026244;0,558584018;-0,583991252;0;;;;;
23;2,701386359;0,908144521;-0,09953788;1;;;;;
24;4,050004675;1,126021951;0,350001558;1;;;;;
25;2,327084574;0,865071956;-0,224305142;1;;;;;
26;3,839089702;1,130843639;0,279696567;1;;;;;
27;4,418893547;1,251326982;0,472964516;1;;;;;
28;3,307781222;1,161945857;0,102593741;1;;;;;
29;2,166637767;0,705928158;-0,277787411;1;;;;;
30;2,6841721;0,918095482;-0,105275967;1;;;;;
31;4,437146733;1,297191344;0,479048911;1;;;;;
32;2,856219247;0,878072995;-0,047926918;1;;;;;
33;1,756390507;0,782189741;-0,414536498;1;;;;;
