"";"x"
"1";0,469
"2";0,4692
"3";0,466
"4";0,4554
"5";0,461
"6";0,4704
"7";0,4732
"8";0,479
"9";0,4798
"10";0,4864
"11";0,4426
"12";0,4738
"13";0,456
"14";0,4624
"15";0,4602
"16";0,4684
"17";0,4452
"18";0,4636
"19";0,4848
"20";0,467
"21";0,4714
"22";0,4636
"23";0,4764
"24";0,4646
"25";0,476
"26";0,4936
"27";0,484
"28";0,4736
"29";0,4494
"30";0,4724
"31";0,4612
"32";0,4764
"33";0,4634
"34";0,4562
"35";0,4798
"36";0,468
"37";0,4584
"38";0,4604
"39";0,4894
"40";0,4742
"41";0,4862
"42";0,46
"43";0,4648
"44";0,4608
"45";0,4678
"46";0,4732
"47";0,487
"48";0,4668
"49";0,477
"50";0,4858
"51";0,456
"52";0,4788
"53";0,49
"54";0,4702
"55";0,4666
"56";0,4614
"57";0,456
"58";0,4626
"59";0,4678
"60";0,4604
"61";0,4542
"62";0,4836
"63";0,473
"64";0,4514
"65";0,4674
"66";0,4726
"67";0,4736
"68";0,4814
"69";0,4634
"70";0,4488
"71";0,4578
"72";0,4486
"73";0,4762
"74";0,465
"75";0,4804
"76";0,4632
"77";0,4692
"78";0,485
"79";0,4908
"80";0,454
"81";0,4684
"82";0,473
"83";0,4716
"84";0,4642
"85";0,4586
"86";0,4532
"87";0,4728
"88";0,459
"89";0,4788
"90";0,4722
"91";0,4726
"92";0,4498
"93";0,479
"94";0,4836
"95";0,4798
"96";0,4798
"97";0,4828
"98";0,4704
"99";0,473
"100";0,465
"101";0,468
"102";0,4766
"103";0,4674
"104";0,4864
"105";0,4682
"106";0,4604
"107";0,4836
"108";0,457
"109";0,4684
"110";0,4652
"111";0,48
"112";0,477
"113";0,477
"114";0,4824
"115";0,4726
"116";0,453
"117";0,483
"118";0,4564
"119";0,4978
"120";0,4606
"121";0,4842
"122";0,4758
"123";0,482
"124";0,4678
"125";0,4878
"126";0,4834
"127";0,4916
"128";0,4598
"129";0,462
"130";0,4804
"131";0,4806
"132";0,4634
"133";0,473
"134";0,475
"135";0,4788
"136";0,4848
"137";0,4656
"138";0,4678
"139";0,4476
"140";0,4616
"141";0,4826
"142";0,456
"143";0,4592
"144";0,473
"145";0,5014
"146";0,4712
"147";0,4448
"148";0,4754
"149";0,4884
"150";0,4682
"151";0,477
"152";0,489
"153";0,4632
"154";0,4776
"155";0,4584
"156";0,4646
"157";0,4774
"158";0,4654
"159";0,4814
"160";0,4728
"161";0,458
"162";0,4422
"163";0,458
"164";0,457
"165";0,475
"166";0,4636
"167";0,4794
"168";0,4514
"169";0,4726
"170";0,4598
"171";0,475
"172";0,4434
"173";0,5
"174";0,4576
"175";0,47
"176";0,471
"177";0,4788
"178";0,4468
"179";0,4844
"180";0,4758
"181";0,4878
"182";0,4792
"183";0,4728
"184";0,4496
"185";0,4678
"186";0,49
"187";0,4724
"188";0,471
"189";0,473
"190";0,455
"191";0,4804
"192";0,4624
"193";0,4658
"194";0,4728
"195";0,4706
"196";0,4562
"197";0,4756
"198";0,4842
"199";0,4644
"200";0,4694
"201";0,47
"202";0,4704
"203";0,469
"204";0,4776
"205";0,4864
"206";0,459
"207";0,4732
"208";0,4784
"209";0,4762
"210";0,4682
"211";0,4726
"212";0,473
"213";0,4772
"214";0,475
"215";0,47
"216";0,4608
"217";0,4766
"218";0,4632
"219";0,451
"220";0,4672
"221";0,4792
"222";0,4776
"223";0,4664
"224";0,4646
"225";0,4732
"226";0,4814
"227";0,463
"228";0,48
"229";0,4532
"230";0,4458
"231";0,4686
"232";0,4686
"233";0,4678
"234";0,4466
"235";0,4832
"236";0,4608
"237";0,4722
"238";0,4674
"239";0,4726
"240";0,4652
"241";0,4734
"242";0,468
"243";0,4832
"244";0,4566
"245";0,454
"246";0,461
"247";0,4744
"248";0,4902
"249";0,4816
"250";0,4762
"251";0,4538
"252";0,4584
"253";0,4436
"254";0,4724
"255";0,472
"256";0,4654
"257";0,4532
"258";0,4626
"259";0,4622
"260";0,4822
"261";0,4836
"262";0,4748
"263";0,4494
"264";0,4692
"265";0,5032
"266";0,4742
"267";0,4686
"268";0,4574
"269";0,4446
"270";0,4542
"271";0,4668
"272";0,467
"273";0,4662
"274";0,4718
"275";0,4688
"276";0,475
"277";0,4686
"278";0,4886
"279";0,4774
"280";0,4758
"281";0,4764
"282";0,4498
"283";0,442
"284";0,4552
"285";0,4644
"286";0,4684
"287";0,467
"288";0,4868
"289";0,4626
"290";0,4478
"291";0,46
"292";0,4822
"293";0,4602
"294";0,4616
"295";0,4688
"296";0,4632
"297";0,4544
"298";0,4732
"299";0,4456
"300";0,4638
"301";0,467
"302";0,4624
"303";0,4698
"304";0,4594
"305";0,486
"306";0,4688
"307";0,475
"308";0,4878
"309";0,4634
"310";0,4612
"311";0,4506
"312";0,4872
"313";0,4784
"314";0,4512
"315";0,46
"316";0,4594
"317";0,4622
"318";0,4702
"319";0,4814
"320";0,4824
"321";0,4792
"322";0,4684
"323";0,4764
"324";0,463
"325";0,477
"326";0,4494
"327";0,489
"328";0,4692
"329";0,4494
"330";0,4672
"331";0,4844
"332";0,4634
"333";0,4566
"334";0,4534
"335";0,474
"336";0,454
"337";0,4628
"338";0,4696
"339";0,4724
"340";0,4726
"341";0,4712
"342";0,475
"343";0,458
"344";0,4562
"345";0,451
"346";0,462
"347";0,466
"348";0,474
"349";0,4742
"350";0,4498
"351";0,4586
"352";0,4748
"353";0,463
"354";0,4686
"355";0,4564
"356";0,4674
"357";0,4814
"358";0,4584
"359";0,4606
"360";0,4612
"361";0,461
"362";0,4698
"363";0,4702
"364";0,46
"365";0,4768
"366";0,462
"367";0,481
"368";0,452
"369";0,4694
"370";0,4522
"371";0,465
"372";0,4744
"373";0,454
"374";0,4762
"375";0,4584
"376";0,4792
"377";0,4624
"378";0,453
"379";0,4822
"380";0,4676
"381";0,4706
"382";0,4712
"383";0,4718
"384";0,4616
"385";0,4872
"386";0,475
"387";0,4872
"388";0,4602
"389";0,4884
"390";0,4714
"391";0,4594
"392";0,4644
"393";0,4726
"394";0,4706
"395";0,4694
"396";0,4796
"397";0,4724
"398";0,4622
"399";0,4856
"400";0,473
"401";0,4658
"402";0,4808
"403";0,478
"404";0,4722
"405";0,4644
"406";0,4672
"407";0,458
"408";0,4782
"409";0,4762
"410";0,4644
"411";0,4572
"412";0,4744
"413";0,4678
"414";0,4756
"415";0,4632
"416";0,4694
"417";0,4846
"418";0,478
"419";0,4836
"420";0,4654
"421";0,4768
"422";0,4584
"423";0,473
"424";0,4644
"425";0,4678
"426";0,449
"427";0,4528
"428";0,474
"429";0,4612
"430";0,4546
"431";0,4866
"432";0,467
"433";0,463
"434";0,4608
"435";0,463
"436";0,4652
"437";0,4724
"438";0,4646
"439";0,4686
"440";0,468
"441";0,472
"442";0,466
"443";0,4642
"444";0,484
"445";0,4718
"446";0,484
"447";0,448
"448";0,4638
"449";0,4896
"450";0,4734
"451";0,4656
"452";0,474
"453";0,4806
"454";0,453
"455";0,4658
"456";0,4698
"457";0,4678
"458";0,4674
"459";0,4728
"460";0,4554
"461";0,4648
"462";0,4648
"463";0,459
"464";0,454
"465";0,4804
"466";0,4874
"467";0,4784
"468";0,4644
"469";0,4924
"470";0,4806
"471";0,4642
"472";0,4998
"473";0,4874
"474";0,4798
"475";0,4624
"476";0,4758
"477";0,4794
"478";0,4604
"479";0,4806
"480";0,4882
"481";0,4676
"482";0,449
"483";0,4602
"484";0,4672
"485";0,4658
"486";0,4694
"487";0,4658
"488";0,4784
"489";0,4572
"490";0,4572
"491";0,4772
"492";0,485
"493";0,4734
"494";0,4796
"495";0,4822
"496";0,4834
"497";0,4818
"498";0,4802
"499";0,4772
"500";0,4748
"501";0,4706
