;mean;se;bias;cp;mean;se;bias;cp;mean;se;bias;cp;;mean;sd;bias;cp;mean;sd;bias;cp;mean;sd;bias;cp
1;0,536416059;0,050653266;-0,105973235;1;0,242741973;0,03975756;0,213709864;1;0,479486484;0,067612148;0,19871621;1;;0,602145829;0,052455336;0,003576382;0,946;0,20075267;0,040205479;0,003763351;0,95;0,398649527;0,068195624;-0,003376183;0,949
2;0,653237819;0,050962359;0,088729698;1;0,188958434;0,039868614;-0,055207829;1;0,314045258;0,067771775;-0,214886856;1;;;;;;;;;;;;;
3;0,746205225;0,052017067;0,243675376;0;0,082726718;0,039959212;-0,58636641;0;0,274329722;0,069444662;-0,314175695;1;;;;;;;;;;;;;
4;0,560024387;0,049566749;-0,066626022;1;0,131254653;0,038103641;-0,343726736;1;0,452197798;0,066356152;0,130494495;1;;;;;;;;;;;;;
5;0,620272205;0,051772432;0,033787008;1;0,139110924;0,039178897;-0,304445379;1;0,401864288;0,069175279;0,004660721;1;;;;;;;;;;;;;
6;0,52423764;0,049324041;-0,126270599;1;0,264297731;0,038358871;0,321488656;1;0,436121822;0,06611682;0,090304554;1;;;;;;;;;;;;;
7;0,577090707;0,050503212;-0,038182155;1;0,23283087;0,039343091;0,164154351;1;0,395812553;0,066626121;-0,010468618;1;;;;;;;;;;;;;
8;0,535540288;0,049623745;-0,107432854;1;0,162947419;0,038743484;-0,185262906;1;0,415562475;0,065651019;0,038906187;1;;;;;;;;;;;;;
9;0,667637128;0,050929817;0,112728547;1;0,141526924;0,039113016;-0,292365378;1;0,351296405;0,067632344;-0,121758987;1;;;;;;;;;;;;;
10;0,606250523;0,051880668;0,010417539;1;0,176669712;0,039366846;-0,116651438;1;0,409271655;0,069842041;0,023179137;1;;;;;;;;;;;;;
11;0,563233191;0,052480574;-0,061278015;1;0,227507962;0,040172374;0,137539811;1;0,488090072;0,069486929;0,220225179;1;;;;;;;;;;;;;
12;0,652261463;0,052252369;0,087102439;1;0,191694247;0,039813547;-0,041528764;1;0,384609289;0,069555567;-0,038476778;1;;;;;;;;;;;;;
13;0,58712549;0,051769675;-0,021457517;1;0,197561158;0,039276855;-0,012194212;1;0,440047128;0,068780477;0,10011782;1;;;;;;;;;;;;;
14;0,517236689;0,050227452;-0,137938852;1;0,18277317;0,038876772;-0,086134148;1;0,507440706;0,06720261;0,268601765;1;;;;;;;;;;;;;
15;0,608354306;0,05112746;0,013923843;1;0,223614899;0,039862785;0,118074494;1;0,397001809;0,067483605;-0,007495479;1;;;;;;;;;;;;;
16;0,618459443;0,051144405;0,030765738;1;0,266890332;0,040024645;0,33445166;1;0,373595264;0,068987421;-0,06601184;1;;;;;;;;;;;;;
17;0,584073961;0,050451719;-0,026543399;1;0,258631694;0,039319001;0,293158472;1;0,401244534;0,066788301;0,003111335;1;;;;;;;;;;;;;
18;0,615925212;0,051803632;0,02654202;1;0,201734387;0,039861597;0,008671934;1;0,374098779;0,068422101;-0,064753052;1;;;;;;;;;;;;;
19;0,631575896;0,050853147;0,052626494;1;0,252547173;0,03896786;0,262735864;1;0,262672861;0,06659422;-0,343317849;0;;;;;;;;;;;;;
20;0,554902324;0,051388344;-0,075162793;1;0,214528048;0,040065163;0,072640238;1;0,442649079;0,068303883;0,106622696;1;;;;;;;;;;;;;
21;0,58078106;0,050643163;-0,032031566;1;0,155369957;0,038682147;-0,223150216;1;0,369243841;0,066400331;-0,076890397;1;;;;;;;;;;;;;
22;0,534966433;0,051486326;-0,108389279;1;0,199923932;0,040064516;-0,00038034;1;0,447938719;0,068083427;0,119846797;1;;;;;;;;;;;;;
23;0,588502325;0,051877657;-0,019162791;1;0,205253961;0,039973733;0,026269803;1;0,420592716;0,068044209;0,051481791;1;;;;;;;;;;;;;
24;0,611360029;0,051894768;0,018933382;1;0,171245935;0,039868347;-0,143770325;1;0,447651609;0,068480793;0,119129021;1;;;;;;;;;;;;;
25;0,537512248;0,050607466;-0,104146253;1;0,170023932;0,039035623;-0,14988034;1;0,432774264;0,068554057;0,081935659;1;;;;;;;;;;;;;
26;0,588018996;0,051072863;-0,01996834;1;0,273063474;0,039342422;0,365317371;1;0,325794458;0,067668971;-0,185513855;1;;;;;;;;;;;;;
27;0,588424067;0,049854769;-0,019293222;1;0,187946451;0,038342223;-0,060267744;1;0,406844613;0,065940944;0,017111533;1;;;;;;;;;;;;;
28;0,569882734;0,051513002;-0,050195443;1;0,202920188;0,040145163;0,014600942;1;0,505765786;0,067413031;0,264414465;1;;;;;;;;;;;;;
29;0,552206298;0,050557391;-0,079656171;1;0,309889362;0,039587861;0,549446808;0;0,481393415;0,0665456;0,203483536;1;;;;;;;;;;;;;
30;0,608048934;0,051338129;0,01341489;1;0,262064593;0,039694176;0,310322963;1;0,285722168;0,067247816;-0,28569458;1;;;;;;;;;;;;;
31;0,691291722;0,05359461;0,152152869;1;0,152067737;0,041106885;-0,239661316;1;0,421260712;0,071103433;0,05315178;1;;;;;;;;;;;;;
32;0,612181465;0,050118016;0,020302442;1;0,220563778;0,038347264;0,10281889;1;0,316393367;0,066685101;-0,209016582;1;;;;;;;;;;;;;
33;0,507055552;0,050179986;-0,154907414;1;0,200173238;0,03893363;0,000866188;1;0,480840988;0,066580228;0,20210247;1;;;;;;;;;;;;;
