;mean;se;bias;cp;;;;;;;;;;mean;sd;bias;cp
85;0,705730539;0,218465972;0,411461078;1;;;;;;;;;;;;;
86;0,613219034;0,215641607;0,226438067;1;;;;;;;;;;;;;
87;0,709613361;0,212142708;0,419226721;1;;;;;;;;;;;;;
88;0,675996635;0,246209702;0,35199327;1;;;;;;;;;;;;;
89;0,334893706;0,104269988;-0,330212588;1;;;;;;;;;;;;;
90;0,389161454;0,15531172;-0,221677092;1;;;;;;;;;;;;;
91;0,40110312;0,148653647;-0,19779376;1;;;;;;;;;;;;;
92;0,956061524;0,297393546;0,912123049;1;;;;;;;;;;;;;
93;0,346800919;0,106409699;-0,306398163;1;;;;;;;;;;;;;
94;0,978944994;0,340037147;0,957889988;1;;;;;;;;;;;;;
95;0,548570295;0,187188475;0,09714059;1;;;;;;;;;;;;;
96;0,577000623;0,169572483;0,154001246;1;;;;;;;;;;;;;
97;0,250274185;0,114607676;-0,49945163;0;;;;;;;;;;;;;
98;0,401375599;0,124389319;-0,197248803;1;;;;;;;;;;;;;
99;0,556948026;0,154838604;0,113896051;1;;;;;;;;;;;;;
100;0,467605246;0,143415694;-0,064789508;1;;;;;;;;;;;;;
101;0,520921759;0,189537507;0,041843519;1;;;;;;;;;;;;;
102;0,419645474;0,121951385;-0,160709053;1;;;;;;;;;;;;;
103;0,559028792;0,176850804;0,118057584;1;;;;;;;;;;;;;
104;0,291668847;0,102260449;-0,416662306;0;;;;;;;;;;;;;
105;0,663550354;0,199345385;0,327100707;1;;;;;;;;;;;;;
106;0,538390469;0,158289094;0,076780938;1;;;;;;;;;;;;;
107;0,33275488;0,111321731;-0,334490239;1;;;;;;;;;;;;;
108;0,659563709;0,22901255;0,319127419;1;;;;;;;;;;;;;
109;0,512406799;0,165553556;0,024813598;1;;;;;;;;;;;;;
110;0,297291741;0,104369651;-0,405416518;1;;;;;;;;;;;;;
111;0,411471289;0,147276236;-0,177057421;1;;;;;;;;;;;;;
112;0,292707035;0,104166526;-0,414585929;0;;;;;;;;;;;;;
113;0,574669701;0,170449352;0,149339403;1;;;;;;;;;;;;;
114;0,696844185;0,199460515;0,39368837;1;;;;;;;;;;;;;
115;0,342043509;0,108471797;-0,315912982;1;;;;;;;;;;;;;
116;0,462553827;0,133933469;-0,074892347;1;;;;;;;;;;;;;
117;0,392401108;0,148648682;-0,215197783;1;;;;;;;;;;;;;
118;0,631756747;0,208353795;0,263513494;1;;;;;;;;;;;;;
119;0,545079481;0,154282805;0,090158961;1;;;;;;;;;;;;;
