;mean;se;bias;cp;;;;;;;;;;mean;sd;bias;cp
1;0,514965672;0,324161496;0,029931344;1;;;;;;;;;;0,472065321;0,346150889;-0,055869358;0,805
2;0,142599411;0,129932604;-0,714801178;0;;;;;;;;;;;;;
3;0,137465211;0,149994083;-0,725069579;0;;mean;sd;bias;cp;;;;;;;;
4;0,271918581;0,160769817;-0,456162837;1;;-1,119367743;0,705106819;0,119367743;0,944;;;;;;;;
5;0,201993136;0,123183598;-0,596013728;0;;-0,501781567;0,665951406;0,003563134;0,95;;;;;;;;
6;1,548360918;0,99282677;2,096721836;1;;-0,20215956;1,098319216;0,010797799;0,934;;;;;;;;
7;0,132785569;0,093635157;-0,734428862;0;;0,501395822;0,409974727;-0,164340297;0,902;;;;;;;;
8;0,396439912;0,298734676;-0,207120176;1;;0,19571629;0,313182084;-0,021418548;0,938;;;;;;;;
9;0,608712749;0,32987687;0,217425499;1;;0,393951938;0,527442166;-0,015120155;0,934;;;;;;;;
10;0,141725852;0,166430096;-0,716548297;0;;0,472065321;0,346150889;-0,055869358;0,805;;;;;;;;
11;0,50663673;0,29144478;0,013273461;1;;;;;;;;;;;;;
12;0,461991357;0,2613541;-0,076017285;1;;;;;;;;;;;;;
13;0,485125796;0,287154076;-0,029748407;1;;;;;;;;;;;;;
14;0,242555369;0,155840691;-0,514889261;1;;;;;;;;;;;;;
15;0,193314529;0,170324238;-0,613370943;1;;;;;;;;;;;;;
16;0,534140864;0,454407392;0,068281728;1;;;;;;;;;;;;;
17;0,335111299;0,317537251;-0,329777401;1;;;;;;;;;;;;;
18;0,082327249;0,086741648;-0,835345501;0;;;;;;;;;;;;;
19;0,448026967;0,347112484;-0,103946066;1;;;;;;;;;;;;;
20;0,4222705;0,305521805;-0,155459;1;;;;;;;;;;;;;
21;1,782560392;0,877940682;2,565120785;1;;;;;;;;;;;;;
22;0,411975605;0,363062205;-0,17604879;1;;;;;;;;;;;;;
23;0,594969414;0,382375269;0,189938827;1;;;;;;;;;;;;;
24;0,474087193;0,308268266;-0,051825615;1;;;;;;;;;;;;;
25;0,242373179;0,164600606;-0,515253642;1;;;;;;;;;;;;;
26;0,067492527;0,081818677;-0,865014946;0;;;;;;;;;;;;;
27;0,589075891;0,416858183;0,178151781;1;;;;;;;;;;;;;
28;0,276356969;0,21431865;-0,447286062;1;;;;;;;;;;;;;
29;0,198678413;0,129889323;-0,602643175;0;;;;;;;;;;;;;
30;0,48151292;0,278551619;-0,03697416;1;;;;;;;;;;;;;
31;0,058299401;0,056914785;-0,883401197;0;;;;;;;;;;;;;
32;0,666511457;0,352811985;0,333022913;1;;;;;;;;;;;;;
33;0,232093417;0,158583016;-0,535813167;1;;;;;;;;;;;;;
34;0,457537078;0,28846264;-0,084925843;1;;;;;;;;;;;;;
35;0,23854424;0,192804678;-0,522911521;1;;;;;;;;;;;;;
36;0,134765352;0,109024234;-0,730469297;0;;;;;;;;;;;;;
37;0,144397195;0,179937888;-0,71120561;0;;;;;;;;;;;;;
38;0,323600851;0,255284201;-0,352798299;1;;;;;;;;;;;;;
39;0,64266044;0,295552067;0,285320879;1;;;;;;;;;;;;;
40;0,262426928;0,219690021;-0,475146144;1;;;;;;;;;;;;;
41;0,345400301;0,202742942;-0,309199397;1;;;;;;;;;;;;;
42;1,035744935;0,721533155;1,07148987;1;;;;;;;;;;;;;
43;0,164686577;0,123661816;-0,670626846;0;;;;;;;;;;;;;
44;0,641800247;0,44690591;0,283600495;1;;;;;;;;;;;;;
45;0,127099125;0,081613642;-0,745801751;0;;;;;;;;;;;;;
46;0,122647486;0,107889074;-0,754705028;0;;;;;;;;;;;;;
47;0,661148116;0,375220463;0,322296231;1;;;;;;;;;;;;;
48;0,213802883;0,16768901;-0,572394234;1;;;;;;;;;;;;;
49;0,366162007;0,272034011;-0,267675986;1;;;;;;;;;;;;;
50;0,639660603;0,516945347;0,279321207;1;;;;;;;;;;;;;
51;1,155425063;0,754499264;1,310850127;1;;;;;;;;;;;;;
52;0,758894632;0,393384224;0,517789263;1;;;;;;;;;;;;;
53;0,904169124;0,495373358;0,808338249;1;;;;;;;;;;;;;
54;0,512848926;0,265866061;0,025697852;1;;;;;;;;;;;;;
55;0,628846659;0,404213378;0,257693318;1;;;;;;;;;;;;;
56;0,732811324;0,516064029;0,465622647;1;;;;;;;;;;;;;
57;0,143419214;0,135816508;-0,713161572;0;;;;;;;;;;;;;
58;0,511001423;0,396532539;0,022002846;1;;;;;;;;;;;;;
59;0,327253795;0,175922096;-0,34549241;1;;;;;;;;;;;;;
60;0,201333995;0,155859897;-0,59733201;1;;;;;;;;;;;;;
61;0,4905921;0,339379322;-0,018815799;1;;;;;;;;;;;;;
62;0,206627105;0,173094261;-0,586745789;1;;;;;;;;;;;;;
63;0,605686173;0,349296985;0,211372345;1;;;;;;;;;;;;;
64;0,479483086;0,290798446;-0,041033828;1;;;;;;;;;;;;;
65;0,492365865;0,250070646;-0,015268269;1;;;;;;;;;;;;;
66;0,455970894;0,259986158;-0,088058211;1;;;;;;;;;;;;;
67;0,286848816;0,201921389;-0,426302369;1;;;;;;;;;;;;;
68;0,07972685;0,071465932;-0,840546299;0;;;;;;;;;;;;;
69;0,574485541;0,364806938;0,148971082;1;;;;;;;;;;;;;
70;0,210866369;0,156124232;-0,578267261;1;;;;;;;;;;;;;
71;1,314626033;0,837572306;1,629252066;1;;;;;;;;;;;;;
72;0,22334435;0,145064523;-0,5533113;1;;;;;;;;;;;;;
73;0,362122339;0,237061686;-0,275755323;1;;;;;;;;;;;;;
74;0,932910292;0,565444888;0,865820584;1;;;;;;;;;;;;;
75;0,767207853;0,399494677;0,534415706;1;;;;;;;;;;;;;
76;0,203866435;0,176594309;-0,592267131;1;;;;;;;;;;;;;
77;0,796547506;0,401710379;0,593095012;1;;;;;;;;;;;;;
78;0,493868102;0,33052844;-0,012263796;1;;;;;;;;;;;;;
79;0,361497279;0,256307952;-0,277005442;1;;;;;;;;;;;;;
80;0,335448423;0,181948252;-0,329103154;1;;;;;;;;;;;;;
81;0,351345113;0,306281572;-0,297309774;1;;;;;;;;;;;;;
82;0,179378175;0,128272452;-0,64124365;0;;;;;;;;;;;;;
83;0,147012808;0,112884629;-0,705974384;0;;;;;;;;;;;;;
84;0,451797574;0,302243448;-0,096404851;1;;;;;;;;;;;;;
85;0,130280677;0,107833225;-0,739438645;0;;;;;;;;;;;;;
86;0,369116474;0,22378952;-0,261767051;1;;;;;;;;;;;;;
87;0,271000028;0,211775284;-0,457999943;1;;;;;;;;;;;;;
88;0,919378708;0,501662213;0,838757417;1;;;;;;;;;;;;;
89;0,324484279;0,212143638;-0,351031443;1;;;;;;;;;;;;;
90;0,402457253;0,418055577;-0,195085495;1;;;;;;;;;;;;;
91;0,278394887;0,163393092;-0,443210225;1;;;;;;;;;;;;;
92;0,367006754;0,253430759;-0,265986492;1;;;;;;;;;;;;;
93;0,732048351;0,529805621;0,464096703;1;;;;;;;;;;;;;
94;0,575983941;0,400389611;0,151967881;1;;;;;;;;;;;;;
95;0,162009385;0,14397607;-0,67598123;0;;;;;;;;;;;;;
96;0,678512713;0,379811132;0,357025426;1;;;;;;;;;;;;;
97;0,793788915;0,432312632;0,587577829;1;;;;;;;;;;;;;
98;0,095722393;0,104161018;-0,808555214;0;;;;;;;;;;;;;
99;0,238022922;0,194339059;-0,523954157;1;;;;;;;;;;;;;
100;0,200629644;0,157610866;-0,598740712;1;;;;;;;;;;;;;
101;0,390502782;0,252592944;-0,218994436;1;;;;;;;;;;;;;
102;0,141924823;0,096028232;-0,716150354;0;;;;;;;;;;;;;
103;0,421811817;0,313925992;-0,156376366;1;;;;;;;;;;;;;
104;0,224043395;0,24803303;-0,551913211;1;;;;;;;;;;;;;
105;1,035106637;0,62904965;1,070213274;1;;;;;;;;;;;;;
106;1,224901772;0,893884391;1,449803544;1;;;;;;;;;;;;;
107;0,261303436;0,229353638;-0,477393127;1;;;;;;;;;;;;;
108;0,416947866;0,290794595;-0,166104267;1;;;;;;;;;;;;;
109;0,109509363;0,087765035;-0,780981274;0;;;;;;;;;;;;;
110;0,483419865;0,313500135;-0,033160269;1;;;;;;;;;;;;;
111;0,349122063;0,247741605;-0,301755874;1;;;;;;;;;;;;;
112;0,554500686;0,311912577;0,109001373;1;;;;;;;;;;;;;
113;0,129596846;0,123457701;-0,740806308;0;;;;;;;;;;;;;
114;0,648639851;0,345735745;0,297279702;1;;;;;;;;;;;;;
115;0,253014277;0,181113371;-0,493971445;1;;;;;;;;;;;;;
116;0,271577977;0,152528074;-0,456844046;1;;;;;;;;;;;;;
117;0,021952714;0,027282096;-0,956094572;0;;;;;;;;;;;;;
118;0,191521301;0,186498427;-0,616957398;1;;;;;;;;;;;;;
119;0,288763204;0,244370872;-0,422473592;1;;;;;;;;;;;;;
120;0,665917831;0,375620783;0,331835663;1;;;;;;;;;;;;;
121;0,241271822;0,17961066;-0,517456356;1;;;;;;;;;;;;;
122;0,387284789;0,286434588;-0,225430422;1;;;;;;;;;;;;;
123;0,484046683;0,308558511;-0,031906635;1;;;;;;;;;;;;;
124;0,820468953;0,481976145;0,640937907;1;;;;;;;;;;;;;
125;0,233520791;0,20760457;-0,532958417;1;;;;;;;;;;;;;
126;0,136707138;0,13418687;-0,726585725;0;;;;;;;;;;;;;
127;0,197822337;0,14881201;-0,604355325;0;;;;;;;;;;;;;
128;0,416938309;0,235075482;-0,166123383;1;;;;;;;;;;;;;
129;0,867675441;0,520054048;0,735350881;1;;;;;;;;;;;;;
130;0,715444277;0,582243441;0,430888554;1;;;;;;;;;;;;;
131;0,738814567;0,377144248;0,477629134;1;;;;;;;;;;;;;
132;0,992033915;0,547763565;0,98406783;1;;;;;;;;;;;;;
133;0,335171473;0,241204714;-0,329657054;1;;;;;;;;;;;;;
134;0,249188671;0,15788489;-0,501622659;1;;;;;;;;;;;;;
135;0,21117755;0,143706429;-0,577644901;0;;;;;;;;;;;;;
136;0,555678866;0,309258904;0,111357732;1;;;;;;;;;;;;;
137;0,265421031;0,165160534;-0,469157937;1;;;;;;;;;;;;;
138;0,241046554;0,186288696;-0,517906892;1;;;;;;;;;;;;;
139;1,043173815;0,748072418;1,086347629;1;;;;;;;;;;;;;
140;0,209370144;0,135532713;-0,581259712;0;;;;;;;;;;;;;
141;0,112550464;0,114156504;-0,774899072;0;;;;;;;;;;;;;
142;0,302431318;0,248671222;-0,395137364;1;;;;;;;;;;;;;
143;0,188250108;0,205262102;-0,623499784;1;;;;;;;;;;;;;
144;0,305271379;0,170145694;-0,389457243;1;;;;;;;;;;;;;
145;0,095597985;0,084362943;-0,808804029;0;;;;;;;;;;;;;
146;0,569996265;0,338035019;0,13999253;1;;;;;;;;;;;;;
147;0,34051866;0,182247694;-0,318962679;1;;;;;;;;;;;;;
148;0,296508106;0,246592955;-0,406983788;1;;;;;;;;;;;;;
149;0,263211561;0,175361751;-0,473576878;1;;;;;;;;;;;;;
150;0,425265167;0,247273091;-0,149469666;1;;;;;;;;;;;;;
151;0,301871863;0,199280618;-0,396256274;1;;;;;;;;;;;;;
152;0,349502737;0,242387053;-0,300994526;1;;;;;;;;;;;;;
153;0,845387462;0,612358645;0,690774923;1;;;;;;;;;;;;;
154;0,339427571;0,198758271;-0,321144858;1;;;;;;;;;;;;;
155;0,284699656;0,206462247;-0,430600689;1;;;;;;;;;;;;;
156;0,327703505;0,182452062;-0,344592991;1;;;;;;;;;;;;;
