"";"x"
"1";0,517
"2";0,52
"3";0,522
"4";0,524
"5";0,511
"6";0,533
"7";0,547
"8";0,543
"9";0,529
"10";0,52
"11";0,584
"12";0,522
"13";0,558
"14";0,506
"15";0,512
"16";0,547
"17";0,526
"18";0,524
"19";0,543
"20";0,544
"21";0,54
"22";0,552
"23";0,509
"24";0,553
"25";0,511
"26";0,559
"27";0,544
"28";0,518
"29";0,534
"30";0,515
"31";0,492
"32";0,548
"33";0,532
"34";0,55
"35";0,522
"36";0,523
"37";0,503
"38";0,551
"39";0,503
"40";0,499
"41";0,547
"42";0,544
"43";0,556
"44";0,507
"45";0,505
"46";0,522
"47";0,502
"48";0,554
"49";0,518
"50";0,503
"51";0,558
"52";0,514
"53";0,532
"54";0,475
"55";0,551
"56";0,544
"57";0,533
"58";0,537
"59";0,532
"60";0,534
"61";0,519
"62";0,552
"63";0,547
"64";0,546
"65";0,522
"66";0,502
"67";0,567
"68";0,532
"69";0,532
"70";0,527
"71";0,54
"72";0,529
"73";0,545
"74";0,529
"75";0,47
"76";0,509
"77";0,533
"78";0,533
"79";0,571
"80";0,507
"81";0,538
"82";0,533
"83";0,538
"84";0,549
"85";0,532
"86";0,549
"87";0,535
"88";0,521
"89";0,513
"90";0,503
"91";0,553
"92";0,528
"93";0,496
"94";0,565
"95";0,531
"96";0,516
"97";0,564
"98";0,526
"99";0,54
"100";0,523
"101";0,543
"102";0,517
"103";0,517
"104";0,53
"105";0,523
"106";0,536
"107";0,524
"108";0,544
"109";0,527
"110";0,528
"111";0,485
"112";0,534
"113";0,567
"114";0,541
"115";0,533
"116";0,535
"117";0,523
"118";0,52
"119";0,531
"120";0,538
"121";0,557
"122";0,534
"123";0,518
"124";0,523
"125";0,516
"126";0,555
"127";0,507
"128";0,529
"129";0,533
"130";0,502
"131";0,504
"132";0,563
"133";0,513
"134";0,531
"135";0,506
"136";0,518
"137";0,519
"138";0,526
"139";0,524
"140";0,543
"141";0,565
"142";0,524
"143";0,524
"144";0,524
"145";0,494
"146";0,492
"147";0,525
"148";0,553
"149";0,547
"150";0,52
"151";0,524
"152";0,542
"153";0,561
"154";0,52
"155";0,54
"156";0,511
"157";0,522
"158";0,521
"159";0,544
"160";0,529
"161";0,52
"162";0,523
"163";0,52
"164";0,507
"165";0,517
"166";0,517
"167";0,541
"168";0,487
"169";0,492
"170";0,524
"171";0,55
"172";0,554
"173";0,52
"174";0,516
"175";0,518
"176";0,521
"177";0,542
"178";0,538
"179";0,504
"180";0,553
"181";0,543
"182";0,517
"183";0,519
"184";0,498
"185";0,539
"186";0,512
"187";0,57
"188";0,534
"189";0,558
"190";0,561
"191";0,528
"192";0,558
"193";0,56
"194";0,536
"195";0,546
"196";0,531
"197";0,508
"198";0,543
"199";0,494
"200";0,507
"201";0,503
"202";0,527
"203";0,537
"204";0,528
"205";0,489
"206";0,525
"207";0,538
"208";0,546
"209";0,532
"210";0,528
"211";0,549
"212";0,526
"213";0,542
"214";0,569
"215";0,563
"216";0,536
"217";0,526
"218";0,575
"219";0,566
"220";0,526
"221";0,533
"222";0,525
"223";0,542
"224";0,514
"225";0,52
"226";0,509
"227";0,56
"228";0,542
"229";0,511
"230";0,523
"231";0,556
"232";0,544
"233";0,525
"234";0,502
"235";0,536
"236";0,477
"237";0,531
"238";0,515
"239";0,527
"240";0,524
"241";0,528
"242";0,531
"243";0,511
"244";0,531
"245";0,542
"246";0,519
"247";0,518
"248";0,544
"249";0,541
"250";0,538
"251";0,517
"252";0,521
"253";0,548
"254";0,5
"255";0,527
"256";0,527
"257";0,564
"258";0,535
"259";0,538
"260";0,53
"261";0,54
"262";0,568
"263";0,539
"264";0,523
"265";0,504
"266";0,553
"267";0,53
"268";0,54
"269";0,532
"270";0,511
"271";0,512
"272";0,529
"273";0,56
"274";0,531
"275";0,515
"276";0,524
"277";0,493
"278";0,528
"279";0,502
"280";0,515
"281";0,535
"282";0,543
"283";0,549
"284";0,521
"285";0,532
"286";0,53
"287";0,522
"288";0,541
"289";0,535
"290";0,529
"291";0,512
"292";0,505
"293";0,514
"294";0,546
"295";0,571
"296";0,524
"297";0,505
"298";0,529
"299";0,497
"300";0,551
"301";0,517
"302";0,555
"303";0,526
"304";0,499
"305";0,536
"306";0,592
"307";0,553
"308";0,524
"309";0,533
"310";0,535
"311";0,524
"312";0,526
"313";0,543
"314";0,536
"315";0,544
"316";0,517
"317";0,535
"318";0,497
"319";0,546
"320";0,556
"321";0,523
"322";0,515
"323";0,526
"324";0,506
"325";0,542
"326";0,52
"327";0,551
"328";0,526
"329";0,511
"330";0,527
"331";0,526
"332";0,535
"333";0,513
"334";0,543
"335";0,519
"336";0,545
"337";0,529
"338";0,522
"339";0,526
"340";0,547
"341";0,503
"342";0,51
"343";0,586
"344";0,533
"345";0,539
"346";0,534
"347";0,522
"348";0,549
"349";0,555
"350";0,518
"351";0,559
"352";0,477
"353";0,538
"354";0,518
"355";0,509
"356";0,546
"357";0,502
"358";0,521
"359";0,517
"360";0,499
"361";0,552
"362";0,502
"363";0,536
"364";0,514
"365";0,516
"366";0,564
"367";0,544
"368";0,533
"369";0,518
"370";0,541
"371";0,547
"372";0,515
"373";0,546
"374";0,506
"375";0,557
"376";0,544
"377";0,529
"378";0,53
"379";0,509
"380";0,519
"381";0,518
"382";0,524
"383";0,525
"384";0,55
"385";0,522
"386";0,506
"387";0,501
"388";0,533
"389";0,551
"390";0,52
"391";0,579
"392";0,508
"393";0,524
"394";0,506
"395";0,499
"396";0,509
"397";0,535
"398";0,567
"399";0,505
"400";0,512
"401";0,512
"402";0,555
"403";0,489
"404";0,518
"405";0,525
"406";0,523
"407";0,56
"408";0,541
"409";0,506
"410";0,528
"411";0,526
"412";0,496
"413";0,53
"414";0,548
"415";0,547
"416";0,509
"417";0,547
"418";0,502
"419";0,535
"420";0,535
"421";0,538
"422";0,504
"423";0,517
"424";0,549
"425";0,546
"426";0,505
"427";0,503
"428";0,525
"429";0,561
"430";0,516
"431";0,567
"432";0,516
"433";0,533
"434";0,526
"435";0,565
"436";0,521
"437";0,547
"438";0,518
"439";0,559
"440";0,498
"441";0,492
"442";0,541
"443";0,515
"444";0,5
"445";0,499
"446";0,513
"447";0,515
"448";0,526
"449";0,529
"450";0,525
"451";0,513
"452";0,556
"453";0,531
"454";0,53
"455";0,556
"456";0,536
"457";0,549
"458";0,546
"459";0,53
"460";0,579
"461";0,539
"462";0,516
"463";0,541
"464";0,5
"465";0,516
"466";0,538
"467";0,508
"468";0,514
"469";0,546
"470";0,564
"471";0,549
"472";0,527
"473";0,53
"474";0,511
"475";0,525
"476";0,564
"477";0,522
"478";0,559
"479";0,548
"480";0,52
"481";0,547
"482";0,508
"483";0,56
"484";0,508
"485";0,529
"486";0,528
"487";0,542
"488";0,51
"489";0,522
"490";0,534
"491";0,529
"492";0,529
"493";0,535
"494";0,483
"495";0,554
"496";0,531
"497";0,523
"498";0,517
"499";0,552
"500";0,519
"501";0,541
"502";0,551
"503";0,522
"504";0,535
"505";0,53
"506";0,533
"507";0,538
"508";0,549
"509";0,494
"510";0,53
"511";0,552
"512";0,581
"513";0,527
"514";0,544
"515";0,554
"516";0,536
"517";0,548
"518";0,532
"519";0,536
"520";0,532
"521";0,536
"522";0,529
"523";0,524
"524";0,539
"525";0,537
"526";0,556
"527";0,534
"528";0,562
"529";0,501
"530";0,526
"531";0,54
"532";0,522
"533";0,527
"534";0,534
"535";0,541
"536";0,529
"537";0,567
"538";0,544
"539";0,51
"540";0,557
"541";0,537
"542";0,553
"543";0,544
"544";0,504
"545";0,544
"546";0,534
"547";0,517
"548";0,498
"549";0,52
"550";0,527
"551";0,498
"552";0,527
"553";0,517
"554";0,527
"555";0,52
"556";0,477
"557";0,507
"558";0,518
"559";0,525
"560";0,541
"561";0,556
"562";0,544
"563";0,534
"564";0,524
"565";0,551
"566";0,524
"567";0,533
"568";0,516
"569";0,564
"570";0,51
"571";0,522
"572";0,519
"573";0,532
"574";0,535
"575";0,536
"576";0,565
"577";0,523
"578";0,546
"579";0,548
"580";0,507
"581";0,546
"582";0,518
"583";0,517
"584";0,526
"585";0,529
"586";0,471
"587";0,53
"588";0,538
"589";0,516
"590";0,524
"591";0,549
"592";0,538
"593";0,507
"594";0,502
"595";0,515
"596";0,539
"597";0,504
"598";0,53
"599";0,548
"600";0,556
"601";0,514
"602";0,529
"603";0,546
"604";0,516
"605";0,523
"606";0,516
"607";0,525
"608";0,529
"609";0,533
"610";0,562
"611";0,521
"612";0,513
"613";0,524
"614";0,503
"615";0,525
"616";0,547
"617";0,538
"618";0,519
"619";0,543
"620";0,548
"621";0,562
"622";0,529
"623";0,569
"624";0,545
"625";0,527
"626";0,547
"627";0,522
"628";0,545
"629";0,552
"630";0,504
"631";0,535
"632";0,49
"633";0,54
"634";0,541
"635";0,534
"636";0,55
"637";0,534
"638";0,523
"639";0,57
"640";0,527
"641";0,545
"642";0,541
"643";0,527
"644";0,519
"645";0,511
"646";0,528
"647";0,546
"648";0,517
"649";0,514
"650";0,502
"651";0,526
"652";0,492
"653";0,527
"654";0,522
"655";0,512
"656";0,526
"657";0,515
"658";0,565
"659";0,532
"660";0,525
"661";0,51
"662";0,556
"663";0,543
"664";0,553
"665";0,531
"666";0,529
"667";0,529
"668";0,536
"669";0,5
"670";0,52
"671";0,523
