"";"x"
"1";0,6
"2";0,61
"3";0,64
"4";0,47
"5";0,4
"6";0,61
"7";0,5
"8";0,61
"9";0,5
"10";0,66
"11";0,57
"12";0,56
"13";0,57
"14";0,49
"15";0,62
"16";0,63
"17";0,63
"18";0,63
"19";0,57
"20";0,61
"21";0,57
"22";0,7
"23";0,57
"24";0,58
"25";0,49
"26";0,67
"27";0,59
"28";0,59
"29";0,54
"30";0,61
"31";0,58
"32";0,54
"33";0,59
"34";0,56
"35";0,55
"36";0,61
"37";0,7
"38";0,62
"39";0,47
"40";0,62
"41";0,55
"42";0,63
"43";0,57
"44";0,54
"45";0,46
"46";0,56
"47";0,55
"48";0,57
"49";0,65
"50";0,61
"51";0,55
"52";0,43
"53";0,54
"54";0,54
"55";0,58
"56";0,67
"57";0,64
"58";0,67
"59";0,51
"60";0,55
"61";0,55
"62";0,6
"63";0,59
"64";0,59
"65";0,44
"66";0,48
"67";0,56
"68";0,54
"69";0,53
"70";0,59
"71";0,63
"72";0,51
"73";0,61
"74";0,57
"75";0,52
"76";0,61
"77";0,55
"78";0,6
"79";0,56
"80";0,52
"81";0,57
"82";0,56
"83";0,56
"84";0,55
"85";0,53
"86";0,56
"87";0,59
"88";0,56
"89";0,54
"90";0,68
"91";0,48
"92";0,52
"93";0,62
"94";0,61
"95";0,64
"96";0,59
"97";0,55
"98";0,68
"99";0,58
"100";0,62
"101";0,56
"102";0,49
"103";0,6
"104";0,69
"105";0,48
"106";0,62
"107";0,64
"108";0,59
"109";0,53
"110";0,56
"111";0,57
"112";0,56
"113";0,65
"114";0,54
"115";0,5
"116";0,52
"117";0,65
"118";0,69
"119";0,67
"120";0,58
"121";0,52
"122";0,62
"123";0,62
"124";0,58
"125";0,62
"126";0,54
"127";0,6
"128";0,54
"129";0,63
"130";0,63
"131";0,54
"132";0,54
"133";0,58
"134";0,54
"135";0,51
"136";0,54
"137";0,52
"138";0,6
"139";0,56
"140";0,56
"141";0,62
"142";0,64
"143";0,6
"144";0,51
"145";0,51
"146";0,55
"147";0,47
"148";0,62
"149";0,5
"150";0,57
"151";0,62
"152";0,57
"153";0,47
"154";0,52
"155";0,62
"156";0,48
"157";0,63
"158";0,61
"159";0,62
"160";0,6
"161";0,55
"162";0,52
"163";0,48
"164";0,55
"165";0,64
"166";0,56
"167";0,69
"168";0,61
"169";0,46
"170";0,54
"171";0,6
"172";0,54
"173";0,56
"174";0,63
"175";0,58
"176";0,55
"177";0,53
"178";0,59
"179";0,55
"180";0,65
"181";0,56
"182";0,58
"183";0,59
"184";0,68
"185";0,49
"186";0,54
"187";0,59
"188";0,65
"189";0,57
"190";0,51
"191";0,61
"192";0,59
"193";0,53
"194";0,56
"195";0,6
"196";0,56
"197";0,53
"198";0,65
"199";0,58
"200";0,45
"201";0,55
"202";0,61
"203";0,63
"204";0,5
"205";0,55
"206";0,46
"207";0,5
"208";0,52
"209";0,48
"210";0,51
"211";0,58
"212";0,62
"213";0,66
"214";0,56
"215";0,58
"216";0,52
"217";0,56
"218";0,64
"219";0,64
"220";0,59
"221";0,49
"222";0,58
"223";0,56
"224";0,62
"225";0,55
"226";0,59
"227";0,68
"228";0,62
"229";0,51
"230";0,59
"231";0,65
"232";0,63
"233";0,48
"234";0,46
"235";0,59
"236";0,52
"237";0,51
"238";0,52
"239";0,42
"240";0,56
"241";0,68
"242";0,54
"243";0,54
"244";0,48
"245";0,57
"246";0,58
"247";0,53
"248";0,57
"249";0,46
"250";0,55
"251";0,58
"252";0,57
"253";0,6
"254";0,58
"255";0,55
"256";0,62
"257";0,58
"258";0,63
"259";0,66
"260";0,59
"261";0,55
"262";0,62
"263";0,51
"264";0,53
"265";0,59
"266";0,64
"267";0,51
"268";0,56
"269";0,52
"270";0,48
"271";0,54
"272";0,6
"273";0,62
"274";0,52
"275";0,59
"276";0,51
"277";0,45
"278";0,52
"279";0,55
"280";0,58
"281";0,54
"282";0,62
"283";0,54
"284";0,57
"285";0,47
"286";0,6
"287";0,59
"288";0,45
"289";0,67
"290";0,44
"291";0,57
"292";0,61
"293";0,42
"294";0,57
"295";0,63
"296";0,47
"297";0,62
"298";0,65
"299";0,54
"300";0,56
"301";0,6
"302";0,62
"303";0,51
"304";0,56
"305";0,59
"306";0,59
"307";0,53
"308";0,56
"309";0,51
"310";0,58
"311";0,58
"312";0,53
"313";0,62
"314";0,62
"315";0,55
"316";0,65
"317";0,53
"318";0,6
"319";0,57
"320";0,55
"321";0,61
"322";0,52
"323";0,62
"324";0,59
"325";0,52
"326";0,5
"327";0,6
"328";0,52
"329";0,64
"330";0,51
"331";0,6
"332";0,59
"333";0,5
"334";0,59
"335";0,52
"336";0,63
"337";0,55
"338";0,54
"339";0,56
"340";0,58
"341";0,49
"342";0,6
"343";0,5
"344";0,6
"345";0,58
"346";0,51
"347";0,62
"348";0,58
"349";0,54
"350";0,61
"351";0,62
"352";0,51
"353";0,55
"354";0,54
"355";0,61
"356";0,54
"357";0,48
"358";0,44
"359";0,54
"360";0,58
"361";0,71
"362";0,55
"363";0,52
"364";0,46
"365";0,58
"366";0,54
"367";0,64
"368";0,56
"369";0,6
"370";0,67
"371";0,62
"372";0,59
"373";0,67
"374";0,45
"375";0,56
"376";0,69
"377";0,63
"378";0,66
"379";0,64
"380";0,61
"381";0,54
"382";0,6
"383";0,58
"384";0,58
"385";0,54
"386";0,49
"387";0,43
"388";0,46
"389";0,58
"390";0,65
"391";0,53
"392";0,46
"393";0,52
"394";0,68
"395";0,58
"396";0,61
"397";0,64
"398";0,53
"399";0,64
"400";0,58
"401";0,57
"402";0,56
"403";0,55
"404";0,65
"405";0,62
"406";0,63
"407";0,61
"408";0,56
"409";0,52
"410";0,49
"411";0,56
"412";0,55
"413";0,57
"414";0,52
"415";0,53
"416";0,68
"417";0,49
"418";0,7
"419";0,59
"420";0,55
"421";0,6
"422";0,54
"423";0,57
"424";0,52
"425";0,6
"426";0,59
"427";0,57
"428";0,63
"429";0,6
"430";0,53
"431";0,54
"432";0,56
"433";0,53
"434";0,53
"435";0,59
"436";0,63
"437";0,64
"438";0,56
"439";0,55
"440";0,55
"441";0,48
"442";0,59
"443";0,61
"444";0,5
"445";0,53
"446";0,55
"447";0,58
"448";0,61
"449";0,57
"450";0,62
"451";0,53
"452";0,54
"453";0,55
"454";0,49
"455";0,57
"456";0,51
"457";0,56
"458";0,58
"459";0,59
"460";0,46
"461";0,61
"462";0,56
"463";0,63
"464";0,51
"465";0,49
"466";0,61
"467";0,59
"468";0,52
"469";0,51
"470";0,57
"471";0,48
"472";0,52
"473";0,56
"474";0,45
"475";0,54
"476";0,6
"477";0,56
"478";0,6
"479";0,48
"480";0,6
"481";0,67
"482";0,64
"483";0,6
"484";0,48
"485";0,54
"486";0,56
"487";0,46
"488";0,64
"489";0,57
"490";0,54
"491";0,65
"492";0,5
"493";0,58
"494";0,6
"495";0,55
"496";0,56
"497";0,58
"498";0,44
"499";0,59
"500";0,56
"501";0,64
"502";0,64
"503";0,53
"504";0,57
"505";0,61
"506";0,52
"507";0,63
"508";0,7
"509";0,62
"510";0,55
"511";0,54
"512";0,66
"513";0,65
"514";0,52
"515";0,49
"516";0,55
"517";0,54
"518";0,54
"519";0,51
"520";0,58
"521";0,56
"522";0,58
"523";0,64
"524";0,64
"525";0,6
"526";0,52
"527";0,62
"528";0,41
"529";0,62
"530";0,53
"531";0,51
"532";0,62
"533";0,62
"534";0,56
"535";0,52
"536";0,59
"537";0,61
"538";0,51
"539";0,67
"540";0,71
"541";0,54
"542";0,6
"543";0,59
"544";0,59
"545";0,55
"546";0,58
"547";0,56
"548";0,64
"549";0,58
"550";0,62
"551";0,64
"552";0,64
"553";0,66
"554";0,64
"555";0,44
"556";0,62
"557";0,65
"558";0,57
"559";0,6
"560";0,56
"561";0,51
"562";0,52
"563";0,62
"564";0,58
"565";0,62
"566";0,47
"567";0,61
"568";0,61
"569";0,5
"570";0,49
"571";0,58
"572";0,61
"573";0,63
"574";0,55
"575";0,6
"576";0,54
"577";0,53
"578";0,44
"579";0,54
"580";0,54
"581";0,55
"582";0,6
"583";0,59
"584";0,53
"585";0,61
"586";0,61
"587";0,63
"588";0,55
"589";0,66
"590";0,63
"591";0,5
"592";0,57
"593";0,46
"594";0,63
"595";0,64
"596";0,6
"597";0,53
"598";0,54
"599";0,58
"600";0,6
"601";0,53
"602";0,64
"603";0,52
"604";0,6
"605";0,57
"606";0,57
"607";0,6
"608";0,53
"609";0,59
"610";0,48
"611";0,6
"612";0,57
"613";0,64
"614";0,59
"615";0,62
"616";0,46
"617";0,56
"618";0,59
"619";0,58
"620";0,58
"621";0,49
"622";0,6
"623";0,63
"624";0,49
"625";0,48
"626";0,54
"627";0,58
"628";0,57
"629";0,58
"630";0,54
"631";0,61
"632";0,59
"633";0,44
"634";0,53
"635";0,56
"636";0,55
"637";0,49
"638";0,6
"639";0,58
"640";0,56
"641";0,67
"642";0,58
"643";0,56
"644";0,64
"645";0,65
"646";0,62
"647";0,56
"648";0,64
"649";0,59
"650";0,65
"651";0,51
"652";0,66
"653";0,51
"654";0,67
"655";0,58
"656";0,47
"657";0,56
"658";0,53
"659";0,55
"660";0,57
"661";0,59
"662";0,61
"663";0,52
