;mean;se;bias;cp;;;;;;;;;;mean;sd;bias;cp
1;0,394724325;0,066383229;-0,21055135;1;;;;;;;;;;0,500959809;0,080807665;0,001919619;0,954
2;0,543462368;0,084075184;0,086924737;1;;;;;;;;;;;;;
3;0,390196094;0,068223466;-0,219607813;1;;;;;;;;;;;;;
4;0,560440593;0,093694437;0,120881186;1;;;;;;;;;;;;;
5;0,463232014;0,076370816;-0,073535972;1;;;;;;;;;;;;;
6;0,461238769;0,07801694;-0,077522462;1;;;;;;;;;;;;;
7;0,390585694;0,072984622;-0,218828612;1;;;;;;;;;;;;;
8;0,552015424;0,096075437;0,104030848;1;;;;;;;;;;;;;
9;0,541874792;0,085863683;0,083749584;1;;;;;;;;;;;;;
10;0,492508527;0,08051215;-0,014982945;1;;;;;;;;;;;;;
11;0,532141678;0,103228083;0,064283356;1;;;;;;;;;;;;;
12;0,509899184;0,084819923;0,019798367;1;;;;;;;;;;;;;
13;0,45955822;0,080675593;-0,080883561;1;;;;;;;;;;;;;
14;0,626244791;0,099096267;0,252489581;1;;;;;;;;;;;;;
15;0,487120339;0,079883752;-0,025759322;1;;;;;;;;;;;;;
16;0,452768578;0,080234923;-0,094462844;1;;;;;;;;;;;;;
17;0,471259532;0,081624906;-0,057480936;1;;;;;;;;;;;;;
18;0,565762307;0,086327228;0,131524615;1;;;;;;;;;;;;;
19;0,413096634;0,071728041;-0,173806732;1;;;;;;;;;;;;;
20;0,490092307;0,086998978;-0,019815386;1;;;;;;;;;;;;;
21;0,568361831;0,099378935;0,136723662;1;;;;;;;;;;;;;
22;0,501938956;0,086527992;0,003877912;1;;;;;;;;;;;;;
23;0,500784224;0,07900651;0,001568448;1;;;;;;;;;;;;;
24;0,485849836;0,083853486;-0,028300328;1;;;;;;;;;;;;;
25;0,323445612;0,054702496;-0,353108776;0;;;;;;;;;;;;;
26;0,387295409;0,074075047;-0,225409181;1;;;;;;;;;;;;;
27;0,598937546;0,104932745;0,197875092;1;;;;;;;;;;;;;
28;0,420599533;0,07168985;-0,158800934;1;;;;;;;;;;;;;
29;0,463574242;0,078922681;-0,072851515;1;;;;;;;;;;;;;
30;0,536964869;0,084142757;0,073929738;1;;;;;;;;;;;;;
