"";"x"
"1";0,5
"2";0,554
"3";0,554
"4";0,544
"5";0,516
"6";0,498
"7";0,564
"8";0,512
"9";0,522
"10";0,572
"11";0,566
"12";0,538
"13";0,54
"14";0,548
"15";0,548
"16";0,556
"17";0,542
"18";0,564
"19";0,528
"20";0,542
"21";0,576
"22";0,55
"23";0,524
"24";0,556
"25";0,554
"26";0,566
"27";0,548
"28";0,554
"29";0,514
"30";0,554
"31";0,554
"32";0,494
"33";0,516
"34";0,534
"35";0,516
"36";0,56
"37";0,51
"38";0,552
"39";0,498
"40";0,498
"41";0,544
"42";0,55
"43";0,506
"44";0,512
"45";0,566
"46";0,536
"47";0,584
"48";0,524
"49";0,528
"50";0,608
"51";0,53
"52";0,578
"53";0,524
"54";0,6
"55";0,54
"56";0,554
"57";0,592
"58";0,546
"59";0,55
"60";0,578
"61";0,514
"62";0,526
"63";0,532
"64";0,504
"65";0,558
"66";0,526
"67";0,516
"68";0,492
"69";0,508
"70";0,56
"71";0,514
"72";0,596
"73";0,55
"74";0,484
"75";0,52
"76";0,592
"77";0,552
"78";0,574
"79";0,542
"80";0,524
"81";0,556
"82";0,526
"83";0,544
"84";0,552
"85";0,53
"86";0,564
"87";0,596
"88";0,524
"89";0,558
"90";0,534
"91";0,596
"92";0,522
"93";0,51
"94";0,53
"95";0,548
"96";0,56
"97";0,544
"98";0,506
"99";0,566
"100";0,492
"101";0,546
"102";0,532
"103";0,524
"104";0,524
"105";0,538
"106";0,532
"107";0,526
"108";0,584
"109";0,53
"110";0,524
"111";0,504
"112";0,526
"113";0,54
"114";0,576
"115";0,542
"116";0,586
"117";0,502
"118";0,502
"119";0,544
"120";0,542
"121";0,558
"122";0,538
"123";0,548
"124";0,504
"125";0,542
"126";0,53
"127";0,522
"128";0,532
"129";0,568
"130";0,528
"131";0,568
"132";0,546
"133";0,53
"134";0,506
"135";0,464
"136";0,524
"137";0,534
"138";0,538
"139";0,56
"140";0,52
"141";0,528
"142";0,57
"143";0,566
"144";0,502
"145";0,504
"146";0,524
"147";0,552
"148";0,544
"149";0,532
"150";0,532
"151";0,506
"152";0,554
"153";0,554
"154";0,51
"155";0,52
"156";0,562
"157";0,55
"158";0,536
"159";0,55
"160";0,548
"161";0,55
"162";0,534
"163";0,54
"164";0,546
"165";0,486
"166";0,482
"167";0,546
"168";0,492
"169";0,54
"170";0,53
"171";0,534
"172";0,528
"173";0,522
"174";0,54
"175";0,53
"176";0,576
"177";0,554
"178";0,552
"179";0,568
"180";0,584
"181";0,544
"182";0,536
"183";0,536
"184";0,52
"185";0,53
"186";0,508
"187";0,564
"188";0,516
"189";0,514
"190";0,526
"191";0,592
"192";0,552
"193";0,534
"194";0,568
"195";0,602
"196";0,508
"197";0,512
"198";0,522
"199";0,522
"200";0,526
"201";0,498
"202";0,548
"203";0,548
"204";0,542
"205";0,536
"206";0,52
"207";0,564
"208";0,566
"209";0,56
"210";0,51
"211";0,568
"212";0,554
"213";0,544
"214";0,564
"215";0,518
"216";0,596
"217";0,572
"218";0,574
"219";0,536
"220";0,524
"221";0,548
"222";0,526
"223";0,548
"224";0,55
"225";0,524
"226";0,546
"227";0,528
"228";0,546
"229";0,558
"230";0,538
"231";0,488
"232";0,548
"233";0,556
"234";0,466
"235";0,522
"236";0,562
"237";0,538
"238";0,576
"239";0,53
"240";0,554
"241";0,514
"242";0,558
"243";0,536
"244";0,536
"245";0,564
"246";0,554
"247";0,552
"248";0,532
"249";0,516
"250";0,528
"251";0,524
"252";0,508
"253";0,554
"254";0,542
"255";0,49
"256";0,524
"257";0,568
"258";0,532
"259";0,564
"260";0,562
"261";0,488
"262";0,578
"263";0,484
"264";0,524
"265";0,514
"266";0,504
"267";0,564
"268";0,52
"269";0,53
"270";0,552
"271";0,538
"272";0,488
"273";0,5
"274";0,524
"275";0,488
"276";0,588
"277";0,52
"278";0,556
"279";0,552
"280";0,502
"281";0,526
