;mean;se;bias;cp;mean;se;bias;cp;mean;se;bias;cp
48;-1,152370059;0,302131425;0,152370059;1;-0,785623061;0,320615086;0,571246122;1;0,198761072;0,495525787;-1,99380536;1
49;-0,91408563;0,334848744;-0,08591437;1;-0,346185599;0,304103183;-0,307628803;1;-0,057289959;0,524188905;-0,713550204;1
50;-0,999282779;0,296915475;-0,000717221;1;-0,433248162;0,292100525;-0,133503676;1;-0,029189902;0,462841176;-0,854050488;1
51;-0,854216371;0,307571762;-0,145783629;1;-0,513986869;0,318178564;0,027973739;1;-0,963896323;0,597796011;3,819481614;1
52;-1,812762172;0,409618565;0,812762172;0;-0,25852349;0,344829811;-0,482953021;1;1,43788303;0,622664121;-8,18941515;0
53;-1,076954139;0,284695038;0,076954139;1;-0,160170328;0,263385285;-0,679659345;1;-0,012090722;0,429769579;-0,939546388;1
54;-0,812121587;0,306898739;-0,187878413;1;-0,407722431;0,301516488;-0,184555137;1;-0,966653087;0,528486033;3,833265437;1
55;-1,596542751;0,393591443;0,596542751;1;-0,034730366;0,342933477;-0,930539269;1;-0,37529203;0,568285402;0,87646015;1
56;-1,026809535;0,300280131;0,026809535;1;-0,433229049;0,275461928;-0,133541903;1;0,325214303;0,45967384;-2,626071513;1
57;-0,901483455;0,371065437;-0,098516545;1;-0,951160011;0,353921868;0,902320022;1;-0,209282738;0,595579485;0,046413691;1
58;-1,093130253;0,27983495;0,093130253;1;-0,178089675;0,262421127;-0,643820651;1;-0,191711141;0,453494628;-0,041444295;1
59;-1,879378544;0,468984959;0,879378544;1;-0,738031805;0,422880035;0,47606361;1;0,557338072;0,702248416;-3,78669036;1
60;-0,92316283;0,332651946;-0,07683717;1;-1,140874259;0,362267044;1,281748517;1;-0,451761258;0,511745839;1,258806291;1
61;-0,852758264;0,292705729;-0,147241736;1;-0,609676572;0,29466448;0,219353144;1;-0,443927937;0,489626027;1,219639684;1
62;-1,40651064;0,278823637;0,40651064;1;0,016259842;0,278002936;-1,032519685;1;-0,188348971;0,501091868;-0,058255147;1
63;-1,348075056;0,356860493;0,348075056;1;0,171348404;0,332067135;-1,342696809;0;-0,693768242;0,541067562;2,468841208;1
64;-0,715532083;0,256695115;-0,284467917;1;-0,952941881;0,320880759;0,905883762;1;-0,626054949;0,462883612;2,130274747;1
65;-1,12960307;0,352984833;0,12960307;1;-0,517200678;0,30244356;0,034401356;1;0,879514155;0,497538551;-5,397570773;0
66;-1,003187066;0,399462297;0,003187066;1;0,201925658;0,33337889;-1,403851317;0;-0,707867739;0,555894077;2,539338695;1
67;-1,121112358;0,341738319;0,121112358;1;-0,146270587;0,338471364;-0,707458827;1;-0,458267249;0,560050726;1,291336244;1
68;-1,485577051;0,410831645;0,485577051;1;-1,518381897;0,485854271;2,036763793;0;0,203253934;0,712530469;-2,016269668;1
69;-0,607394742;0,269553785;-0,392605258;1;-1,550942386;0,319916631;2,101884772;0;-0,58457363;0,457222526;1,922868152;1
70;-1,484887167;0,36629658;0,484887167;1;-0,4557487;0,322464821;-0,088502599;1;0,320514528;0,550300709;-2,60257264;1
71;-1,015404177;0,244665056;0,015404177;1;-0,616011532;0,279369958;0,232023064;1;-0,177305167;0,416241854;-0,113474164;1
72;-1,608044997;0,348385204;0,608044997;1;-0,50764423;0,309931757;0,01528846;1;0,708212917;0,556956742;-4,541064584;1
73;-1,140691664;0,281113687;0,140691664;1;-0,625578682;0,282516662;0,251157363;1;0,14867448;0,44759892;-1,743372401;1
74;-0,85421801;0,395658289;-0,14578199;1;-0,793615124;0,371168527;0,587230249;1;-0,305324541;0,591544382;0,526622707;1
75;-0,790999626;0,356535382;-0,209000374;1;-0,898441046;0,311522276;0,796882092;1;0,151740736;0,519493232;-1,758703678;1
76;-1,194866046;0,294978534;0,194866046;1;-0,129260245;0,283092213;-0,741479511;1;0,459321677;0,48220234;-3,296608385;1
77;-1,205193954;0,340752673;0,205193954;1;-0,396231118;0,304047596;-0,207537764;1;-0,194002161;0,543292716;-0,029989194;1
78;-0,780758628;0,245532271;-0,219241372;1;-0,715248045;0,288153492;0,43049609;1;-0,454461862;0,433364144;1,27230931;1
79;-1,16203842;0,396698072;0,16203842;1;-0,386424839;0,355194109;-0,227150321;1;-0,064798581;0,600316485;-0,676007093;1
80;-0,895246003;0,270991294;-0,104753997;1;-0,571858686;0,267370542;0,143717373;1;-0,490212668;0,461761902;1,45106334;1
81;-0,750498072;0,334373654;-0,249501928;1;-0,270890517;0,317838367;-0,458218965;1;-0,717335183;0,533121454;2,586675916;1
82;-0,669375797;0,280692266;-0,330624203;1;-0,373171528;0,272454556;-0,253656944;1;-0,188919587;0,433495472;-0,055402067;1
83;-1,216148986;0,400491158;0,216148986;1;-0,29109357;0,331311886;-0,417812859;1;-0,03361882;0,564877636;-0,831905898;1
84;-1,170353207;0,338851547;0,170353207;1;-0,297899022;0,302339682;-0,404201956;1;-0,036420463;0,469458903;-0,817897687;1
85;-0,554105754;0,294288031;-0,445894246;1;-0,929411309;0,321309966;0,858822617;1;-0,324475858;0,508876928;0,622379292;1
86;-1,333653562;0,407032136;0,333653562;1;-0,297917995;0,329525011;-0,40416401;1;0,490605139;0,55733011;-3,453025697;1
87;-1,276523753;0,353353701;0,276523753;1;-0,443700226;0,310873556;-0,112599549;1;0,200520007;0,569372202;-2,002600036;1
88;-0,939481205;0,343116479;-0,060518795;1;-0,298655201;0,339851203;-0,402689597;1;-0,45206459;0,592074318;1,260322951;1
89;-1,379622156;0,318269228;0,379622156;1;-0,135956342;0,283723354;-0,728087316;1;0,125756438;0,504154825;-1,628782192;1
90;-1,454181508;0,411514687;0,454181508;1;-0,356231904;0,357570006;-0,287536192;1;0,334024844;0,644744573;-2,670124222;1
