;mean;se;bias;cp;;;;;;;;;;mean;sd;bias;cp
1;0,256756738;0,263003016;-0,486486524;1;;;;;;;;;;0,560344859;1,954521958;0,120689718;0,667
2;0,554388797;0,478451052;0,108777594;1;;;;;;;;;;;;;
3;0,473030239;0,472798629;-0,053939523;1;;;;;;;;;;;;;
4;0,108654054;0,117414897;-0,782691892;0;;mean;sd;bias;cp;;;;;;;;
5;0,336088657;0,286016041;-0,327822687;1;;-1,351533053;1,330491815;0,351533053;0,936;;;;;;;;
6;0,57739416;0,721511605;0,154788321;1;;-0,484251372;1,142235387;-0,031497257;0,955;;;;;;;;
7;0,200578861;0,289605557;-0,598842279;1;;-0,105068376;1,952891845;-0,474658122;0,934;;;;;;;;
8;1,021503047;1,071142152;1,043006094;1;;0,385611991;0,677046651;-0,357313349;0,874;;;;;;;;
9;0,367321931;0,333898997;-0,265356138;1;;0,186862336;0,480416142;-0,065688321;0,929;;;;;;;;
10;0,035029214;0,051724678;-0,929941571;0;;0,362632638;0,825738706;-0,093418404;0,929;;;;;;;;
11;0,327918963;0,327792086;-0,344162074;1;;0,560344859;1,954521958;0,120689718;0,667;;;;;;;;
12;0,234274739;0,266248643;-0,531450523;1;;;;;;;;;;;;;
13;0,169246112;0,274265224;-0,661507776;1;;;;;;;;;;;;;
14;1,558573867;1,122279715;2,117147733;1;;;;;;;;;;;;;
15;0,460639397;0,506193699;-0,078721206;1;;;;;;;;;;;;;
16;0,046196628;0,068175642;-0,907606743;0;;;;;;;;;;;;;
17;0,896431736;0,98889042;0,792863473;1;;;;;;;;;;;;;
18;0,003019772;0,001226595;-0,993960456;0;;;;;;;;;;;;;
19;0,485864099;0,547205613;-0,028271803;1;;;;;;;;;;;;;
20;0,13080081;0,120952523;-0,738398381;0;;;;;;;;;;;;;
21;0,192879047;0,176592073;-0,614241905;1;;;;;;;;;;;;;
22;0,324471917;0,288592192;-0,351056166;1;;;;;;;;;;;;;
23;0,272650239;0,298303034;-0,454699521;1;;;;;;;;;;;;;
24;0,399376069;0,410655442;-0,201247861;1;;;;;;;;;;;;;
25;0,547894929;0,549021041;0,095789857;1;;;;;;;;;;;;;
26;0,049142618;0,056704042;-0,901714764;0;;;;;;;;;;;;;
27;0,068263675;0,083286281;-0,86347265;0;;;;;;;;;;;;;
28;0,075943219;0,088294798;-0,848113562;0;;;;;;;;;;;;;
29;2,130464107;2,326926812;3,260928215;1;;;;;;;;;;;;;
30;0,198749059;0,2838471;-0,602501882;1;;;;;;;;;;;;;
31;0,203250003;0,266480865;-0,593499995;1;;;;;;;;;;;;;
32;0,43944757;0,350886807;-0,121104859;1;;;;;;;;;;;;;
33;0,670750379;1,021725028;0,341500758;1;;;;;;;;;;;;;
34;0,206016179;0,310576863;-0,587967641;1;;;;;;;;;;;;;
35;2,239397889;2,309802565;3,478795779;1;;;;;;;;;;;;;
36;2,944684855;2,957368547;4,88936971;1;;;;;;;;;;;;;
37;0,658177643;0,673564606;0,316355286;1;;;;;;;;;;;;;
38;0,01889183;0,026725935;-0,962216341;0;;;;;;;;;;;;;
39;0,493201053;0,496715609;-0,013597893;1;;;;;;;;;;;;;
40;0,930444867;1,055519726;0,860889735;1;;;;;;;;;;;;;
41;0,868905958;0,8817143;0,737811916;1;;;;;;;;;;;;;
42;0,265523426;0,266544075;-0,468953148;1;;;;;;;;;;;;;
43;0,224153039;0,314802343;-0,551693923;1;;;;;;;;;;;;;
44;0,416064837;0,566325339;-0,167870326;1;;;;;;;;;;;;;
45;0,190051144;0,24390791;-0,619897713;1;;;;;;;;;;;;;
46;2,153402393;1,880423345;3,306804786;1;;;;;;;;;;;;;
47;0,317936667;0,331668906;-0,364126667;1;;;;;;;;;;;;;
48;0,093468425;0,189300534;-0,813063149;0;;;;;;;;;;;;;
49;0,349092631;0,379515835;-0,301814738;1;;;;;;;;;;;;;
50;0,103178664;0,149634931;-0,793642672;0;;;;;;;;;;;;;
51;1,212668751;1,223693845;1,425337502;1;;;;;;;;;;;;;
52;0,018162468;0,031520398;-0,963675064;0;;;;;;;;;;;;;
53;0,411050256;0,462172756;-0,177899489;1;;;;;;;;;;;;;
54;0,53329181;0,478667083;0,06658362;1;;;;;;;;;;;;;
55;0,972003733;1,061133219;0,944007467;1;;;;;;;;;;;;;
56;0,110078988;0,123582634;-0,779842024;0;;;;;;;;;;;;;
57;1,923006416;1,668349649;2,846012833;1;;;;;;;;;;;;;
58;0,156540533;0,193613449;-0,686918933;1;;;;;;;;;;;;;
59;0,907983499;0,687500834;0,815966998;1;;;;;;;;;;;;;
60;0,205314485;0,237782472;-0,589371031;1;;;;;;;;;;;;;
61;0,154637987;0,223030669;-0,690724026;1;;;;;;;;;;;;;
62;0,162202486;0,191763128;-0,675595028;1;;;;;;;;;;;;;
63;0,179558504;0,317989152;-0,640882991;1;;;;;;;;;;;;;
64;0,420654974;0,457417647;-0,158690052;1;;;;;;;;;;;;;
65;0,674573128;0,702224913;0,349146255;1;;;;;;;;;;;;;
66;0,057253204;0,07527203;-0,885493592;0;;;;;;;;;;;;;
67;0,013550935;0,020480662;-0,972898129;0;;;;;;;;;;;;;
68;0,062109145;0,075389351;-0,875781711;0;;;;;;;;;;;;;
69;0,299457894;0,327343378;-0,401084213;1;;;;;;;;;;;;;
70;0,395513464;0,332878501;-0,208973073;1;;;;;;;;;;;;;
71;0,977617464;0,929426361;0,955234928;1;;;;;;;;;;;;;
72;0,142923835;0,182486137;-0,71415233;1;;;;;;;;;;;;;
73;0,008905892;0,015600591;-0,982188215;0;;;;;;;;;;;;;
74;0,350797577;0,51805986;-0,298404845;1;;;;;;;;;;;;;
75;0,525517217;0,433637048;0,051034434;1;;;;;;;;;;;;;
76;0,016780432;0,023622943;-0,966439137;0;;;;;;;;;;;;;
77;0,104762782;0,095495413;-0,790474437;0;;;;;;;;;;;;;
78;0,118684099;0,247098128;-0,762631802;1;;;;;;;;;;;;;
79;0,317579945;0,542411534;-0,36484011;1;;;;;;;;;;;;;
80;0,241931044;0,441824212;-0,516137912;1;;;;;;;;;;;;;
81;1,119544044;1,051330646;1,239088088;1;;;;;;;;;;;;;
82;0,772657586;0,6281209;0,545315171;1;;;;;;;;;;;;;
83;0,774387872;0,5853672;0,548775744;1;;;;;;;;;;;;;
84;0,273061077;0,288024634;-0,453877846;1;;;;;;;;;;;;;
85;1,308629357;1,087742672;1,617258713;1;;;;;;;;;;;;;
86;0,784595251;0,624625367;0,569190502;1;;;;;;;;;;;;;
87;1,053643976;1,062911904;1,107287953;1;;;;;;;;;;;;;
88;0,029735734;0,039431545;-0,940528532;0;;;;;;;;;;;;;
89;0,198836566;0,277059311;-0,602326868;1;;;;;;;;;;;;;
90;1,175642458;0,974222525;1,351284916;1;;;;;;;;;;;;;
