;mean;se;bias;cp;mean;se;bias;cp;mean;se;bias;cp
1;-0,916779427;0,059010229;-0,083220573;1;-0,585397507;0,064285116;0,170795013;1;-0,310399241;0,104207606;0,551996206;1
2;-1,063473428;0,066750087;0,063473428;1;-0,495671277;0,066547455;-0,008657445;1;-0,061965962;0,109661005;-0,690170188;1
3;-1,080425234;0,066908481;0,080425234;1;-0,400221733;0,063918351;-0,199556534;1;-0,071509748;0,108431749;-0,64245126;1
4;-1,085347817;0,070289857;0,085347817;1;-0,419953946;0,067698759;-0,160092109;1;-0,23640078;0,115800696;0,182003898;1
5;-1,040206821;0,066469332;0,040206821;1;-0,41394232;0,063428233;-0,17211536;1;-0,200413112;0,109529453;0,002065561;1
6;-0,996527032;0,064315635;-0,003472968;1;-0,482986951;0,0670345;-0,034026097;1;-0,299740895;0,109952085;0,498704473;1
7;-1,129962694;0,064863779;0,129962694;0;-0,480556409;0,064602727;-0,038887182;1;0,001864639;0,105285885;-1,009323196;1
8;-0,951148071;0,061110287;-0,048851929;1;-0,516595639;0,063235656;0,033191279;1;-0,224909726;0,10496754;0,124548631;1
9;-1,127269235;0,068848489;0,127269235;1;-0,448059773;0,067600079;-0,103880454;1;-0,06372138;0,113148602;-0,681393099;1
10;-1,012767217;0,069032405;0,012767217;1;-0,462836987;0,067451655;-0,074326027;1;-0,256568907;0,115203166;0,282844537;1
11;-0,988907883;0,069510792;-0,011092117;1;-0,578206807;0,069627295;0,156413614;1;-0,172334163;0,115128671;-0,138329185;1
12;-1,05929665;0,06793808;0,05929665;1;-0,49523854;0,066548094;-0,00952292;1;-0,147587301;0,113280024;-0,262063494;1
13;-0,995038478;0,067188092;-0,004961522;1;-0,495605279;0,066995557;-0,008789442;1;-0,230683838;0,113767235;0,15341919;1
14;-0,886853746;0,059358438;-0,113146254;1;-0,476702995;0,063849708;-0,046594009;1;-0,483220315;0,105359873;1,416101576;0
15;-0,997180051;0,066345815;-0,002819949;1;-0,508189826;0,067155453;0,016379652;1;-0,170606129;0,110683591;-0,146969353;1
16;-0,954558247;0,066151586;-0,045441753;1;-0,566844876;0,068588505;0,133689752;1;-0,17032253;0,111337426;-0,14838735;1
17;-0,909168342;0,059413499;-0,090831658;1;-0,560803887;0,062613026;0,121607775;1;-0,250599078;0,10184516;0,25299539;1
18;-1,048432121;0,066489466;0,048432121;1;-0,4404739;0,065043587;-0,119052199;1;-0,128705331;0,109284641;-0,356473344;1
19;-1,147687854;0,067495823;0,147687854;0;-0,581026419;0,06702488;0,162052839;1;0,091331976;0,108054015;-1,45665988;0
20;-0,963720389;0,064133293;-0,036279611;1;-0,497382444;0,066887902;-0,005235113;1;-0,282226967;0,107478853;0,411134837;1
21;-1,106052204;0,070116593;0,106052204;1;-0,397749897;0,065976007;-0,204500205;1;-0,079103871;0,112317078;-0,604480643;1
22;-0,99278862;0,070719989;-0,00721138;1;-0,501830279;0,06980634;0,003660559;1;-0,162545523;0,117195219;-0,187272383;1
23;-1,017022166;0,068266539;0,017022166;1;-0,465764589;0,067820201;-0,068470823;1;-0,148688802;0,112113217;-0,256555991;1
24;-0,965260191;0,06551595;-0,034739809;1;-0,436132899;0,06598448;-0,127734202;1;-0,286330594;0,111165194;0,43165297;1
25;-0,9976777;0,062317605;-0,0023223;1;-0,457412145;0,062020068;-0,08517571;1;-0,158849618;0,105170081;-0,205751912;1
26;-1,008403914;0,064520868;0,008403914;1;-0,561580528;0,066452005;0,123161056;1;-0,073593583;0,107591246;-0,632032083;1
27;-1,043986264;0,065750292;0,043986264;1;-0,457425164;0,063650152;-0,085149672;1;-0,172786562;0,109570751;-0,13606719;1
28;-0,999077733;0,066414867;-0,000922267;1;-0,465108609;0,067762466;-0,069782783;1;-0,251052996;0,112379416;0,255264981;1
29;-0,842682122;0,062856937;-0,157317878;0;-0,659120127;0,067331766;0,318240253;0;-0,340760122;0,106762688;0,703800611;1
30;-1,026204237;0,067626125;0,026204237;1;-0,54400548;0,068129853;0,088010959;1;-0,051616562;0,109571846;-0,741917192;1
31;-1,027638654;0,06946895;0,027638654;1;-0,429479358;0,067840303;-0,141041284;1;-0,188895051;0,113961598;-0,055524745;1
32;-1,092121397;0,065559169;0,092121397;1;-0,526548209;0,066402091;0,053096418;1;-0,126600009;0,10988215;-0,366999956;1
33;-0,942576409;0,066769552;-0,057423591;1;-0,51234556;0,067607947;0,024691119;1;-0,31052382;0,111896422;0,552619102;1
34;-0,97606158;0,070855503;-0,02393842;1;-0,481481419;0,068593721;-0,037037161;1;-0,153684471;0,117122214;-0,231577646;1
35;-0,955179759;0,067397211;-0,044820241;1;-0,515399387;0,067371308;0,030798774;1;-0,297648018;0,114300715;0,48824009;1
36;-1,037584398;0,065154492;0,037584398;1;-0,485278387;0,065567021;-0,029443226;1;-0,16758882;0,109757801;-0,162055899;1
37;-0,875468913;0,058963625;-0,124531087;0;-0,515253962;0,063091045;0,030507923;1;-0,462533933;0,102360596;1,312669665;0
38;-1,047821416;0,063485207;0,047821416;1;-0,629926797;0,066223096;0,259853594;0;-0,028423235;0,106957634;-0,857883823;1
