;mean;se;bias;cp;;mean;sd;bias;cp
110;0,651130516;0,150391374;0,302261031;1;;;;;
111;0,413072392;0,096562277;-0,173855215;1;;;;;
112;0,727696323;0,168996821;0,455392647;1;;;;;
113;0,450382169;0,114255458;-0,099235661;1;;;;;
114;0,68741992;0,162701029;0,374839839;1;;;;;
115;0,344044975;0,093388911;-0,311910049;1;;;;;
116;0,65649955;0,165058678;0,3129991;1;;;;;
117;0,298405618;0,075627485;-0,403188764;0;;;;;
118;0,35084878;0,084747555;-0,29830244;1;;;;;
119;0,505928821;0,127565607;0,011857641;1;;;;;
120;0,629770825;0,146582281;0,25954165;1;;;;;
121;0,618722024;0,149137654;0,237444049;1;;;;;
122;0,622322703;0,15247155;0,244645406;1;;;;;
123;0,433014819;0,111344725;-0,133970363;1;;;;;
124;0,446954586;0,106733194;-0,106090829;1;;;;;
125;0,287635029;0,078361691;-0,424729941;0;;;;;
126;0,404684376;0,094770288;-0,190631249;1;;;;;
127;0,491488065;0,109524688;-0,017023869;1;;;;;
128;0,489230627;0,123617859;-0,021538746;1;;;;;
129;0,483348108;0,130257485;-0,033303783;1;;;;;
130;0,458903285;0,109255816;-0,08219343;1;;;;;
131;0,522476929;0,139412838;0,044953858;1;;;;;
132;0,315362068;0,087973957;-0,369275864;0;;;;;
133;0,405257246;0,102491146;-0,189485508;1;;;;;
134;0,551803755;0,118674823;0,10360751;1;;;;;
135;0,609903298;0,120687433;0,219806596;1;;;;;
136;0,429805172;0,108280612;-0,140389657;1;;;;;
137;0,436938904;0,107881907;-0,126122192;1;;;;;
138;0,344841869;0,096192171;-0,310316262;1;;;;;
139;0,703807206;0,170977595;0,407614411;1;;;;;
140;0,545758764;0,12354856;0,091517527;1;;;;;
141;0,439081401;0,104993575;-0,121837197;1;;;;;
142;0,443083912;0,117421903;-0,113832176;1;;;;;
143;0,397528037;0,108956825;-0,204943926;1;;;;;
144;0,486037209;0,111263024;-0,027925582;1;;;;;
145;0,579502181;0,134741083;0,159004363;1;;;;;
146;0,45811368;0,111589232;-0,083772641;1;;;;;
147;0,487999327;0,125282338;-0,024001346;1;;;;;
148;0,478981295;0,117426797;-0,042037411;1;;;;;
149;0,627308562;0,145540008;0,254617124;1;;;;;
150;0,554050883;0,12592982;0,108101766;1;;;;;
151;0,515171955;0,125633182;0,030343911;1;;;;;
152;0,632971227;0,138023336;0,265942454;1;;;;;
153;0,65553015;0,175011291;0,311060299;1;;;;;
154;0,473899747;0,114812748;-0,052200505;1;;;;;
155;0,45279931;0,105286891;-0,09440138;1;;;;;
156;0,534752129;0,129667048;0,069504259;1;;;;;
157;0,487470691;0,126108836;-0,025058618;1;;;;;
158;0,378337603;0,095278806;-0,243324794;1;;;;;
159;0,355056793;0,099201636;-0,289886414;1;;;;;
160;0,601246078;0,136353933;0,202492155;1;;;;;
161;0,372740419;0,098806874;-0,254519161;1;;;;;
162;0,430350745;0,106794281;-0,13929851;1;;;;;
163;0,330163763;0,083718608;-0,339672474;0;;;;;
164;0,496978991;0,123067833;-0,006042019;1;;;;;
165;0,5515528;0,121517221;0,1031056;1;;;;;
166;0,395508615;0,09369654;-0,208982771;1;;;;;
167;0,458300981;0,122232324;-0,083398037;1;;;;;
168;0,403827401;0,092693253;-0,192345197;1;;;;;
169;0,55960668;0,139210549;0,11921336;1;;;;;
170;0,389691289;0,089888426;-0,220617422;1;;;;;
171;0,485367761;0,1090169;-0,029264478;1;;;;;
172;0,35890048;0,097894814;-0,28219904;1;;;;;
173;0,44907894;0,107743334;-0,101842119;1;;;;;
174;0,463549615;0,118431956;-0,07290077;1;;;;;
175;0,376657092;0,093875292;-0,246685816;1;;;;;
176;0,432162463;0,130547629;-0,135675073;1;;;;;
177;0,53075195;0,14096356;0,0615039;1;;;;;
178;0,468605767;0,126785311;-0,062788466;1;;;;;
179;0,782224726;0,189248692;0,564449452;1;;;;;
180;0,472481368;0,130531722;-0,055037264;1;;;;;
181;0,573177235;0,132173821;0,14635447;1;;;;;
182;0,331368704;0,081509592;-0,337262592;0;;;;;
183;0,491340194;0,117221068;-0,017319612;1;;;;;
184;0,409155352;0,103410514;-0,181689295;1;;;;;
185;0,58201816;0,137834177;0,16403632;1;;;;;
186;0,387556929;0,088284776;-0,224886143;1;;;;;
187;0,926213105;0,207816697;0,85242621;0;;;;;
188;0,545739975;0,12715697;0,09147995;1;;;;;
189;0,516978386;0,122066469;0,033956771;1;;;;;
190;0,372904193;0,087736952;-0,254191613;1;;;;;
191;0,638018019;0,165876192;0,276036037;1;;;;;
192;0,550196591;0,148171609;0,100393183;1;;;;;
193;0,553304701;0,14429612;0,106609401;1;;;;;
194;0,651518619;0,155527687;0,303037238;1;;;;;
195;0,230849815;0,077882924;-0,53830037;0;;;;;
196;0,506612971;0,117970927;0,013225942;1;;;;;
197;0,27067864;0,069025516;-0,458642719;0;;;;;
198;0,389773274;0,095318927;-0,220453452;1;;;;;
199;0,39212689;0,095885292;-0,215746219;1;;;;;
200;0,50317403;0,125547035;0,00634806;1;;;;;
201;0,329023468;0,081908259;-0,341953064;0;;;;;
202;0,428985973;0,105679524;-0,142028055;1;;;;;
203;0,520923526;0,125712529;0,041847051;1;;;;;
204;0,542489713;0,135328063;0,084979425;1;;;;;
205;0,606881414;0,136439627;0,213762827;1;;;;;
206;0,404830515;0,102152602;-0,19033897;1;;;;;
207;0,543702395;0,143885148;0,087404791;1;;;;;
208;0,556887061;0,150991725;0,113774123;1;;;;;
209;0,553810217;0,137155924;0,107620435;1;;;;;
210;0,350037814;0,092303957;-0,299924372;1;;;;;
211;0,533958392;0,14358124;0,067916784;1;;;;;
212;0,465203636;0,125870973;-0,069592728;1;;;;;
213;0,469859556;0,117450823;-0,060280887;1;;;;;
214;0,601243073;0,141808718;0,202486146;1;;;;;
215;0,371078094;0,089726047;-0,257843812;1;;;;;
216;0,699967304;0,173979818;0,399934608;1;;;;;
217;0,4260962;0,111858414;-0,1478076;1;;;;;
218;0,437373759;0,11712666;-0,125252481;1;;;;;
219;0,373718494;0,098311653;-0,252563012;1;;;;;
