"";"x"
"1";0,5198
"2";0,5204
"3";0,5122
"4";0,5176
"5";0,5116
"6";0,5076
"7";0,5134
"8";0,517
"9";0,5152
"10";0,5214
"11";0,5286
"12";0,5144
"13";0,5168
"14";0,5128
"15";0,5204
"16";0,5158
"17";0,5
"18";0,5218
"19";0,5192
"20";0,5306
"21";0,52
"22";0,5392
"23";0,5264
"24";0,5194
"25";0,5136
"26";0,5136
"27";0,5022
"28";0,5286
"29";0,5048
"30";0,5226
"31";0,5252
"32";0,5114
"33";0,5202
"34";0,5326
"35";0,5162
"36";0,5266
"37";0,5068
"38";0,5102
"39";0,5202
"40";0,5122
"41";0,512
"42";0,5316
"43";0,5196
"44";0,505
"45";0,5168
"46";0,5128
"47";0,5224
"48";0,5258
"49";0,5088
"50";0,5192
"51";0,5176
"52";0,5214
"53";0,5098
"54";0,5214
"55";0,5042
"56";0,5034
"57";0,5218
"58";0,519
"59";0,5238
"60";0,5156
"61";0,5142
"62";0,5172
"63";0,5242
"64";0,5066
"65";0,5148
"66";0,516
"67";0,5188
"68";0,5102
"69";0,522
"70";0,5144
"71";0,5176
"72";0,5208
"73";0,5166
"74";0,5172
"75";0,5244
"76";0,5224
"77";0,5176
"78";0,4986
"79";0,5232
"80";0,5162
"81";0,5078
"82";0,5022
"83";0,5208
"84";0,5164
"85";0,5132
"86";0,5186
"87";0,5154
"88";0,515
"89";0,5168
"90";0,524
"91";0,5072
"92";0,5168
"93";0,5316
"94";0,5186
"95";0,5212
"96";0,5278
"97";0,511
"98";0,5226
"99";0,52
"100";0,5188
"101";0,5128
"102";0,5308
"103";0,5184
"104";0,5092
"105";0,519
"106";0,4872
"107";0,5392
"108";0,5204
"109";0,5196
"110";0,5292
"111";0,5182
"112";0,531
"113";0,5112
"114";0,5116
"115";0,5228
"116";0,5294
"117";0,531
"118";0,5228
"119";0,5172
"120";0,5202
"121";0,5096
"122";0,5232
"123";0,5192
"124";0,529
"125";0,5344
"126";0,5178
"127";0,5236
"128";0,5078
"129";0,505
"130";0,517
"131";0,5058
"132";0,5244
"133";0,5186
"134";0,5122
"135";0,5278
"136";0,5372
"137";0,514
"138";0,5146
"139";0,5232
"140";0,5176
"141";0,5202
"142";0,5356
"143";0,5222
"144";0,5084
"145";0,5086
"146";0,5222
"147";0,51
"148";0,5094
"149";0,5274
"150";0,535
"151";0,518
"152";0,5212
"153";0,519
"154";0,5162
"155";0,5244
"156";0,5196
"157";0,5054
"158";0,5216
"159";0,5226
"160";0,5228
"161";0,5292
"162";0,5216
"163";0,525
"164";0,5236
"165";0,5218
"166";0,5134
"167";0,53
"168";0,536
"169";0,499
"170";0,5066
"171";0,5318
"172";0,5196
"173";0,5258
"174";0,5246
"175";0,5154
"176";0,5094
"177";0,5064
"178";0,5114
"179";0,5246
"180";0,532
"181";0,5146
"182";0,519
"183";0,5148
"184";0,5286
"185";0,5252
"186";0,5164
"187";0,5084
"188";0,508
"189";0,5234
"190";0,5114
"191";0,503
"192";0,5302
"193";0,5114
"194";0,518
"195";0,521
"196";0,5182
"197";0,5158
"198";0,5096
"199";0,5022
"200";0,5206
"201";0,4938
"202";0,5082
"203";0,5078
"204";0,5026
"205";0,523
"206";0,5202
"207";0,5226
"208";0,522
"209";0,5164
"210";0,5106
"211";0,5038
"212";0,5032
"213";0,502
"214";0,5058
"215";0,5116
"216";0,5216
"217";0,5158
"218";0,5202
"219";0,5028
"220";0,5176
"221";0,5132
"222";0,5124
"223";0,5274
"224";0,524
"225";0,5068
"226";0,5208
"227";0,531
"228";0,5122
"229";0,5222
"230";0,5326
"231";0,5314
"232";0,5258
"233";0,512
"234";0,5264
"235";0,5244
"236";0,5224
"237";0,5178
"238";0,5102
"239";0,5264
"240";0,5296
"241";0,517
"242";0,5068
"243";0,5044
"244";0,5262
"245";0,508
"246";0,525
"247";0,5008
"248";0,5206
"249";0,5316
"250";0,5264
"251";0,5072
"252";0,5188
"253";0,5202
"254";0,5014
"255";0,5236
"256";0,5138
"257";0,5286
"258";0,5186
"259";0,5222
"260";0,5174
"261";0,5204
"262";0,5206
"263";0,5212
"264";0,5156
"265";0,5106
"266";0,5396
"267";0,528
"268";0,517
"269";0,5292
"270";0,5094
"271";0,5216
"272";0,5178
"273";0,511
"274";0,5144
"275";0,517
"276";0,5114
"277";0,5106
"278";0,5206
"279";0,5308
"280";0,523
"281";0,5136
"282";0,5246
"283";0,5128
"284";0,5296
"285";0,5208
"286";0,518
"287";0,5108
"288";0,5196
"289";0,528
"290";0,5082
"291";0,528
"292";0,519
"293";0,5182
"294";0,4962
"295";0,5226
"296";0,526
"297";0,5148
"298";0,5298
"299";0,5194
"300";0,5316
"301";0,5094
"302";0,522
"303";0,515
"304";0,5016
"305";0,5178
"306";0,5174
"307";0,515
"308";0,5348
"309";0,5096
"310";0,5078
"311";0,5094
"312";0,514
"313";0,526
"314";0,5196
"315";0,5202
"316";0,5186
"317";0,513
"318";0,5202
"319";0,5108
"320";0,5284
"321";0,5286
"322";0,5334
"323";0,5184
"324";0,5206
"325";0,5142
"326";0,5122
"327";0,5184
"328";0,5072
"329";0,5094
"330";0,506
"331";0,5224
"332";0,5302
"333";0,5188
"334";0,5324
"335";0,527
"336";0,521
"337";0,5232
"338";0,5112
"339";0,5064
"340";0,5268
"341";0,5048
"342";0,5268
"343";0,5102
"344";0,5312
"345";0,522
"346";0,517
"347";0,5272
"348";0,5308
"349";0,5164
"350";0,5132
"351";0,5084
"352";0,5092
"353";0,5142
"354";0,5254
"355";0,5288
"356";0,5106
"357";0,5316
"358";0,5212
"359";0,5266
"360";0,5128
"361";0,5162
"362";0,5222
"363";0,5082
"364";0,5112
"365";0,5166
"366";0,5174
"367";0,5112
"368";0,5516
"369";0,5396
"370";0,5162
"371";0,512
"372";0,5314
"373";0,5154
"374";0,5058
"375";0,5254
"376";0,5246
"377";0,5236
"378";0,5138
"379";0,5238
"380";0,5164
"381";0,5274
"382";0,519
"383";0,5096
"384";0,5184
"385";0,5248
"386";0,5266
"387";0,4966
"388";0,5352
"389";0,5256
"390";0,5316
"391";0,5148
"392";0,5238
"393";0,5214
"394";0,5142
"395";0,5212
"396";0,522
"397";0,5148
"398";0,5272
"399";0,5212
"400";0,5096
"401";0,5182
"402";0,5368
"403";0,5012
"404";0,5162
"405";0,516
"406";0,5096
"407";0,5148
"408";0,525
"409";0,507
"410";0,5328
"411";0,5188
"412";0,5166
"413";0,5194
"414";0,5278
"415";0,5184
"416";0,531
"417";0,5084
"418";0,523
"419";0,5092
"420";0,5282
"421";0,517
"422";0,5174
"423";0,5088
"424";0,521
"425";0,5234
"426";0,5272
"427";0,5188
"428";0,4986
"429";0,5202
"430";0,516
"431";0,528
"432";0,502
"433";0,5072
"434";0,5042
"435";0,5062
"436";0,516
"437";0,5162
"438";0,5184
"439";0,5248
"440";0,5182
"441";0,5134
"442";0,524
"443";0,532
"444";0,515
"445";0,5172
"446";0,5152
"447";0,525
"448";0,5198
"449";0,5084
"450";0,505
"451";0,5224
"452";0,518
"453";0,5196
"454";0,5028
"455";0,5146
"456";0,5098
"457";0,523
"458";0,5356
"459";0,5092
"460";0,506
"461";0,5218
"462";0,5252
"463";0,526
"464";0,5112
"465";0,5228
"466";0,5078
"467";0,5186
"468";0,5226
"469";0,5186
"470";0,5212
"471";0,5186
"472";0,5064
"473";0,5174
"474";0,5142
"475";0,5222
"476";0,52
"477";0,5096
"478";0,5236
"479";0,5084
"480";0,5156
"481";0,5238
"482";0,51
"483";0,5196
"484";0,5038
"485";0,5316
"486";0,4992
"487";0,5232
"488";0,5264
"489";0,5228
"490";0,535
"491";0,5194
"492";0,5162
"493";0,5248
"494";0,513
"495";0,513
"496";0,5222
"497";0,5144
"498";0,5274
"499";0,5176
"500";0,5268
"501";0,5108
"502";0,5178
"503";0,517
"504";0,5144
"505";0,5204
"506";0,5208
"507";0,5236
"508";0,5248
"509";0,5088
"510";0,5112
"511";0,5256
"512";0,528
"513";0,5236
"514";0,5198
"515";0,5396
"516";0,5196
"517";0,5198
"518";0,5158
"519";0,51
"520";0,495
"521";0,5198
"522";0,5172
"523";0,5146
"524";0,5144
"525";0,5234
"526";0,5114
"527";0,5254
"528";0,502
"529";0,5044
"530";0,5006
"531";0,5206
"532";0,5118
"533";0,5298
"534";0,5184
"535";0,5142
"536";0,5202
"537";0,5204
"538";0,5198
"539";0,5216
"540";0,5232
"541";0,5146
"542";0,5096
"543";0,5172
"544";0,5234
"545";0,518
"546";0,5264
"547";0,5184
"548";0,5166
"549";0,5132
"550";0,518
"551";0,5302
"552";0,5142
"553";0,5196
"554";0,5288
"555";0,5088
"556";0,5044
"557";0,4976
"558";0,5174
"559";0,5212
"560";0,5292
"561";0,5304
"562";0,5242
"563";0,5048
"564";0,5186
"565";0,5364
"566";0,5112
"567";0,5214
"568";0,527
"569";0,5208
"570";0,5116
"571";0,5158
"572";0,4976
"573";0,5266
"574";0,5212
"575";0,5278
"576";0,5044
"577";0,4962
"578";0,5234
"579";0,5184
"580";0,5254
"581";0,5338
"582";0,5232
"583";0,528
"584";0,5074
"585";0,5116
"586";0,527
"587";0,4966
"588";0,5098
"589";0,5152
"590";0,5334
"591";0,5184
"592";0,5008
"593";0,5246
"594";0,5214
"595";0,505
"596";0,515
"597";0,5192
"598";0,5058
"599";0,5296
"600";0,5236
"601";0,5318
"602";0,525
"603";0,5112
"604";0,5148
"605";0,5178
"606";0,5184
"607";0,5078
"608";0,5114
"609";0,5252
"610";0,5138
"611";0,5176
"612";0,5208
"613";0,5184
"614";0,529
"615";0,5066
"616";0,5
"617";0,508
"618";0,5202
"619";0,5212
"620";0,5292
"621";0,5102
"622";0,513
"623";0,5238
"624";0,5198
"625";0,5256
"626";0,511
"627";0,5408
"628";0,5124
"629";0,5204
"630";0,5032
"631";0,5246
"632";0,5216
"633";0,522
"634";0,5076
"635";0,5154
"636";0,5332
"637";0,5254
"638";0,5142
"639";0,5222
"640";0,5178
"641";0,5276
"642";0,5292
"643";0,5206
"644";0,5096
"645";0,518
"646";0,5126
"647";0,5134
"648";0,5154
