;mean;se;bias;cp;mean;se;bias;cp;mean;se;bias;cp;;mean;sd;bias;cp;mean;sd;bias;cp;mean;sd;bias;cp
1;0,7766845;0,45146811;0,294474167;1;-0,246759572;0,327410438;-2,23379786;1;0,008625213;0,573399809;-0,978436967;1;;0,501395822;0,409974727;-0,164340297;0,902;0,19571629;0,313182084;-0,021418548;0,938;0,393951938;0,527442166;-0,015120155;0,934
2;0,167781169;0,35054813;-0,720364719;1;0,054138419;0,247260952;-0,729307904;1;0,490249177;0,47475832;0,225622943;1;;;;;;;;;;;;;
3;0,046599969;0,33549204;-0,922333386;1;0,577301649;0,261962801;1,886508247;1;0,437407716;0,470157219;0,09351929;1;;;;;;;;;;;;;
4;0,478082138;0,37075327;-0,203196437;1;0,380033448;0,249009434;0,900167241;1;-0,0135514;0,477308102;-1,0338785;1;;;;;;;;;;;;;
5;0,333745526;0,273545455;-0,443757456;1;0,477080855;0,225949962;1,385404277;1;0,453090397;0,380208937;0,132725993;1;;;;;;;;;;;;;
6;1,114942411;0,486585565;0,858237352;1;-0,117471802;0,423745976;-1,587359011;1;0,83388578;0,763150835;1,08471445;1;;;;;;;;;;;;;
7;-0,07422243;0,313184018;-1,123704051;0;0,453793216;0,225696815;1,268966078;1;0,7184449;0,42074542;0,796112251;1;;;;;;;;;;;;;
8;1,124547742;0,386803876;0,874246236;1;-0,200705661;0,29800551;-2,003528306;1;-0,356853891;0,442254469;-1,892134726;1;;;;;;;;;;;;;
9;0,244782186;0,347278765;-0,59202969;1;0,176271835;0,312621441;-0,118640826;1;1,119975155;0,528056506;1,799937889;1;;;;;;;;;;;;;
10;0,288401863;0,346939717;-0,519330229;1;0,686099314;0,274581026;2,430496569;1;-0,009867785;0,408812742;-1,024669461;1;;;;;;;;;;;;;
11;0,968353457;0,420423189;0,613922429;1;0,005559528;0,300528013;-0,972202358;1;-0,230044886;0,535378737;-1,575112214;1;;;;;;;;;;;;;
12;0,874520662;0,366205217;0,457534437;1;0,192290812;0,283001914;-0,038545942;1;-0,008893276;0,455052961;-1,022233191;1;;;;;;;;;;;;;
13;0,702869867;0,38590872;0,171449778;1;0,152859716;0,296129921;-0,235701422;1;-0,048145107;0,52681164;-1,120362767;1;;;;;;;;;;;;;
14;0,72234148;0,312144113;0,203902467;1;0,356835844;0,242734638;0,784179219;1;0,105666431;0,402552246;-0,735833922;1;;;;;;;;;;;;;
15;0,842046983;0,376990658;0,403411639;1;-0,173433566;0,269637132;-1,867167829;1;-0,017194372;0,433508693;-1,042985929;1;;;;;;;;;;;;;
16;0,887474864;0,461897675;0,479124774;1;-0,081407911;0,326267016;-1,407039555;1;0,313279666;0,631770657;-0,216800835;1;;;;;;;;;;;;;
17;0,242541715;0,361241996;-0,595763809;1;0,746672928;0,300748944;2,733364638;1;0,539458155;0,468468352;0,348645387;1;;;;;;;;;;;;;
18;-0,105429706;0,328213194;-1,175716176;0;0,19266284;0,232821633;-0,036685801;1;1,029898577;0,367263936;1,574746444;1;;;;;;;;;;;;;
19;0,436985415;0,414236519;-0,271690975;1;-0,111511268;0,318665604;-1,557556339;1;0,2893553;0,595780561;-0,27661175;1;;;;;;;;;;;;;
20;0,168765445;0,356782124;-0,718724258;1;0,762216679;0,300189645;2,811083393;1;0,428114844;0,48860414;0,070287111;1;;;;;;;;;;;;;
21;1,519194308;0,554314145;1,531990514;1;-0,330048861;0,409596913;-2,650244305;1;0,278368495;0,702716133;-0,304078763;1;;;;;;;;;;;;;
22;0,746574208;0,407319622;0,244290347;1;0,245557833;0,319428507;0,227789163;1;-0,308638647;0,547163994;-1,771596618;1;;;;;;;;;;;;;
23;0,187301821;0,372685251;-0,687830298;1;-0,218183123;0,296786538;-2,090915615;1;1,538416977;0,474839198;2,846042442;0;;;;;;;;;;;;;
24;0,595576747;0,404757738;-0,007372089;1;0,660716249;0,298652172;2,303581246;1;0,167313076;0,485282251;-0,581717309;1;;;;;;;;;;;;;
25;0,137533215;0,341416995;-0,770777975;1;0,45596767;0,246435283;1,27983835;1;0,233779898;0,449489248;-0,415550254;1;;;;;;;;;;;;;
26;0,184722632;0,325004307;-0,692128947;1;-0,659698935;0,269825035;-4,298494674;0;0,65569013;0,37909723;0,639225324;1;;;;;;;;;;;;;
27;-0,264139769;0,376748152;-1,440232948;0;1,090207823;0,326765284;4,451039117;0;0,876828442;0,514146507;1,192071104;1;;;;;;;;;;;;;
28;0,165779433;0,34637543;-0,723700945;1;0,680674578;0,2749107;2,403372891;1;0,129583976;0,44436085;-0,67604006;1;;;;;;;;;;;;;
29;0,154210511;0,325425971;-0,742982482;1;-0,055170434;0,247624765;-1,275852168;1;0,97804382;0,469414606;1,445109549;1;;;;;;;;;;;;;
30;0,540304774;0,404233574;-0,099492043;1;0,226203741;0,295368155;0,131018707;1;0,795599802;0,508736319;0,988999506;1;;;;;;;;;;;;;
31;0,078285696;0,323034441;-0,869523841;1;0,025434447;0,220577305;-0,872827767;1;-0,087943199;0,426995531;-1,219857998;1;;;;;;;;;;;;;
32;1,023654981;0,394492988;0,706091636;1;0,012952001;0,2991659;-0,935239997;1;-0,279125379;0,48282003;-1,697813446;1;;;;;;;;;;;;;
33;0,302345534;0,339875772;-0,496090777;1;-0,400185408;0,244238953;-3,000927042;0;1,274973663;0,4159078;2,187434157;0;;;;;;;;;;;;;
34;-0,041302861;0,376522161;-1,068838102;1;0,26055811;0,287132043;0,302790551;1;1,279535203;0,455668866;2,198838007;1;;;;;;;;;;;;;
35;1,06581303;0,351716703;0,77635505;1;-0,452250709;0,265030463;-3,261253545;0;-0,551978606;0,456267408;-2,379946514;0;;;;;;;;;;;;;
36;0,157755515;0,305685282;-0,737074142;1;0,530368066;0,238344869;1,651840332;1;0,173964032;0,390725102;-0,565089921;1;;;;;;;;;;;;;
37;0,071260885;0,383260281;-0,881231859;1;0,407755407;0,285864234;1,038777037;1;0,332495202;0,435533522;-0,168761994;1;;;;;;;;;;;;;
38;0,621431601;0,39185302;0,035719335;1;0,651186163;0,287369759;2,255930814;1;0,099061507;0,50345744;-0,752346231;1;;;;;;;;;;;;;
39;0,67088959;0,407241437;0,118149317;1;0,250885879;0,287524532;0,254429393;1;0,770839064;0,595826939;0,927097659;1;;;;;;;;;;;;;
