"";"x"
"1";0,54
"2";0,58
"3";0,52
"4";0,52
"5";0,5
"6";0,7
"7";0,58
"8";0,66
"9";0,46
"10";0,6
"11";0,56
"12";0,66
"13";0,62
"14";0,54
"15";0,52
"16";0,6
"17";0,6
"18";0,7
"19";0,7
"20";0,52
"21";0,54
"22";0,52
"23";0,58
"24";0,56
"25";0,6
"26";0,54
"27";0,54
"28";0,54
"29";0,66
"30";0,6
"31";0,58
"32";0,5
"33";0,7
"34";0,58
"35";0,68
"36";0,62
"37";0,66
"38";0,56
"39";0,62
"40";0,56
"41";0,66
"42";0,52
"43";0,7
"44";0,62
"45";0,68
"46";0,62
"47";0,56
"48";0,76
"49";0,5
"50";0,58
"51";0,64
"52";0,66
"53";0,62
"54";0,62
"55";0,62
"56";0,48
"57";0,68
"58";0,62
"59";0,56
"60";0,62
"61";0,56
"62";0,52
"63";0,74
"64";0,56
"65";0,6
"66";0,58
"67";0,68
"68";0,54
"69";0,64
"70";0,58
"71";0,54
"72";0,58
"73";0,84
"74";0,5
"75";0,52
"76";0,56
"77";0,4
"78";0,58
"79";0,72
"80";0,7
"81";0,62
"82";0,46
"83";0,6
"84";0,52
"85";0,52
"86";0,48
"87";0,64
"88";0,54
"89";0,68
"90";0,62
"91";0,62
"92";0,64
"93";0,54
"94";0,6
"95";0,62
"96";0,56
"97";0,62
"98";0,62
"99";0,6
"100";0,68
"101";0,58
"102";0,58
"103";0,56
"104";0,78
"105";0,66
"106";0,5
"107";0,42
"108";0,54
"109";0,56
"110";0,5
"111";0,7
"112";0,66
"113";0,66
"114";0,4
"115";0,66
"116";0,54
"117";0,6
"118";0,62
"119";0,46
"120";0,56
"121";0,54
"122";0,6
"123";0,52
"124";0,6
"125";0,54
"126";0,48
"127";0,48
"128";0,54
"129";0,56
"130";0,74
"131";0,46
"132";0,68
"133";0,66
"134";0,64
"135";0,64
"136";0,56
"137";0,54
"138";0,54
"139";0,68
"140";0,6
"141";0,66
"142";0,54
"143";0,54
"144";0,58
"145";0,7
"146";0,68
"147";0,6
"148";0,44
"149";0,6
"150";0,62
"151";0,52
"152";0,38
"153";0,68
"154";0,64
"155";0,52
"156";0,6
"157";0,54
"158";0,54
"159";0,6
"160";0,6
"161";0,56
"162";0,52
"163";0,56
"164";0,6
"165";0,58
"166";0,58
"167";0,64
"168";0,56
"169";0,7
"170";0,64
"171";0,5
"172";0,48
"173";0,64
"174";0,64
"175";0,6
"176";0,56
"177";0,66
"178";0,64
"179";0,62
"180";0,48
"181";0,48
"182";0,66
"183";0,42
"184";0,58
"185";0,58
"186";0,54
"187";0,6
"188";0,62
"189";0,6
"190";0,62
"191";0,64
"192";0,64
"193";0,6
"194";0,56
"195";0,58
"196";0,36
"197";0,72
"198";0,52
"199";0,6
"200";0,7
"201";0,7
"202";0,6
"203";0,64
"204";0,52
"205";0,68
"206";0,46
"207";0,48
"208";0,52
"209";0,54
"210";0,56
"211";0,74
"212";0,68
"213";0,6
"214";0,56
"215";0,66
"216";0,62
"217";0,56
"218";0,64
"219";0,68
"220";0,54
"221";0,7
"222";0,5
"223";0,48
"224";0,36
"225";0,7
"226";0,58
"227";0,66
"228";0,54
"229";0,58
"230";0,58
"231";0,58
"232";0,68
"233";0,54
"234";0,6
"235";0,54
"236";0,7
"237";0,7
"238";0,76
"239";0,58
"240";0,68
"241";0,52
"242";0,4
"243";0,62
"244";0,5
"245";0,58
"246";0,64
"247";0,54
"248";0,7
"249";0,66
"250";0,66
"251";0,62
"252";0,56
"253";0,64
"254";0,66
"255";0,6
"256";0,6
"257";0,64
"258";0,56
"259";0,48
"260";0,58
"261";0,64
"262";0,6
"263";0,44
"264";0,46
"265";0,66
"266";0,54
"267";0,56
"268";0,44
"269";0,62
"270";0,66
"271";0,54
"272";0,6
"273";0,8
"274";0,5
"275";0,6
"276";0,68
"277";0,52
"278";0,6
"279";0,66
"280";0,68
"281";0,58
"282";0,68
"283";0,54
"284";0,54
"285";0,6
"286";0,48
"287";0,48
"288";0,54
"289";0,58
"290";0,68
"291";0,66
"292";0,72
"293";0,62
"294";0,68
"295";0,6
"296";0,58
"297";0,66
"298";0,56
"299";0,46
"300";0,66
"301";0,76
"302";0,54
"303";0,66
"304";0,54
"305";0,52
"306";0,66
"307";0,62
"308";0,56
"309";0,78
"310";0,68
"311";0,52
"312";0,48
"313";0,54
"314";0,7
"315";0,5
"316";0,68
"317";0,64
"318";0,68
"319";0,52
"320";0,68
"321";0,72
"322";0,68
"323";0,56
"324";0,54
"325";0,52
"326";0,74
"327";0,56
"328";0,46
"329";0,6
"330";0,44
"331";0,66
"332";0,52
"333";0,6
"334";0,54
"335";0,56
"336";0,72
"337";0,56
"338";0,58
"339";0,52
"340";0,48
"341";0,66
"342";0,52
"343";0,58
"344";0,72
"345";0,52
"346";0,66
"347";0,62
"348";0,6
"349";0,58
"350";0,64
"351";0,62
"352";0,7
"353";0,58
"354";0,52
"355";0,6
"356";0,58
"357";0,64
"358";0,56
"359";0,68
"360";0,6
"361";0,64
"362";0,56
"363";0,52
"364";0,72
"365";0,7
"366";0,46
"367";0,54
"368";0,54
"369";0,44
"370";0,7
"371";0,46
"372";0,44
"373";0,6
"374";0,6
"375";0,44
"376";0,56
"377";0,6
"378";0,48
"379";0,46
"380";0,62
"381";0,56
"382";0,64
"383";0,58
"384";0,64
"385";0,44
"386";0,7
"387";0,54
"388";0,68
"389";0,78
"390";0,52
"391";0,72
"392";0,6
"393";0,62
"394";0,62
"395";0,56
"396";0,62
"397";0,54
"398";0,66
"399";0,5
"400";0,64
"401";0,6
"402";0,66
"403";0,66
"404";0,66
"405";0,4
"406";0,6
"407";0,6
"408";0,54
"409";0,6
"410";0,62
"411";0,58
"412";0,48
"413";0,48
"414";0,56
"415";0,56
"416";0,56
"417";0,7
"418";0,76
"419";0,42
"420";0,64
"421";0,56
"422";0,48
"423";0,66
"424";0,5
"425";0,6
"426";0,62
"427";0,7
"428";0,58
"429";0,48
"430";0,56
"431";0,62
"432";0,54
"433";0,62
"434";0,64
"435";0,66
"436";0,48
"437";0,66
"438";0,5
"439";0,68
"440";0,68
"441";0,76
"442";0,46
"443";0,66
"444";0,56
"445";0,58
"446";0,64
"447";0,62
"448";0,72
"449";0,54
"450";0,6
"451";0,76
"452";0,6
"453";0,56
"454";0,5
"455";0,6
"456";0,68
"457";0,58
"458";0,66
"459";0,66
"460";0,6
"461";0,42
"462";0,58
"463";0,72
"464";0,46
"465";0,52
"466";0,5
"467";0,68
"468";0,46
"469";0,56
"470";0,64
"471";0,48
"472";0,66
"473";0,56
"474";0,5
"475";0,68
"476";0,62
"477";0,36
"478";0,52
"479";0,6
"480";0,64
"481";0,48
"482";0,66
"483";0,6
"484";0,58
"485";0,66
"486";0,7
"487";0,56
"488";0,68
"489";0,52
"490";0,58
"491";0,44
"492";0,54
"493";0,54
"494";0,6
"495";0,56
"496";0,76
"497";0,5
"498";0,66
"499";0,48
"500";0,68
"501";0,6
"502";0,7
"503";0,66
"504";0,62
"505";0,58
"506";0,54
"507";0,58
"508";0,62
"509";0,7
"510";0,52
"511";0,7
"512";0,48
"513";0,34
"514";0,66
"515";0,62
"516";0,56
"517";0,72
"518";0,6
"519";0,64
"520";0,48
"521";0,66
"522";0,6
"523";0,52
"524";0,4
"525";0,62
"526";0,56
"527";0,64
"528";0,6
"529";0,58
"530";0,72
"531";0,62
"532";0,62
"533";0,48
"534";0,7
"535";0,52
"536";0,56
"537";0,48
"538";0,54
"539";0,46
"540";0,6
"541";0,6
"542";0,62
"543";0,6
"544";0,44
"545";0,6
"546";0,6
"547";0,54
"548";0,6
"549";0,64
"550";0,6
"551";0,52
"552";0,52
"553";0,6
"554";0,62
"555";0,5
"556";0,56
"557";0,78
"558";0,66
"559";0,58
"560";0,64
"561";0,64
"562";0,5
"563";0,62
"564";0,62
"565";0,64
"566";0,6
"567";0,62
"568";0,52
"569";0,8
"570";0,5
"571";0,66
"572";0,54
"573";0,6
"574";0,52
"575";0,58
"576";0,7
"577";0,74
"578";0,58
"579";0,46
"580";0,64
"581";0,52
"582";0,54
"583";0,66
"584";0,64
"585";0,58
"586";0,5
"587";0,72
"588";0,62
"589";0,56
"590";0,56
"591";0,68
"592";0,42
"593";0,7
"594";0,64
"595";0,62
"596";0,52
"597";0,64
"598";0,64
"599";0,74
"600";0,6
"601";0,66
"602";0,6
"603";0,56
"604";0,6
"605";0,62
"606";0,62
"607";0,6
"608";0,56
"609";0,56
"610";0,46
"611";0,42
"612";0,56
"613";0,48
"614";0,56
"615";0,58
"616";0,6
"617";0,6
"618";0,62
"619";0,56
"620";0,52
"621";0,68
"622";0,58
"623";0,6
"624";0,58
"625";0,66
"626";0,6
"627";0,56
"628";0,6
"629";0,68
"630";0,54
"631";0,76
"632";0,62
"633";0,72
"634";0,6
"635";0,62
"636";0,56
"637";0,64
"638";0,5
"639";0,48
"640";0,56
"641";0,58
"642";0,6
"643";0,6
"644";0,76
"645";0,6
"646";0,62
"647";0,7
"648";0,64
"649";0,5
"650";0,76
"651";0,5
"652";0,42
"653";0,52
"654";0,68
"655";0,58
"656";0,66
"657";0,6
"658";0,52
"659";0,62
"660";0,52
"661";0,48
"662";0,58
"663";0,6
"664";0,5
"665";0,5
"666";0,6
"667";0,82
"668";0,48
"669";0,62
"670";0,54
"671";0,68
"672";0,7
"673";0,66
"674";0,48
"675";0,42
"676";0,64
"677";0,58
"678";0,62
"679";0,74
"680";0,56
"681";0,64
"682";0,6
"683";0,6
"684";0,56
"685";0,7
"686";0,52
"687";0,64
"688";0,54
"689";0,6
"690";0,52
"691";0,5
"692";0,8
"693";0,64
"694";0,66
"695";0,38
"696";0,46
"697";0,54
"698";0,6
"699";0,7
"700";0,62
"701";0,58
"702";0,6
"703";0,62
"704";0,54
"705";0,68
"706";0,7
"707";0,76
"708";0,62
"709";0,6
"710";0,56
"711";0,58
"712";0,46
"713";0,58
"714";0,54
"715";0,56
"716";0,74
"717";0,6
"718";0,6
"719";0,64
"720";0,56
"721";0,6
"722";0,54
"723";0,6
"724";0,5
"725";0,68
"726";0,5
"727";0,72
"728";0,56
"729";0,56
"730";0,66
"731";0,58
"732";0,54
"733";0,66
"734";0,42
"735";0,64
"736";0,52
"737";0,56
"738";0,56
"739";0,66
"740";0,46
"741";0,66
"742";0,54
"743";0,7
"744";0,7
"745";0,7
"746";0,46
"747";0,64
"748";0,62
"749";0,66
"750";0,64
"751";0,58
"752";0,58
"753";0,64
"754";0,64
"755";0,6
"756";0,62
"757";0,82
"758";0,5
"759";0,54
"760";0,58
"761";0,76
"762";0,8
"763";0,6
"764";0,66
"765";0,6
"766";0,64
"767";0,56
"768";0,7
"769";0,54
"770";0,56
"771";0,52
"772";0,56
"773";0,62
"774";0,56
"775";0,5
"776";0,62
"777";0,54
"778";0,62
"779";0,68
"780";0,64
"781";0,58
"782";0,7
"783";0,56
"784";0,66
"785";0,52
"786";0,54
"787";0,72
"788";0,66
"789";0,58
"790";0,72
"791";0,56
"792";0,66
"793";0,68
"794";0,58
"795";0,6
"796";0,6
"797";0,58
"798";0,56
"799";0,62
"800";0,58
"801";0,66
"802";0,74
"803";0,48
"804";0,52
"805";0,64
"806";0,52
"807";0,56
"808";0,56
"809";0,62
"810";0,68
"811";0,5
"812";0,66
"813";0,58
"814";0,72
"815";0,6
"816";0,6
"817";0,48
"818";0,54
"819";0,64
"820";0,56
"821";0,66
"822";0,56
"823";0,46
"824";0,66
"825";0,5
"826";0,44
"827";0,64
"828";0,64
"829";0,66
"830";0,74
"831";0,56
"832";0,58
"833";0,66
"834";0,58
"835";0,62
"836";0,58
"837";0,6
"838";0,46
"839";0,48
"840";0,66
"841";0,56
"842";0,58
"843";0,56
"844";0,62
"845";0,64
"846";0,52
"847";0,52
"848";0,58
"849";0,64
"850";0,58
"851";0,54
"852";0,56
"853";0,62
"854";0,68
"855";0,54
"856";0,52
"857";0,68
"858";0,8
"859";0,7
"860";0,6
"861";0,58
"862";0,58
"863";0,7
"864";0,58
"865";0,72
"866";0,66
"867";0,68
"868";0,56
"869";0,7
"870";0,7
"871";0,6
"872";0,7
"873";0,56
"874";0,58
"875";0,62
"876";0,62
"877";0,7
"878";0,5
"879";0,56
"880";0,64
"881";0,64
"882";0,58
"883";0,54
"884";0,6
"885";0,64
"886";0,48
"887";0,72
"888";0,64
"889";0,62
"890";0,56
"891";0,58
"892";0,48
"893";0,54
"894";0,64
"895";0,72
"896";0,7
"897";0,64
"898";0,56
"899";0,66
"900";0,48
"901";0,68
"902";0,54
"903";0,6
"904";0,54
"905";0,64
"906";0,74
"907";0,6
"908";0,64
"909";0,66
"910";0,56
"911";0,54
"912";0,64
"913";0,56
"914";0,7
"915";0,66
"916";0,52
"917";0,62
"918";0,66
"919";0,5
