;mean;se;bias;cp;;mean;sd;bias;cp
1;0,518532661;0,035479906;0,037065322;1;;0,503248329;0,035595694;0,006496659;0,948
2;0,512405666;0,036314221;0,024811332;1;;;;;
3;0,535164822;0,036529463;0,070329643;1;;;;;
4;0,419286921;0,031229531;-0,161426158;0;;mean;sd;bias;cp
5;0,493380752;0,033907426;-0,013238496;1;;-1,000585837;0,067318878;0,000585837;0,949
6;0,445072086;0,03219996;-0,109855828;1;;-0,501118834;0,064284886;0,002237669;0,966
7;0,495584358;0,034326821;-0,008831284;1;;-0,196925382;0,113110897;-0,01537309;0,938
8;0,458904711;0,032652595;-0,082190579;1;;0,602145829;0,052455336;0,003576382;0,946
9;0,479998853;0,034035947;-0,040002294;1;;0,20075267;0,040205479;0,003763351;0,95
10;0,488579191;0,035175091;-0,022841618;1;;0,398649527;0,068195624;-0,003376183;0,949
11;0,519265067;0,037733966;0,038530134;1;;0,503248329;0,035595694;0,006496659;0,948
12;0,522103724;0,036224297;0,044207449;1;;;;;
13;0,49048115;0,034962125;-0,0190377;1;;;;;
14;0,474873357;0,033251799;-0,050253285;1;;;;;
15;0,517099521;0,036832862;0,034199041;1;;;;;
16;0,529046696;0,037614205;0,058093392;1;;;;;
17;0,520443832;0,034660705;0,040887664;1;;;;;
18;0,520472578;0,0365198;0,040945156;1;;;;;
19;0,474768576;0,033387152;-0,050462848;1;;;;;
20;0,510765736;0,037157109;0,021531471;1;;;;;
21;0,447065311;0,033040405;-0,105869379;1;;;;;
22;0,488092135;0,037824188;-0,023815729;1;;;;;
23;0,511202663;0,037393175;0,022405326;1;;;;;
24;0,52173776;0,037072085;0,04347552;1;;;;;
25;0,479536288;0,033450636;-0,040927425;1;;;;;
26;0,494347537;0,035209996;-0,011304926;1;;;;;
27;0,461522955;0,031855093;-0,07695409;1;;;;;
28;0,52664249;0,037797895;0,053284981;1;;;;;
29;0,525387026;0,036217573;0,050774052;1;;;;;
30;0,497393629;0,036469956;-0,005212742;1;;;;;
31;0,585770972;0,040867863;0,171541945;0;;;;;
32;0,448588148;0,03156402;-0,102823704;1;;;;;
33;0,453157638;0,033711846;-0,093684724;1;;;;;
34;0,546374801;0,040393056;0,092749601;1;;;;;
35;0,512986115;0,036287512;0,025972229;1;;;;;
36;0,516682173;0,036565219;0,033364346;1;;;;;
37;0,491307593;0,033112504;-0,017384813;1;;;;;
38;0,464035556;0,032459817;-0,071928888;1;;;;;
39;0,480345395;0,034935252;-0,03930921;1;;;;;
40;0,46433301;0,03349787;-0,07133398;1;;;;;
41;0,467538755;0,032522175;-0,06492249;1;;;;;
42;0,55489781;0,039794682;0,109795619;1;;;;;
43;0,512870146;0,03602772;0,025740292;1;;;;;
44;0,525691108;0,034819777;0,051382215;1;;;;;
45;0,469264835;0,033713962;-0,06147033;1;;;;;
46;0,462193251;0,032638689;-0,075613497;1;;;;;
47;0,480511964;0,034962367;-0,038976072;1;;;;;
48;0,508659693;0,036531276;0,017319387;1;;;;;
49;0,43192904;0,03011731;-0,13614192;0;;;;;
50;0,470096188;0,035192858;-0,059807624;1;;;;;
51;0,555714062;0,038465703;0,111428125;1;;;;;
52;0,472877717;0,034296119;-0,054244566;1;;;;;
53;0,536631072;0,037142697;0,073262145;1;;;;;
54;0,511306728;0,037106361;0,022613455;1;;;;;
55;0,479171493;0,032712968;-0,041657014;1;;;;;
56;0,511792794;0,034478271;0,023585589;1;;;;;
57;0,471734082;0,034265572;-0,056531837;1;;;;;
58;0,470551148;0,03425835;-0,058897704;1;;;;;
59;0,46033286;0,033739135;-0,07933428;1;;;;;
60;0,526830237;0,036476093;0,053660474;1;;;;;
61;0,529382527;0,037504555;0,058765055;1;;;;;
62;0,499738425;0,035199793;-0,000523149;1;;;;;
63;0,500269368;0,036413132;0,000538735;1;;;;;
64;0,515794854;0,034793474;0,031589708;1;;;;;
65;0,412483739;0,030421138;-0,175032522;0;;;;;
66;0,548251806;0,03787556;0,096503612;1;;;;;
67;0,488695655;0,035494108;-0,022608691;1;;;;;
68;0,510023956;0,03511801;0,020047911;1;;;;;
69;0,523193693;0,038076528;0,046387385;1;;;;;
70;0,513843624;0,035528893;0,027687247;1;;;;;
71;0,456976537;0,032358756;-0,086046926;1;;;;;
72;0,535896586;0,037860285;0,071793173;1;;;;;
73;0,501023232;0,035746871;0,002046465;1;;;;;
74;0,473840726;0,03423774;-0,052318549;1;;;;;
75;0,491976247;0,035696005;-0,016047506;1;;;;;
76;0,488602621;0,035501165;-0,022794759;1;;;;;
77;0,495624183;0,035162223;-0,008751635;1;;;;;
78;0,516377197;0,035034366;0,032754395;1;;;;;
79;0,482544671;0,036449539;-0,034910658;1;;;;;
80;0,501316723;0,03564012;0,002633445;1;;;;;
81;0,465919039;0,032949699;-0,068161921;1;;;;;
82;0,460194472;0,0319065;-0,079611056;1;;;;;
83;0,52967668;0,03724205;0,05935336;1;;;;;
84;0,509117176;0,035493988;0,018234353;1;;;;;
85;0,549376723;0,036899081;0,098753447;1;;;;;
